month,weak,turnaround,hold_1m,replace_1m,diff_1m,hold_3m,replace_3m,diff_3m,hold_6m,replace_6m,diff_6m
2018-06-30,ADRO.JK,EXCL.JK,-0.05039781193273174,0.1999999722101644,0.25039778414289615,-0.010609821604623093,0.5142856428261373,0.5248954644307604,-0.3183023980517986,-0.02857149407604065,0.28973090397575796
2018-07-31,ADRO.JK,PGAS.JK,0.06424586573962343,-0.14786960733186494,-0.21211547307148837,0.025139770939953454,0.12781953011469582,0.10267975917474237,-0.3020986244730659,0.06265668320714868,0.3647553076802146
2018-09-30,ADRO.JK,ESSA.JK,-0.016085877122643977,0.22727283620271943,0.2433587133253634,-0.31099214765422545,0.06363641810135978,0.37462856575558523,-0.27779047968323245,0.6727273135760197,0.9505177932592521
2018-10-31,ADRO.JK,BRPT.JK,-0.10081743335792126,0.019021656863753567,0.11983909022167483,-0.3192134425854667,0.30750604443955254,0.6267194870250192,-0.24917367894343645,0.9475823217007997,1.1967560006442362
2018-11-30,ADRO.JK,ESSA.JK,-0.2212122729519137,-0.21999990553953497,0.0012123674123787342,-0.13383313122252727,0.3533335427573099,0.48716667397983715,-0.18680024122668548,0.20666675600136974,0.3934669972280552
2019-01-31,ADRO.JK,EXCL.JK,0.1440327951913729,0.0959595468361425,-0.048073248355230414,0.10288065015270664,0.35353530441190006,0.2506546542591934,0.1707061101537093,0.5050507506677719,0.33434464051406265
2019-06-30,ADRO.JK,CPIN.JK,0.050193031933696064,-0.011362092094915233,-0.0615551240286113,-0.13127409674735246,0.05029726469195772,0.18157136143931019,-0.05019294594873691,0.4056213735593457,0.4558143195080826
2019-07-31,ADRO.JK,CPIN.JK,-0.06617627131799642,0.13636371401151526,0.20253998532951167,-0.05147038776100554,0.13107815042628346,0.182548538187289,0.14338254890027846,0.3742071284500601,0.23082457954978164
2019-08-31,ADRO.JK,CPIN.JK,-0.11417336676654022,-0.06511623478760653,0.04905713197893369,0.03149597117231995,0.17209282748204968,0.14059685630972973,0.008749343623873251,0.2372091624871786,0.22845981886330535
2019-09-30,ADRO.JK,ESSA.JK,0.1466668435077847,0.007936430103646419,-0.13873041340413828,0.09333340987650396,0.05555553376235434,-0.03777787611414962,0.07369375202843553,-0.34523817462761397,-0.4189319266560495
