Date,ticker,Open,High,Low,Close,Volume,daily_return,20d_return,60d_return,120d_return,252d_return,20d_high,60d_high,120d_high,252d_high,20d_low,60d_low,120d_low,252d_low,distance_from_high_252d,drawdown_252d,recovery_from_60d_low,volatility_20d,volatility_60d,avg_volume_20d,volume_ratio,rs_20d,rs_60d,rs_120d,rs_252d,rs_change_20d,rs_change_60d,momentum_slope,ma20,ma50,ma100,ma200,above_ma20,above_ma50,above_ma100,above_ma200,golden_cross,death_cross,fwd_return_20d,fwd_return_40d,fwd_return_60d,fwd_ihsg_return_20d,fwd_ihsg_return_40d,fwd_ihsg_return_60d,fwd_alpha_20d,fwd_alpha_40d,fwd_alpha_60d,LoserAlpha20,LoserAlpha40,LoserAlpha60,event_date,event_ticker,offset_label,offset_days,fwd_alpha_event,fwd_return_event
2018-02-05,TPIA.JK,1560.1078851654777,1566.1548149529406,1487.5447277159203,1535.920166015625,19441200,-0.023076946369794404,0.10434804207811532,,,,1590.3425166689117,1590.3425166689117,1590.3425166689117,1590.3425166689117,1287.9959198351532,1287.9959198351532,1287.9959198351532,1287.9959198351532,-0.03422052173218526,-0.03422052173218526,0.19248837854408962,0.6825305703988012,,29095860.0,0.6681775345358412,0.0723577400992752,,,,,,,1429.4941162109376,1422.4238656850962,,,True,True,False,False,False,False,-0.08661410376420509,-0.04724406382383828,-0.04724406382383828,-0.0059307981665801535,-0.05297742517702364,-0.09030484924998816,-0.08116467691466145,0.006054091534467565,0.04733540174491169,False,False,False,2018-02-05,TPIA.JK,T0,0,0.0,0.0
2018-08-15,AKRA.JK,520.0263296274039,520.0263296274039,492.9952580378606,518.7391357421875,68607500,-0.004938181988479395,-0.14978891831402352,-0.09260827309783204,-0.30725520125777805,,615.2786201977075,636.2464635512407,754.9549560546875,807.1268078031994,489.1336323302469,489.1336323302469,489.1336323302469,489.1336323302469,-0.35730156559405113,-0.35730156559405113,0.06052641130175229,0.22400473207941096,0.34060007680251775,44149250.0,1.5539901583832114,-0.13720285491678852,-0.09685358784950415,-0.18892836159658688,,-0.2652259940427748,0.017646179082780433,0.0003237768186834665,556.3251281738281,557.335971069336,593.8651821899414,650.8927962414326,False,False,False,False,False,False,-0.133995064373289,-0.0372209296552003,-0.14392050049993987,-0.003170064477481249,0.000701119575137632,0.021197366503542092,-0.13124104246250579,-0.037895479967523515,-0.1616904551652203,True,False,True,2018-08-15,AKRA.JK,T0,0,0.0,0.0
2018-11-07,BBCA.JK,4011.609283827153,4011.609283827153,3897.457800141014,3930.072509765625,83875500,-0.01229515614926846,0.031016029012162383,0.027718614766427896,0.09545458783169614,,4031.993780167376,4154.298509013974,4154.298509013974,4154.298509013974,3616.155954152736,3616.155954152736,3359.31494140625,3359.31494140625,-0.05397445531702272,-0.05397445531702272,0.08680946275350543,0.25614394581884165,0.22886452568301652,74373025.0,1.1277677625725187,0.010534142335442587,0.006521248262885804,0.06992191708376772,,0.036384326096485675,-0.05514250206612359,-0.0011446926346136985,3839.770617675781,3894.4410693359373,3821.710207519531,3777.167060546875,True,True,True,True,False,False,0.0886142678491304,0.09069594759509458,0.14897726533626776,0.032531580441314434,0.04062175012394276,0.08826814420882001,0.054315711470874106,0.04811949919861647,0.05578507599483551,False,False,False,2018-11-07,BBCA.JK,T0,0,0.0,0.0
2019-05-15,ASII.JK,4503.948101674911,4503.948101674911,4376.628013995054,4424.373046875,30786000,-0.007142978456231686,-0.08421570309927517,-0.08716049902597112,-0.1550799595942981,-0.0023647429357736005,5002.670131804836,5002.670131804836,5470.20968840843,5470.20968840843,4344.798522949219,4344.798522949219,4344.798522949219,3770.404541015625,-0.19118766941413512,-0.19118766941413512,0.01831489389104446,0.2768716158522922,0.256409635081791,31237480.0,0.9855468494897796,,-0.005490448339903087,-0.1533505483895391,0.012044575430197213,,0.15596417348616243,0.0023704104455161373,4681.305322265625,4627.88697265625,4813.408623046875,4785.1927563476565,False,False,False,False,False,False,0.07913683038601427,0.0827338486782423,-0.007194257307819529,0.049372626920465734,0.0729292018549983,0.049120848223164204,0.02836380776664238,0.009138204838019748,-0.05367837806899123,False,False,False,2019-05-15,ASII.JK,T0,0,0.0,0.0
2019-12-12,ICBP.JK,10089.808016397665,10089.808016397665,9936.600519402473,9958.4873046875,3944900,-0.006550392124331728,-0.002192975804173436,-0.044117698062784094,0.12068949032458653,0.09581015984281782,10177.355089689556,10987.167972752304,10987.167972752304,10987.167972752304,9717.7333984375,9411.318857400222,8710.940933641976,7727.853982560621,-0.09362564316991306,-0.09362564316991306,0.058139401669196955,0.1317986603181348,0.2328180342950728,4627610.0,0.8524702816356607,-0.008824736361070062,-0.02729109170989763,0.15426775685853833,,-0.009114256231545492,-0.21674313283752522,-6.36137965242849e-05,9955.20458984375,10043.8465625,10108.850322265625,9303.68458984375,True,False,False,True,False,False,0.008791378192930077,-0.05494478985075835,-0.03736252378158511,0.023449902711937032,-0.03686289043968316,-0.16048677037432346,-0.014322659546075256,-0.018773961912161963,0.1466614726817792,False,False,False,2019-12-12,ICBP.JK,T0,0,0.0,0.0
2020-11-23,ITMG.JK,4486.777041480655,4617.459867931548,4454.106334867932,4573.89892578125,5758800,0.03448277766120755,0.32399709712278346,0.2964137288299089,0.4186357836371606,-0.0982315708406537,4759.032842326047,4759.032842326047,4759.032842326047,5357.205498487429,3381.111026141827,3150.1038707386365,2961.097573747306,2221.5200463598903,-0.14621551719965575,-0.14621551719965575,0.4519835260888594,0.4932310510811299,0.40050976816186745,4435305.0,1.2983999972944364,0.21483899339298018,0.23790870295076405,0.20077583237528707,-0.013216536280331148,0.25113268046836135,0.29417881834464943,0.0014798221574811776,3748.203125,3567.8493310546874,3451.7995336914064,3426.375594482422,True,True,True,True,False,False,0.3595238565463319,0.20476186155201925,0.1690476864042052,0.0655475607766216,0.10717015605525537,0.10968845527297955,0.27589223286799736,0.08814517349751738,0.05349179839545459,False,False,False,2020-11-23,ITMG.JK,T0,0,0.0,0.0
2022-10-17,ICBP.JK,8194.519486986545,8312.2568359375,8076.782138035588,8312.2568359375,3735500,0.014367810612752274,0.014367810612752274,-0.03792921316425324,0.2737276118464922,0.021860494794475827,8571.27793560606,8731.879133597884,8846.772280092593,8846.772280092593,7982.591587816166,7652.927003423852,6525.929360844947,6479.972436179578,-0.0604192610855242,-0.0604192610855242,0.0861539424351847,0.24828073691884123,0.2602415864349574,5224440.0,0.7150048617650887,0.06500684566883363,-0.029820168801242275,0.33478000774571015,-0.04261997105883042,0.08018301119044902,-0.4071401069762738,0.001317938294412754,8313.434130859376,8232.195478515625,8291.119409179688,7872.578022460937,False,True,True,True,False,False,0.10481591860476192,0.17847021135839158,0.15580730686318245,0.0275616570660846,-0.014150410675416447,-0.020911680268166366,0.07518211779063,0.195385405765371,0.1804934075607716,False,False,False,2022-10-17,ICBP.JK,T0,0,0.0,0.0
2023-02-16,CPIN.JK,5558.606681034483,5582.463362068966,5463.179956896552,5534.75,6465100,-0.0042918032688962215,-0.053061202667128216,0.013100396090911515,-0.012765832919778175,0.007381727939333782,5844.886444344009,5988.027091796875,5988.027091796875,5988.027091796875,5439.323045198498,5272.3262109375,5009.902850456958,4488.873306650246,-0.0756972346397411,-0.0756972346397411,0.04977381492785837,0.17789692871462792,0.2543735455359753,9645040.0,0.6703030780587742,-0.07225748335617066,0.035563710569838536,0.02664661261732515,-0.0015519407831381393,-0.10971490699023523,0.04375684971176874,-0.0005606002744035079,5587.234448242188,5633.99357421875,5515.664506835938,5406.780751953125,False,False,True,True,False,False,-0.17241376572451328,-0.23448280607751026,-0.12068969776186822,-0.04784688351488986,-0.01071063394683025,-0.02776137348537633,-0.13082652364723046,-0.22619486250360976,-0.09558180650529224,True,True,False,2023-02-16,CPIN.JK,T0,0,0.0,0.0
2023-09-19,GOTO.JK,91.0,92.0,90.0,90.0,550038500,-0.021739130434782594,0.022727272727272707,-0.23728813559322037,-0.28,-0.6808510638297872,99.0,119.0,147.0,294.0,83.0,83.0,83.0,81.0,-0.6938775510204082,-0.6938775510204082,0.0843373493975903,0.46891715401436534,0.4669957149571258,2415370995.0,0.2277242299997065,0.013492679306497779,-0.28531274035435583,-0.3117826241409629,-0.6458961939445386,0.22317172596579693,-0.2448104496126936,-0.0014057546522875497,90.0,99.1,105.52,111.095,False,False,False,False,False,False,-0.30000000000000004,-0.0444444444444444,-0.011111111111111072,-0.00750897280489371,-0.003168296026419659,0.01361255768081815,-0.29470395114978476,-0.04140733912604244,-0.024391636236727243,True,False,False,2023-09-19,GOTO.JK,T0,0,0.0,0.0
2024-12-09,HEAL.JK,1445.1548808329817,1454.9525410420183,1440.256050728463,1450.0537109375,5526000,0.0,0.0724638335388037,0.13409955540483676,0.09629633457949249,-0.01353933219226,1513.7385741368237,1606.816277674373,1606.816277674373,1606.816277674373,1293.2911802141855,1273.695824032738,1224.7075261296452,1031.889656929348,-0.09756097751496728,-0.09756097751496728,0.13846154127002075,0.33410386034061446,0.33323198061307935,15694135.0,0.35210605745394696,0.0518056621313141,0.18031855292772547,0.0056113273308009415,-0.07947296364931355,0.1555657252710051,0.3571899964352012,-0.0038796965941832085,1386.858819580078,1431.5361401367188,1372.9461254882813,1311.9365899658203,True,True,True,True,False,False,0.11486491947025135,-0.09121614568425873,-0.12837836017658288,-0.046904727814058855,-0.10647778597736557,-0.10388733333057609,0.16973082545388007,0.01708031434876034,-0.027330298696739086,False,False,False,2024-12-09,HEAL.JK,T0,0,0.0,0.0
