Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,fwd_return_1m,fwd_return_3m,fwd_return_6m,fwd_drawdown_3m,prev_state,transition
2024-12-31,7953.8310546875,,-102978219838.58998,,,,7079.90478515625,,,,,,7953.8310546875,0.0,7953.8310546875,0.0,AADI.JK,AVOID,0.10317455074068516,-0.29885056188160974,-0.25555555983765865,-0.2883597787469034,,
2025-01-31,8868.873046875,0.1150441825952828,211378055812.52,,,,7109.19580078125,,,,,,8868.873046875,0.0,7953.8310546875,0.11504418259528286,AADI.JK,AVOID,-0.4052044419849443,-0.4052044419849443,-0.38970579796569216,-0.3095237623332833,AVOID,AVOID → AVOID
2025-02-28,6311.44677734375,-0.2883597787469034,-214692389448.2,,,,6270.59716796875,,,,,,8868.873046875,-0.2883597787469034,6311.44677734375,0.0,AADI.JK,AVOID,-0.030651284478518948,0.06920413754803822,0.02536230217558877,-0.029739723745677554,AVOID,AVOID → AVOID
2025-03-31,6123.74609375,-0.0297397237456775,-27936532294.71,-0.2300884879694497,,,6510.6201171875,,,,-0.14967996762291702,,8868.873046875,-0.3095237623332833,6123.74609375,0.0,AADI.JK,AVOID,0.02973972374567757,0.03333332048702409,0.12416106445159192,0.0,AVOID,AVOID → AVOID
2025-04-30,6311.44677734375,0.0306512844785189,51294444241.85,-0.28835977874690344,,,6766.794921875,,,,-0.24019668287766005,,8868.873046875,-0.2883597787469034,6123.74609375,0.03065128447851888,AADI.JK,AVOID,0.06920413754803822,0.011029458458983732,0.21345030912277285,-0.06574389106488487,AVOID,AVOID → AVOID
2025-05-31,6780.69921875,0.0743494254107837,61929432423.65,0.07434942541078371,,,7175.81884765625,,,,-0.07001029910022827,,8868.873046875,-0.2354497371975327,6123.74609375,0.10727961527838288,AADI.JK,AVOID,-0.07037030899355967,-0.04710145064134519,0.09590677083333332,-0.06574389106488487,AVOID,AVOID → AVOID
2025-06-30,6334.90966796875,-0.0657438910648848,-4835381975.5,0.03448274487315328,-0.20353982572519658,,6927.67919921875,-0.20353982572519658,-0.02150107812984392,-0.18203874759535266,-0.029575528305809895,,8868.873046875,-0.28571424638884724,6311.44677734375,0.0037175138209554304,AADI.JK,AVOID,0.0073529468022871525,0.09395973388710199,0.09176922323028669,0.0,AVOID,AVOID → AVOID
2025-07-31,6381.8349609375,0.0074074131168782,9725703440.030005,0.011152464098473036,-0.2804232367283488,,7484.3369140625,-0.2804232367283488,0.05276843173176138,-0.33319166846011017,-0.09488621454803114,-0.1511529208647575,8868.873046875,-0.2804232367283488,6334.90966796875,0.0074074131168781615,AADI.JK,AVOID,0.014492690241583506,0.20467834193359946,0.1602848735608553,0.0,AVOID,AVOID → AVOID
2025-08-31,6475.68505859375,0.0147058170934686,54283092569.32,-0.04498270020779338,0.026022287289115376,,7830.4931640625,0.026022287289115376,0.2487635474436083,-0.22274126015449291,-0.13621609535127277,0.11045040830561725,8868.873046875,-0.26984127246296574,6334.90966796875,0.0222221622727793,AADI.JK,WATCH,0.07382556006786911,0.1365753255208333,0.2999259396114865,0.0,AVOID,AVOID → WATCH
2025-09-30,6991.86328125,0.0797102110411067,52203453199.700005,0.10370370655843919,0.14176243988724724,,8061.06201171875,0.14176243988724724,0.23814043311146538,-0.09637799322421814,-0.05989838584615925,0.12636326693027478,8868.873046875,-0.21164016619748272,6381.8349609375,0.09558823191862768,AADI.JK,WATCH,0.12865495083244083,-0.0024176747311828173,0.3798790881374723,-0.06532956868854055,WATCH,WATCH → WATCH
