group,signal,winner_mean,non_winner_mean,diff
winner_group_b,rs_3m,0.03951940517246572,-0.004428535008199604,0.04394794018066533
winner_group_b,recovery,0.10972054684683288,0.07483526820156364,0.034885278645269246
winner_group_b,rs_6m,0.022829953457459348,-0.01141393622615324,0.03424388968361259
winner_group_a,volatility_3m,0.11428875240221903,0.08644741166331213,0.0278413407389069
winner_group_b,volatility_3m,0.11275389758858298,0.08826873729115982,0.02448516029742316
winner_group_b,rs_change,0.018087610216037425,-0.003557148162703373,0.021644758378740796
winner_group_a,recovery,0.09315370360703484,0.07424171247127591,0.018911991135758935
winner_group_b,momentum_inflection,0.1518987341772152,0.1446167883211679,0.0072819458560473005
winner_group_a,rs_6m,-0.01984616147204758,-0.00933424680108799,-0.010511914670959589
winner_group_a,rs_change,-0.013623223362556317,-0.0017566406307276603,-0.011866582731828657
winner_group_a,rs_3m,-0.014202946007151405,-0.0018153948971262957,-0.01238755111002511
winner_group_a,momentum_inflection,0.1336405529953917,0.1460564751703992,-0.012415922175007504
winner_group_b,drawdown,-0.21541955295416998,-0.1782007387657589,-0.03721881418841108
winner_group_a,drawdown_compression,0.391705069124424,0.43281402142161635,-0.04110895229719236
winner_group_b,drawdown_compression,0.379746835443038,0.4306569343065693,-0.05091009886353132
winner_group_a,drawdown,-0.2509126790431041,-0.1719503956697027,-0.07896228337340142
