date,portfolio_return,benchmark_return,excess_return
2019-02,-0.022199818283725022,-0.013718278853181665,-0.008481539430543358
2019-03,0.007187215022778602,0.0039430956874204615,0.0032441193353581407
2019-04,-0.04181559636180284,-0.002071933822513694,-0.03974366253928915
2019-05,-0.044624079271841366,-0.038144296599818994,-0.006479782672022372
2019-06,0.016765434662492064,0.024079384272371662,-0.007313949609879598
2019-07,0.06007731667527815,0.005013026712593405,0.05506428996268475
2019-08,0.043253343091318106,-0.009707318765312944,0.05296066185663105
2019-09,0.03426828869551182,-0.02518273115810732,0.05945101985361914
2019-10,0.08285697622502051,0.00959861634036363,0.07325835988465688
2019-11,-0.05130288600764635,-0.03475847810446764,-0.01654440790317871
2019-12,0.0476801386238728,0.047857138448053504,-0.00017699982418070692
2020-01,-0.06587084625223362,-0.05706627220989635,-0.008804574042337268
2020-02,-0.05080045720191928,-0.0820437414274039,0.031243284225484613
2020-03,-0.1700243021268128,-0.16758179221927771,-0.0024425099075350842
2020-04,0.1250420052744315,0.039100107156738284,0.0859418981176932
2020-05,0.040399364218084884,0.007889271909154338,0.032510092308930545
2020-06,0.039216458482770236,0.03192946317443446,0.007286995308335778
2020-07,-0.024520240530001704,0.049789060447771316,-0.07430930097777302
2020-08,0.02563842156600862,0.017255592315735813,0.008382829250272807
2020-09,-0.15613640407109394,-0.07033476780972703,-0.08580163626136691
2020-10,0.16440706490771417,0.053015187731104474,0.1113918771766097
2020-11,0.16950345778525597,0.09441667091164518,0.07508678687361078
2020-12,0.07613800932346657,0.06532984474117698,0.010808164582289587
2021-01,-0.09192114787714596,-0.01952161926746132,-0.07239952860968464
2021-02,0.09926087615354542,0.06472553070327525,0.03453534545027018
2021-03,-0.11035702055297136,-0.04105772280144604,-0.06929929775152532
2021-04,0.06264136830962301,0.0016864424401688005,0.06095492586945421
2021-05,-0.06831024497529914,-0.008031421394961269,-0.06027882358033787
2021-06,0.024367268180684062,0.00639363029337936,0.017973637887304703
2021-07,0.03982145497592622,0.014125879476902137,0.025695575499024084
2021-08,0.0352569029147174,0.013222281569954975,0.022034621344762424
2021-09,-0.017973431592062043,0.022217464026932143,-0.04019089561899419
2021-10,0.03570882309046492,0.048418337267241984,-0.012709514176777063
2021-11,-0.03894520053456549,-0.008710521467504728,-0.03023467906706076
2021-12,0.10569635803368607,0.007277364341931047,0.09841899369175502
2022-01,0.011328650421432843,0.007546772264005686,0.003781878157427157
2022-02,0.024537160222130153,0.03875948899742765,-0.014222328775297496
2022-03,0.049682214749859566,0.026606627331984933,0.023075587417874632
2022-04,0.042624169419669025,0.02226874947392732,0.020355419945741707
2022-05,0.08564982493781248,-0.011058901373715124,0.0967087263115276
2022-06,-0.08160729203070144,-0.03320592707196479,-0.04840136495873665
2022-07,0.010085271957236727,0.005720978995289228,0.0043642929619475
2022-08,0.04949226647756039,0.0327237477082587,0.016768518769301688
2022-09,-0.0399986190017324,-0.019194855143795153,-0.020803763857937245
2022-10,0.009042172216562,0.008250809976508178,0.0007913622400538226
2022-11,-0.0027730109897530536,-0.0024760417613146624,-0.00029696922843839126
2022-12,-0.12272135974869063,-0.03257783521756796,-0.09014352453112266
2023-01,0.1121758131577226,-0.0016461787640658088,0.1138219919217884
2023-02,0.03223631029920408,0.0005697876743095964,0.031666522624894486
2023-03,-0.050051314815795646,-0.00554736073677875,-0.044503954079016896
2023-04,-0.037822680704669126,0.016228430847012643,-0.05405111155168177
2023-05,0.026189070067058763,-0.04084242285001627,0.06703149291707503
2023-06,0.017966517117500077,0.004314269374738222,0.013652247742761855
2023-07,0.10672081406637204,0.040451047558959896,0.06626976650741215
2023-08,0.001849462220059335,0.0031596804124822686,-0.0013102181924229336
2023-09,0.023790552012745943,-0.0019225048727987692,0.025713056885544712
2023-10,-0.1745697415860895,-0.02704381421411639,-0.14752592737197312
2023-11,0.12206238148801833,0.048655214784972145,0.07340716670304619
2023-12,0.046294750446222,0.02712366662487753,0.01917108382134447
2024-01,-0.05600418657673574,-0.008917608747494365,-0.047086577829241374
2024-02,-0.06739081141762798,0.015007048907038412,-0.0823978603246664
2024-03,0.04597507674853152,-0.00373119710185843,0.04970627385038995
