Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2022-09-01,KLBF.JK,HEALTHY,0,,9,30D,0.10574025142627619
2022-09-06,KLBF.JK,HEALTHY,0,,9,30D,0.11144568748196138
2022-11-18,KLBF.JK,HEALTHY,0,,7,30D,0.05339811455018406
2022-12-26,KLBF.JK,HEALTHY,0,,7,30D,-0.009661897261246777
2022-12-29,KLBF.JK,HEALTHY,0,,7,30D,0.02870806828005934
2023-01-18,KLBF.JK,HEALTHY,0,,7,30D,0.07655501441159229
2023-01-30,KLBF.JK,HEALTHY,0,,7,30D,-0.01860458964865419
2023-02-02,KLBF.JK,HEALTHY,0,,9,30D,-0.06363635612497243
2023-03-03,KLBF.JK,EXIT,1,D1,10,30D,0.014563104960320095
2023-03-07,KLBF.JK,EXIT,1,D1,10,30D,-0.004807691707471529
2023-03-09,KLBF.JK,EXIT,1,D1,10,30D,-0.019230766829886115
2023-03-14,KLBF.JK,EXIT,1,D1,10,30D,-0.02392344200362262
2023-03-17,KLBF.JK,HEALTHY,0,,10,30D,-0.045045098262381345
2023-03-27,KLBF.JK,EXIT,1,D1,10,30D,-0.004761842639021796
2023-03-29,KLBF.JK,HEALTHY,0,,10,30D,-0.045454599107339844
2023-04-13,KLBF.JK,EXIT,1,D1,10,30D,0.06330468671648415
2023-04-18,KLBF.JK,EXIT,1,D1,10,30D,0.01322184761980405
2023-05-02,KLBF.JK,EXIT,1,D1,10,30D,0.00832705669945577
2023-05-08,KLBF.JK,EXIT,1,D1,10,30D,-0.006077552305178369
2023-05-11,KLBF.JK,HEALTHY,0,,10,30D,-0.020076459165849436
2023-05-29,KLBF.JK,HEALTHY,0,,10,30D,-0.05924173637994512
2023-06-13,KLBF.JK,EXIT,1,D1,10,30D,-0.028846215155465704
2023-06-19,KLBF.JK,EXIT,1,D1,10,30D,-0.048309178743961345
2023-06-26,KLBF.JK,HEALTHY,0,,10,30D,-0.07487925785588612
2023-07-03,KLBF.JK,EXIT,1,D1,10,30D,-0.1113861140805189
2024-08-19,KLBF.JK,EXIT,1,D2,14,30D,0.08695653861367947
2024-10-25,KLBF.JK,EXIT,1,D1,13,30D,-0.07407406264536776
2025-05-22,KLBF.JK,EXIT,1,D2,13,30D,0.07709977471898899
2025-05-28,KLBF.JK,EXIT,1,D2,13,30D,0.05418726038611421
2025-06-23,KLBF.JK,EXIT,1,D2,13,30D,0.045454545454545414
2025-07-01,KLBF.JK,HEALTHY,0,,8,30D,-0.023026315789473673
2025-07-10,KLBF.JK,HEALTHY,0,,8,30D,-0.08637873754152825
2025-07-22,KLBF.JK,EXIT,1,D2,8,30D,-0.03424657534246578
2025-07-25,KLBF.JK,EXIT,1,D2,8,30D,-0.13131313131313127
2022-01-03,MAPI.JK,EXIT,1,D2,99,30D,0.14999990227897864
2022-01-17,MAPI.JK,EXIT,1,D2,99,30D,0.052287456843657765
2022-02-04,MAPI.JK,EXIT,1,D1+D2,99,30D,0.059210416499609675
2022-02-14,MAPI.JK,EXIT,1,D1+D2,99,30D,0.11333317247862107
2022-07-28,MAPI.JK,EXIT,1,D1,99,30D,0.10227275377248835
2023-01-06,MAPI.JK,EXIT,1,D2,99,30D,0.15000005740255729
2023-01-27,MAPI.JK,EXIT,1,D1+D2,99,30D,0.25691698710943567
2023-01-31,MAPI.JK,EXIT,1,D2,99,30D,0.19230775118211008
2023-04-04,MAPI.JK,EXIT,1,D1+D2,99,30D,0.18928561846834913
2023-04-18,MAPI.JK,EXIT,1,D1,99,30D,0.2797201294932068
2023-09-27,MAPI.JK,EXIT,1,D1,99,30D,0.02816905828223626
2023-10-30,MAPI.JK,EXIT,1,D2,99,30D,-0.011396057209645982
2023-11-28,MAPI.JK,EXIT,1,D2,99,30D,0.031700345751390024
2023-12-27,MAPI.JK,EXIT,1,D1+D2,99,30D,0.07142857648074252
2024-03-20,MAPI.JK,EXIT,1,D1,99,30D,-0.08815428368707068
2024-03-27,MAPI.JK,EXIT,1,D1,99,30D,-0.2194443720494802
2024-04-16,MAPI.JK,EXIT,1,D1,99,30D,-0.17955798327982264
2024-04-19,MAPI.JK,EXIT,1,D1+D2,99,30D,-0.2064897015813668
2024-10-02,MAPI.JK,EXIT,1,D2,99,30D,-0.08670514967732301
2024-10-09,MAPI.JK,EXIT,1,D2,99,30D,-0.15497072172296944
2024-10-25,MAPI.JK,EXIT,1,D2,99,30D,-0.13864302543828122
2026-02-24,MAPI.JK,EXIT,1,D2,99,30D,-0.038461538461538436
2026-04-20,MAPI.JK,EXIT,1,D2,99,30D,0.17928286852589648
2022-04-01,MDKA.JK,HEALTHY,0,,10,30D,0.08530369166247853
2022-05-10,MDKA.JK,EXIT,1,D2,10,30D,-0.026915113871635588
2022-05-19,MDKA.JK,HEALTHY,0,,10,30D,-0.07630522088353409
2022-05-20,MDKA.JK,EXIT,1,D2,10,30D,-0.0761316872427984
2022-05-24,MDKA.JK,HEALTHY,0,,10,30D,-0.1582938388625592
2022-05-31,MDKA.JK,HEALTHY,0,,10,30D,-0.26788990825688075
2022-06-03,MDKA.JK,HEALTHY,0,,10,30D,-0.25384615384615383
2022-06-09,MDKA.JK,HEALTHY,0,,10,30D,-0.24466019417475726
2022-06-13,MDKA.JK,EXIT,1,D2,10,30D,-0.2021276595744681
2023-01-25,MDKA.JK,EXIT,1,D2,19,30D,-0.10041841004184104
2024-10-25,MDKA.JK,EXIT,1,D2,16,30D,-0.17142857142857137
2025-07-22,MDKA.JK,EXIT,1,D2,12,30D,-0.02564102564102566
2025-07-31,MDKA.JK,EXIT,1,D2,12,30D,0.05508474576271194
2025-08-01,MDKA.JK,HEALTHY,0,,6,30D,0.048979591836734615
2025-08-04,MDKA.JK,EXIT,1,D2,6,30D,0.0805084745762712
2025-08-06,MDKA.JK,HEALTHY,0,,6,30D,0.10000000000000009
2025-08-12,MDKA.JK,EXIT,1,D2,6,30D,0.10964912280701755
2025-08-29,MDKA.JK,HEALTHY,0,,6,30D,-0.14574898785425106
2025-09-18,MDKA.JK,EXIT,1,D2,16,30D,-0.012658227848101222
2025-09-24,MDKA.JK,EXIT,1,D2,16,30D,-0.021929824561403466
2025-10-17,MDKA.JK,EXIT,1,D2,9,30D,-0.03418803418803418
2025-10-29,MDKA.JK,HEALTHY,0,,9,30D,-0.04471544715447151
2025-11-17,MDKA.JK,EXIT,1,D2,9,30D,0.022123893805309658
2026-01-05,MDKA.JK,HEALTHY,0,,9,30D,0.221774193548387
2026-02-02,MDKA.JK,EXIT,1,D2,9,30D,0.32600732600732596
2026-02-05,MDKA.JK,HEALTHY,0,,9,30D,0.14379084967320255
2026-02-06,MDKA.JK,EXIT,1,D2,9,30D,0.1824561403508771
2026-02-10,MDKA.JK,HEALTHY,0,,9,30D,0.032362459546925626
2026-03-09,MDKA.JK,EXIT,1,D2,9,30D,0.006006006006006093
2026-03-10,MDKA.JK,HEALTHY,0,,9,30D,-0.05142857142857138
2026-03-13,MDKA.JK,EXIT,1,D2,9,30D,0.056426332288401326
2026-04-20,MDKA.JK,EXIT,1,D2,9,30D,-0.29850746268656714
2026-04-21,MDKA.JK,HEALTHY,0,,9,30D,-0.35311572700296734
2026-04-23,MDKA.JK,HEALTHY,0,,9,30D,-0.15680473372781067
2022-01-03,MIKA.JK,EXIT,1,D1+D2,99,30D,0.09375014391358372
2022-05-09,MIKA.JK,EXIT,1,D2,99,30D,0.08331610537196599
2022-05-30,MIKA.JK,EXIT,1,D2,99,30D,0.011320815619791702
2022-06-03,MIKA.JK,EXIT,1,D2,99,30D,0.07569720469002461
2022-06-07,MIKA.JK,EXIT,1,D2,99,30D,0.046511678391039535
2022-06-09,MIKA.JK,EXIT,1,D2,99,30D,0.03053431702535514
2022-06-24,MIKA.JK,EXIT,1,D2,99,30D,0.03053431702535514
2022-07-05,MIKA.JK,EXIT,1,D2,99,30D,-0.018797091425136414
2022-07-07,MIKA.JK,EXIT,1,D2,99,30D,-0.022556414004395342
2022-07-28,MIKA.JK,EXIT,1,D2,99,30D,-0.02307704509328601
2022-09-05,MIKA.JK,EXIT,1,D2,99,30D,0.08235276969647298
2022-09-14,MIKA.JK,EXIT,1,D2,99,30D,0.06390972802239059
2022-09-22,MIKA.JK,EXIT,1,D2,99,30D,0.07142856459244507
2022-11-02,MIKA.JK,EXIT,1,D1+D2,99,30D,0.060377491171689
2022-11-21,MIKA.JK,EXIT,1,D1+D2,99,30D,0.1407407295658778
2022-11-25,MIKA.JK,EXIT,1,D1+D2,99,30D,0.1538461839736509
2023-01-04,MIKA.JK,EXIT,1,D2,99,30D,0.07017536180800299
2023-01-06,MIKA.JK,EXIT,1,D2,99,30D,0.03859642666305563
2023-01-26,MIKA.JK,EXIT,1,D1+D2,99,30D,0.07017536180800299
2023-03-02,MIKA.JK,EXIT,1,D1+D2,99,30D,-0.013840728644482048
2023-03-06,MIKA.JK,EXIT,1,D1+D2,99,30D,-0.027874624110320823
2023-03-28,MIKA.JK,EXIT,1,D1,99,30D,-0.12244902023656123
2023-04-04,MIKA.JK,EXIT,1,D1+D2,99,30D,-0.09473689476022651
2023-07-18,MIKA.JK,EXIT,1,D2,99,30D,-0.031802146164179645
2023-08-01,MIKA.JK,EXIT,1,D2,99,30D,-0.007017539840787457
2023-08-08,MIKA.JK,EXIT,1,D2,99,30D,0.025000031387696797
2023-08-31,MIKA.JK,EXIT,1,D2,99,30D,-0.04240289112839546
2023-09-04,MIKA.JK,EXIT,1,D2,99,30D,-0.007117522948314803
2023-09-15,MIKA.JK,EXIT,1,D2,99,30D,-0.0035841826161923107
2023-10-30,MIKA.JK,EXIT,1,D2,99,30D,-0.021582812440583576
2024-01-02,MIKA.JK,EXIT,1,D1+D2,99,30D,-0.007379977382326208
2024-01-11,MIKA.JK,EXIT,1,D1+D2,99,30D,0.029629613096193053
2024-02-26,MIKA.JK,EXIT,1,D2,99,30D,0.03787876626191755
2024-03-21,MIKA.JK,EXIT,1,D1+D2,99,30D,0.0943397156089858
2024-03-25,MIKA.JK,EXIT,1,D1+D2,99,30D,0.11567162361149275
2024-04-01,MIKA.JK,EXIT,1,D2,99,30D,0.13805967072714131
2024-04-17,MIKA.JK,EXIT,1,D2,99,30D,0.1610486528588384
2024-08-29,MIKA.JK,EXIT,1,D1,99,30D,0.08561646892692587
2024-10-18,MIKA.JK,EXIT,1,D1,99,30D,-0.09589037718549132
2025-11-24,MIKA.JK,EXIT,1,D1,99,30D,-0.004115226337448541
2025-12-11,MIKA.JK,EXIT,1,D1,99,30D,-0.02857142857142858
2025-12-16,MIKA.JK,EXIT,1,D1,99,30D,-0.020408163265306145
2026-01-05,MIKA.JK,EXIT,1,D1,99,30D,-0.012499999999999956
2026-01-08,MIKA.JK,EXIT,1,D1,99,30D,-0.025000000000000022
2026-01-15,MIKA.JK,EXIT,1,D1,99,30D,-0.04201680672268904
2026-01-22,MIKA.JK,EXIT,1,D1,99,30D,-0.03749999999999998
2026-01-26,MIKA.JK,EXIT,1,D1,99,30D,-0.0705394190871369
2026-01-29,MIKA.JK,EXIT,1,D2,99,30D,-0.07359307359307354
2026-02-06,MIKA.JK,EXIT,1,D2,99,30D,-0.11063829787234047
2026-02-13,MIKA.JK,EXIT,1,D2,99,30D,-0.10775862068965514
2022-01-03,PGAS.JK,EXIT,1,D2,99,30D,-0.028571443085133263
2022-02-10,PGAS.JK,EXIT,1,D2,99,30D,0.0036231099842305436
2022-03-11,PGAS.JK,EXIT,1,D1,17,30D,-0.03558711678431459
2022-03-15,PGAS.JK,EXIT,1,D1+D2,17,30D,-0.018050408975037402
2022-04-20,PGAS.JK,EXIT,1,D2,19,30D,0.29496417600985425
2022-07-01,PGAS.JK,HEALTHY,0,,9,30D,0.05312498676065425
2022-07-04,PGAS.JK,EXIT,1,D2,9,30D,0.08064515956992357
2022-07-05,PGAS.JK,HEALTHY,0,,9,30D,0.052794909550435865
2022-07-06,PGAS.JK,EXIT,1,D2,9,30D,0.06535951950028296
2022-07-11,PGAS.JK,HEALTHY,0,,9,30D,0.018927457627967215
2022-07-13,PGAS.JK,EXIT,1,D2,9,30D,0.048701388979098814
2022-07-21,PGAS.JK,EXIT,1,D2,9,30D,0.06329118559976687
2022-07-28,PGAS.JK,HEALTHY,0,,9,30D,0.16913954128426867
2022-08-03,PGAS.JK,HEALTHY,0,,9,30D,0.07079651196816283
2022-08-19,PGAS.JK,HEALTHY,0,,9,30D,0.0705882902135504
2022-12-27,PGAS.JK,EXIT,1,D1,14,30D,-0.11111114251288967
2022-12-29,PGAS.JK,EXIT,1,D1,14,30D,-0.11830984865984606
2024-03-21,PGAS.JK,HEALTHY,0,,8,30D,0.10112356164117497
2024-04-26,PGAS.JK,EXIT,1,D2,5,30D,0.2421875600309873
2024-04-29,PGAS.JK,HEALTHY,0,,5,30D,0.2272726502983664
2024-07-10,PGAS.JK,HEALTHY,0,,4,30D,0.029605323396856953
2024-07-29,PGAS.JK,HEALTHY,0,,4,30D,-0.015576373294153179
2024-08-06,PGAS.JK,HEALTHY,0,,5,30D,-0.006514661134540689
2024-08-20,PGAS.JK,HEALTHY,0,,5,30D,-0.09480115020175806
2024-09-10,PGAS.JK,EXIT,1,D1,5,30D,0.02033899329856914
2024-09-17,PGAS.JK,EXIT,1,D1,5,30D,0.03344483267912701
2024-09-19,PGAS.JK,EXIT,1,D1,5,30D,0.03040537363584561
2024-09-30,PGAS.JK,EXIT,1,D2,5,30D,0.041811868343867076
2024-10-02,PGAS.JK,EXIT,1,D1+D2,6,30D,0.08680554936505125
2024-10-14,PGAS.JK,HEALTHY,0,,6,30D,-0.012944990045544613
2024-10-16,PGAS.JK,HEALTHY,0,,6,30D,-0.04207117391908188
2024-10-21,PGAS.JK,HEALTHY,0,,6,30D,-0.025889980091089115
2024-10-31,PGAS.JK,HEALTHY,0,,6,30D,0.00319484652597235
2024-11-05,PGAS.JK,HEALTHY,0,,9,30D,0.03630360357668594
2024-11-12,PGAS.JK,HEALTHY,0,,9,30D,0.059016422202890606
2024-11-19,PGAS.JK,HEALTHY,0,,9,30D,0.019933564660522096
2024-11-25,PGAS.JK,HEALTHY,0,,9,30D,0.012738860081419334
2024-12-18,PGAS.JK,HEALTHY,0,,9,30D,0.022580700560077993
2024-12-20,PGAS.JK,HEALTHY,0,,9,30D,0.06451616277771244
2025-01-06,PGAS.JK,HEALTHY,0,,9,30D,-0.08163261607882766
2025-01-23,PGAS.JK,HEALTHY,0,,9,30D,-0.021212090688599416
2025-02-03,PGAS.JK,HEALTHY,0,,9,30D,-0.044025179680952986
2025-02-05,PGAS.JK,HEALTHY,0,,9,30D,-0.07668711325870103
2025-02-11,PGAS.JK,HEALTHY,0,,9,30D,-0.07361966851900437
2025-03-07,PGAS.JK,EXIT,1,D1,9,30D,0.10596032179181991
2025-03-25,PGAS.JK,EXIT,1,D1,9,30D,0.08000004323917653
2025-04-08,PGAS.JK,EXIT,1,D2,9,30D,0.11072670054608169
2025-04-11,PGAS.JK,HEALTHY,0,,9,30D,0.06962028888831884
2025-05-05,PGAS.JK,HEALTHY,0,,9,30D,0.15644175415428907
2025-05-08,PGAS.JK,EXIT,1,D1,9,30D,0.16572815699603938
2025-06-02,PGAS.JK,HEALTHY,0,,9,30D,-0.023839975850207695
2025-06-30,PGAS.JK,HEALTHY,0,,9,30D,0.009287925696594534
2025-08-06,PGAS.JK,HEALTHY,0,,2,30D,0.020710059171597628
2025-08-19,PGAS.JK,HEALTHY,0,,2,30D,0.06006006006006004
2025-09-09,PGAS.JK,HEALTHY,0,,2,30D,-0.02898550724637683
2025-09-25,PGAS.JK,HEALTHY,0,,2,30D,0.005830903790087438
2025-10-02,PGAS.JK,EXIT,1,D1,3,30D,0.06422018348623859
2025-10-15,PGAS.JK,EXIT,1,D1,3,30D,0.07739938080495357
2025-10-23,PGAS.JK,HEALTHY,0,,3,30D,-0.02824858757062143
2025-10-28,PGAS.JK,HEALTHY,0,,3,30D,0.029325513196480912
2025-11-06,PGAS.JK,HEALTHY,0,,3,30D,0.05797101449275366
2025-12-01,PGAS.JK,HEALTHY,0,,2,30D,0.045454545454545414
2025-12-10,PGAS.JK,HEALTHY,0,,2,30D,0.09433962264150941
2026-01-07,PGAS.JK,HEALTHY,0,,2,30D,0.14652956298200515
2026-03-09,PGAS.JK,EXIT,1,D2,2,30D,-0.07560975609756093
2022-03-01,PTBA.JK,HEALTHY,0,,8,30D,0.031347987428313795
2022-03-18,PTBA.JK,EXIT,1,D2,8,30D,0.17554861308308922
2022-03-21,PTBA.JK,HEALTHY,0,,8,30D,0.14906843923067603
2022-04-11,PTBA.JK,HEALTHY,0,,6,30D,0.14084511150194068
2022-07-05,PTBA.JK,HEALTHY,0,,3,30D,0.07088604437116541
2022-07-21,PTBA.JK,HEALTHY,0,,3,30D,0.01990034479253522
2022-08-19,PTBA.JK,HEALTHY,0,,3,30D,0.002375184699008992
2022-08-23,PTBA.JK,HEALTHY,0,,3,30D,-0.009411745686744077
2022-09-02,PTBA.JK,HEALTHY,0,,4,30D,-0.023474131078877303
2022-09-22,PTBA.JK,HEALTHY,0,,4,30D,-0.11751160065078003
2022-10-07,PTBA.JK,HEALTHY,0,,4,30D,-0.10722611459431441
2022-10-12,PTBA.JK,HEALTHY,0,,4,30D,-0.18544600689888824
2022-10-17,PTBA.JK,HEALTHY,0,,4,30D,-0.17647065705454434
2022-10-19,PTBA.JK,EXIT,1,D1+D2,4,30D,-0.04825740026987735
2023-02-28,PTBA.JK,HEALTHY,0,,6,30D,0.03367868943069818
2023-03-07,PTBA.JK,EXIT,1,D2,5,30D,0.03394261267242005
2023-03-08,PTBA.JK,HEALTHY,0,,5,30D,0.031088138115895614
2023-03-14,PTBA.JK,EXIT,1,D2,5,30D,0.03133176956553818
2023-03-17,PTBA.JK,HEALTHY,0,,5,30D,0.0644329785812503
2023-03-20,PTBA.JK,EXIT,1,D2,5,30D,0.08094014900051638
2023-03-29,PTBA.JK,HEALTHY,0,,5,30D,-0.10741694528544199
2023-05-03,PTBA.JK,EXIT,1,D1+D2,5,30D,-0.0863508747984808
2023-06-26,PTBA.JK,HEALTHY,0,,5,30D,-0.12063485774885419
2023-06-27,PTBA.JK,EXIT,1,D2,5,30D,0.01865664860048999
2023-07-03,PTBA.JK,HEALTHY,0,,5,30D,0.007352961831360583
2023-08-10,PTBA.JK,HEALTHY,0,,7,30D,0.03225803874985811
2023-08-18,PTBA.JK,HEALTHY,0,,7,30D,0.01792108192424502
2023-09-14,PTBA.JK,HEALTHY,0,,9,30D,-0.062283798393303
2023-10-05,PTBA.JK,EXIT,1,D1+D2,9,30D,-0.10150374567527631
2023-10-13,PTBA.JK,EXIT,1,D1,9,30D,-0.1226765733262245
2023-10-23,PTBA.JK,EXIT,1,D2,9,30D,-0.0864661093957999
2023-10-26,PTBA.JK,EXIT,1,D2,9,30D,-0.07518800187066832
2024-01-15,PTBA.JK,HEALTHY,0,,10,30D,-0.011070024436240167
2024-01-17,PTBA.JK,EXIT,1,D2,10,30D,-0.007518758297500261
2024-02-20,PTBA.JK,EXIT,1,D2,15,30D,0.11363631704431998
2024-04-01,PTBA.JK,HEALTHY,0,,7,30D,0.01384086856726885
2024-05-08,PTBA.JK,HEALTHY,0,,7,30D,-0.04039355898766961
2024-06-03,PTBA.JK,HEALTHY,0,,7,30D,-0.019379846201311945
2024-07-18,PTBA.JK,HEALTHY,0,,9,30D,0.041984713584494404
2024-08-22,PTBA.JK,HEALTHY,0,,10,30D,0.14705872832281064
2024-08-27,PTBA.JK,HEALTHY,0,,10,30D,0.11870498363617155
2024-08-29,PTBA.JK,HEALTHY,0,,10,30D,0.1079136754731218
2024-09-02,PTBA.JK,HEALTHY,0,,10,30D,0.0815603338568609
2024-09-20,PTBA.JK,HEALTHY,0,,10,30D,0.023728778464432887
2024-11-11,PTBA.JK,EXIT,1,D1,11,30D,0.010830265741417655
2024-11-14,PTBA.JK,EXIT,1,D1,11,30D,-0.010830365072492354
2024-11-29,PTBA.JK,EXIT,1,D2,11,30D,0.0
2024-12-06,PTBA.JK,EXIT,1,D1,11,30D,-0.014652035695345011
2024-12-11,PTBA.JK,EXIT,1,D1,11,30D,-0.04642851703086803
2024-12-17,PTBA.JK,EXIT,1,D1+D2,11,30D,0.007490595792351895
2025-01-02,PTBA.JK,EXIT,1,D2,11,30D,0.014925394587097074
2025-01-23,PTBA.JK,EXIT,1,D2,11,30D,-0.033333357111477224
2025-02-06,PTBA.JK,EXIT,1,D2,11,30D,-0.03773585297468274
2025-02-18,PTBA.JK,EXIT,1,D2,11,30D,-0.0966542625449428
2025-07-09,PTBA.JK,EXIT,1,D1+D2,7,30D,0.004184100418409997
2025-08-04,PTBA.JK,EXIT,1,D1,9,30D,0.008333333333333304
2025-08-07,PTBA.JK,EXIT,1,D1,9,30D,0.0
2025-08-26,PTBA.JK,HEALTHY,0,,9,30D,-0.06000000000000005
2025-09-10,PTBA.JK,EXIT,1,D2,9,30D,-0.01680672268907568
2025-11-18,PTBA.JK,EXIT,1,D2,14,30D,-0.017316017316017285
2025-11-21,PTBA.JK,EXIT,1,D1,14,30D,-0.017241379310344862
2025-12-30,PTBA.JK,EXIT,1,D2,14,30D,0.09956709956709964
2022-04-11,SIDO.JK,EXIT,1,D1,99,30D,0.06077354533666268
2022-07-29,SIDO.JK,EXIT,1,D1,99,30D,-0.20441981963630595
2023-02-17,SIDO.JK,EXIT,1,D2,99,30D,-0.05747123026167256
2023-02-24,SIDO.JK,EXIT,1,D2,99,30D,-0.005780404661681171
2023-03-13,SIDO.JK,EXIT,1,D2,99,30D,-0.014099917568302645
2023-03-30,SIDO.JK,EXIT,1,D2,99,30D,-0.02047569265111271
2023-04-04,SIDO.JK,EXIT,1,D2,99,30D,-0.05670058999674188
2024-04-26,SIDO.JK,EXIT,1,D2,99,30D,0.04095170322826802
2024-08-27,SIDO.JK,EXIT,1,D1,99,30D,-0.042857158604445944
2024-10-02,SIDO.JK,EXIT,1,D2,99,30D,-0.07575767076853457
2024-10-10,SIDO.JK,EXIT,1,D2,99,30D,-0.09521828270535104
2024-10-21,SIDO.JK,EXIT,1,D2,99,30D,-0.09426470083388927
2024-10-24,SIDO.JK,EXIT,1,D1+D2,99,30D,-0.06003411280390658
2025-09-25,SIDO.JK,EXIT,1,D2,99,30D,0.04629630919500549
2026-04-14,SIDO.JK,EXIT,1,D1,99,30D,-0.1205384636030028
2026-04-27,SIDO.JK,EXIT,1,D1,99,30D,-0.18548387096774188
2022-01-03,SMGR.JK,EXIT,1,D2,99,30D,-0.05498278592977279
2022-12-06,SMGR.JK,EXIT,1,D1,16,30D,-0.05312198080152197
2022-12-16,SMGR.JK,EXIT,1,D1+D2,16,30D,0.05338068087518888
2023-01-11,SMGR.JK,EXIT,1,D2,16,30D,0.1071428934485883
2023-01-18,SMGR.JK,EXIT,1,D2,16,30D,0.060714230697139104
2023-02-06,SMGR.JK,EXIT,1,D1,11,30D,-0.02413796722266004
2023-02-28,SMGR.JK,EXIT,1,D1,11,30D,-0.12802768637962558
2023-03-06,SMGR.JK,EXIT,1,D1,14,30D,-0.15438599779880768
2023-03-08,SMGR.JK,EXIT,1,D2,14,30D,-0.10869568149161168
2023-07-20,SMGR.JK,EXIT,1,D2,14,30D,0.0
2023-07-27,SMGR.JK,EXIT,1,D2,14,30D,0.026217272309080553
2023-08-01,SMGR.JK,EXIT,1,D2,11,30D,0.011152445636789299
2023-08-09,SMGR.JK,EXIT,1,D2,11,30D,0.037453178812447696
2023-08-18,SMGR.JK,EXIT,1,D2,11,30D,0.022304891273578376
2023-08-23,SMGR.JK,EXIT,1,D2,11,30D,0.0260223471581309
2023-09-25,SMGR.JK,EXIT,1,D2,12,30D,-0.03759405552371253
2023-12-01,SMGR.JK,HEALTHY,0,,8,30D,-0.011450332172527
2023-12-04,SMGR.JK,EXIT,1,D1,8,30D,-0.011627937230880736
2024-01-04,SMGR.JK,HEALTHY,0,,8,30D,-0.023166083833390694
2024-01-08,SMGR.JK,EXIT,1,D1+D2,8,30D,0.0
2024-02-19,SMGR.JK,EXIT,1,D2,14,30D,-0.0909090306073631
2026-02-09,SMGR.JK,EXIT,1,D2,21,30D,-0.007782076013384875
2026-03-03,SMGR.JK,EXIT,1,D2,21,30D,-0.12500004558252464
2022-05-09,TLKM.JK,EXIT,1,D1,18,30D,-0.03316969045974094
2022-05-17,TLKM.JK,EXIT,1,D1,18,30D,0.021697516652232407
2022-05-20,TLKM.JK,EXIT,1,D1,18,30D,0.006747087033021293
2022-07-13,TLKM.JK,EXIT,1,D2,19,30D,0.159898601161093
2022-11-02,TLKM.JK,EXIT,1,D1,19,30D,-0.061611338430702545
2023-03-14,TLKM.JK,EXIT,1,D2,21,30D,0.06218908139712287
2023-03-27,TLKM.JK,EXIT,1,D2,21,30D,0.024691398860721137
2023-05-12,TLKM.JK,EXIT,1,D2,21,30D,0.05255814930244407
2023-05-31,TLKM.JK,EXIT,1,D2,21,30D,0.021449513639510087
2023-07-18,TLKM.JK,EXIT,1,D1+D2,21,30D,-0.0233765894396063
2023-09-27,TLKM.JK,EXIT,1,D1+D2,19,30D,-0.0591397756566886
2023-10-20,TLKM.JK,EXIT,1,D1,19,30D,-0.0297297625955939
2023-11-29,TLKM.JK,EXIT,1,D1,16,30D,0.07258069181097704
2024-02-01,TLKM.JK,HEALTHY,0,,7,30D,-0.0346534841809687
2024-02-12,TLKM.JK,HEALTHY,0,,7,30D,-0.007499919654696874
2024-02-16,TLKM.JK,HEALTHY,0,,7,30D,-0.05528845071887212
2024-03-25,TLKM.JK,EXIT,1,D1,13,30D,-0.1528150206359774
2025-05-20,TLKM.JK,EXIT,1,D2,15,30D,0.019706896168899757
2025-05-23,TLKM.JK,EXIT,1,D2,15,30D,0.11485572907946828
2025-06-02,TLKM.JK,EXIT,1,D2,15,30D,0.020556591614130815
2025-06-23,TLKM.JK,EXIT,1,D2,15,30D,0.10465116279069764
2025-07-01,TLKM.JK,HEALTHY,0,,10,30D,0.02491103202846978
2025-07-11,TLKM.JK,HEALTHY,0,,10,30D,0.09523809523809534
2025-07-22,TLKM.JK,HEALTHY,0,,10,30D,0.14035087719298245
2025-08-01,TLKM.JK,HEALTHY,0,,5,30D,0.030201342281879207
2025-09-04,TLKM.JK,HEALTHY,0,,7,30D,-0.0444444444444444
2025-09-17,TLKM.JK,HEALTHY,0,,7,30D,-0.11676646706586824
2025-10-02,TLKM.JK,HEALTHY,0,,6,30D,0.025559105431310014
2025-10-14,TLKM.JK,EXIT,1,D2,6,30D,0.20270270270270263
2025-10-16,TLKM.JK,EXIT,1,D2,6,30D,0.20338983050847448
2025-10-21,TLKM.JK,HEALTHY,0,,6,30D,0.11280487804878048
2025-12-04,TLKM.JK,HEALTHY,0,,7,30D,-0.02754820936639113
2026-01-05,TLKM.JK,HEALTHY,0,,7,30D,-0.06983240223463683
2026-01-15,TLKM.JK,HEALTHY,0,,7,30D,-0.04644808743169404
2026-01-30,TLKM.JK,HEALTHY,0,,7,30D,-0.11111111111111116
2026-02-04,TLKM.JK,EXIT,1,D2,7,30D,-0.06906906906906907
2026-02-12,TLKM.JK,HEALTHY,0,,7,30D,-0.1432584269662921
2026-02-23,TLKM.JK,HEALTHY,0,,7,30D,-0.13802816901408455
2026-03-04,TLKM.JK,EXIT,1,D1+D2,7,30D,0.0031250000000000444
2022-01-03,TPIA.JK,EXIT,1,D2,99,30D,0.2551723229286853
2022-02-14,TPIA.JK,EXIT,1,D2,99,30D,-0.002659466642110697
2022-02-17,TPIA.JK,EXIT,1,D2,99,30D,0.00793649801204599
2022-03-17,TPIA.JK,EXIT,1,D2,99,30D,0.0666665826342625
2022-03-22,TPIA.JK,EXIT,1,D2,99,30D,0.07611549451902566
