Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m,fwd_return_1m,recovery_norm,rs_3m_norm,rs_6m_norm,rs_change_norm,drawdown_norm,volatility_3m_norm,recovery_score,recovery_score_pctl
2024-12-31,7953.8310546875,,-102978219838.58998,,,,7079.90478515625,,,,,,7953.8310546875,0.0,7953.8310546875,0.0,AADI.JK,AVOID,2024-12,,,,,,-0.2988505618816097,-0.2555555598376586,,False,False,0.10317455074068516,-0.49655416171793365,,,,1.4132984766363657,,,
2025-01-31,8868.873046875,0.1150441825952828,211378055812.52,,,,7109.19580078125,,,,,,8868.873046875,0.0,7953.8310546875,0.1150441825952828,AADI.JK,AVOID,2025-01,,,,,,-0.4052044419849443,-0.3897057979656921,,False,False,-0.4052044419849443,1.9697174089692822,,,,1.4203985937449501,,,
2025-02-28,6311.44677734375,-0.2883597787469034,-214692389448.2,,,,6270.59716796875,,,,,,8868.873046875,-0.2883597787469034,6311.44677734375,0.0,AADI.JK,AVOID,2025-02,,,,,,0.0692041375480382,0.0253623021755887,0.2852496766225758,False,False,-0.030651284478518948,-0.3581425476871323,,,,-0.03189904795878989,4.004898746424618,,
2025-03-31,6123.74609375,-0.0297397237456775,-27936532294.71,-0.2300884879694497,,,6510.6201171875,,,,-0.149679967622917,,8868.873046875,-0.3095237623332833,6123.74609375,0.0,AADI.JK,AVOID,2025-03,,,,,,0.033333320487024,0.1241610644515919,0.204361390845871,False,False,0.02973972374567757,-0.6928926491816824,-0.7180706324518447,,,-0.2688746755342168,1.7095611425110768,,
2025-04-30,6311.44677734375,0.0306512844785189,51294444241.85,-0.2883597787469034,,,6766.794921875,,,,-0.24019668287766,,8868.873046875,-0.2883597787469034,6123.74609375,0.0306512844785188,AADI.JK,AVOID,2025-04,,,,,,0.0110294584589837,0.2134503091227728,0.1694596634322292,False,False,0.06920413754803822,-0.8384272846424915,-1.772921671570989,,,-0.5191833515380448,0.5710258560864643,,
2025-05-31,6780.69921875,0.0743494254107837,61929432423.65,0.0743494254107837,,,7175.81884765625,,,,-0.0700102991002282,,8868.873046875,-0.2354497371975327,6123.74609375,0.1072796152783828,AADI.JK,AVOID,2025-05,,,,,,-0.0471014506413451,0.0959067708333333,0.0522671859573274,False,False,-0.07037030899355967,-0.46160551222590995,-0.5335064945702013,,,-0.5474100564975554,-0.6106702714028066,,
2025-06-30,6334.90966796875,-0.0657438910648848,-4835381975.5,0.0344827448731532,-0.2035398257251965,,6927.67919921875,-0.2035398257251965,-0.0215010781298439,-0.1820387475953526,-0.0295755283058098,,8868.873046875,-0.2857142463888472,6311.44677734375,0.0037175138209554,AADI.JK,AVOID,2025-06,,,,,,0.0939597338871019,0.0917692232302866,0.0716794888259902,False,False,0.0073529468022871525,-0.5026572621333135,-0.4808738534942859,-0.8451106614568675,,-0.7545589998322902,-0.4170888280402315,,
2025-07-31,6381.8349609375,0.0074074131168782,9725703440.030005,0.011152464098473,-0.2804232367283488,,7484.3369140625,-0.2804232367283488,0.0527684317317613,-0.3331916684601101,-0.0948862145480311,-0.1511529208647575,8868.873046875,-0.2804232367283488,6334.90966796875,0.0074074131168781,AADI.JK,AVOID,2025-07,,,,,,0.2046783419335994,0.1602848735608553,0.0700695887845338,True,False,0.014492690241583506,-0.4381617312431685,-0.2839864803290168,-1.0835737416308386,-0.9114191292551383,-0.824464498848817,-0.3840172931827817,-0.5629028540416154,92.1875
2025-08-31,6475.68505859375,0.0147058170934686,54283092569.32,-0.0449827002077933,0.0260222872891153,,7830.4931640625,0.0260222872891153,0.2487635474436083,-0.2227412601544929,-0.1362160953512727,0.1104504083056172,8868.873046875,-0.2698412724629657,6334.90966796875,0.0222221622727793,AADI.JK,WATCH,2025-08,,,,,,0.1365753255208333,0.2999259396114865,0.0444907022999611,False,False,0.07382556006786911,-0.3944575035302402,-0.40193649891226485,-0.5939782523180366,0.43857612619916636,-0.8713608095921215,-0.5087093276050193,-0.3647271713369441,53.125
2025-09-30,6991.86328125,0.0797102110411067,52203453199.700005,0.1037037065584391,0.1417624398872472,,8061.06201171875,0.1417624398872472,0.2381404331114653,-0.0963779932242181,-0.0598983858461592,0.1263632669302747,8868.873046875,-0.2116401661974827,6381.8349609375,0.0955882319186276,AADI.JK,WATCH,2025-09,,,,,,-0.0024176747311828,0.3798790881374723,0.0398047997959564,False,False,0.12865495083244083,-0.2429417469684031,-0.094148349829536,-0.30898165799577176,0.11430696940178217,-0.7087311890795797,-0.642992502359861,-0.21579191393434394,45.3125
2025-10-31,8024.21875,0.1476509804644572,74874754047.9,0.2573529085467343,0.2713754917184126,,8163.875,0.2713754917184126,0.2064611229178325,0.0649143688005799,0.1665582137407455,0.1612923620247981,8868.873046875,-0.0952380637777444,6475.68505859375,0.2391304823188123,AADI.JK,BUY,2025-10,,,,,,-0.0558182565789473,0.3082570043103448,0.0664779861383644,False,False,-0.06989583333333327,0.35756465430478623,0.3915646181396941,0.019110535395959718,0.9457334973960286,0.03483572063857376,-0.47205622833969857,0.27592861571816907,20.3125
2025-11-30,7500.0,-0.0653295686885405,-28876439584.22,0.1581786223601011,0.1060806206034015,,8508.7060546875,0.1060806206034015,0.1857470534483454,-0.0796664328449439,0.0715668500980921,-0.1445808016455239,8868.873046875,-0.1543457708369532,6991.86328125,0.0726754369057336,AADI.JK,AVOID,2025-11,,,,,,0.1891891891891891,0.1071428571428571,0.1087912375235049,False,False,-0.07526881720430101,-0.00448324918433331,0.17176047663397925,-0.0850255129666064,-0.14519570309336305,-0.38268392775150967,0.07001711537473597,0.025660206869709788,25.0
2025-12-31,6975.0,-0.0699999999999999,-27631240433.2,-0.0024118436776677,0.1010417457517576,-0.1230640992947212,8646.9384765625,0.1010417457517576,0.2481724727579237,-0.1471307270061661,-0.0750916548479619,-0.0674642941612222,8868.873046875,-0.2135415668783665,6975.0,0.0,AADI.JK,AVOID,2025-12,,,,,,0.3813747228381374,,0.1243345463814509,True,False,,-0.384142802700988,-0.24304254712110465,-0.22224968897990693,-0.2955165827382323,-1.0123515975423305,0.4555158487123387,-0.21660561614519855,45.3125
2023-01-31,419.0802917480469,-0.0120967657812716,27545564629.26,-0.1327433913349637,-0.3098591315710122,-0.5933892854922141,6839.341796875,-0.3098591315710122,-0.0160810345675369,-0.2937780970034752,-0.0961815718328917,0.0532456725724029,892.9666748046875,-0.5306876465018032,419.0802917480469,0.0,ACES.JK,AVOID,2023-01,,,,,,-0.0888888783164514,0.3517162749892176,0.060654034335046,False,False,0.029702950009266704,-0.6204249324179217,-0.600812391139178,-1.060508798236635,0.30672716037127346,-2.010312379955928,-0.2820591981205098,-0.5760061604893805,80.0
2023-02-28,431.9092712402344,0.0306122233490768,41681944765.34,0.0100000171273495,-0.2986111186825183,-0.5163209519160354,6843.23876953125,-0.2986111186825183,-0.0467154526889039,-0.2518956659936143,0.0436200843583821,0.0418824310098608,872.10302734375,-0.5047497168359306,419.0802917480469,0.0306122233490768,ACES.JK,WATCH,2023-02,,,,,,0.1984126049149381,0.341023302202269,0.0235646027777019,False,False,-0.05648539375362316,-0.34461188188779607,0.3717986424664488,-1.1461513472216875,0.2195054563057678,-1.7651273317993927,-0.9435025947296058,-0.2934739551131255,66.66666666666667
2023-03-31,408.8170776367188,-0.0534653806740613,-7728698567.059999,-0.0362903692832848,-0.2163935162691673,-0.5220816933428307,6805.27685546875,-0.2163935162691673,-0.0334508959153659,-0.1829426203538013,-0.0296716558173202,0.0689530456398129,872.10302734375,-0.5312284617542342,408.8170776367188,0.0,ACES.JK,AVOID,2023-03,,,,,,0.2918519177925341,0.3928889412585795,0.0420405826730866,True,False,-0.062222151386891245,-0.6489156995218357,-0.10905539183992927,-0.7389241115085478,1.0721218669614065,-1.6486179067123614,-0.7192300299382622,-0.3398869660079247,61.66666666666667
2023-04-30,384.8696594238281,-0.058577343078047,-6688176344.56,-0.0816326441444456,-0.2035398414520354,-0.5586878529752803,6915.7158203125,-0.2035398414520354,-0.025803233023538,-0.1777366084284973,-0.0927995116158734,0.005206011925304,801.1663818359375,-0.5196133185944869,384.8696594238281,0.0,ACES.JK,AVOID,2023-04,,,,,,0.4046373896176585,0.4641736658331483,0.0500831881595506,True,True,0.2857141805293054,-0.7236790988420512,-0.27330664285583783,-0.6033183630391945,0.3505065224242263,-1.641124128990075,-0.369917168077949,-0.4217004596825778,70.0
2023-05-31,538.8174438476562,0.3999997938374688,148281568641.37,0.2475246069630163,0.2599998743994367,-0.3274587450700158,6633.26123046875,0.2599998743994367,-0.0632724126943652,0.3232722870938019,0.2782085486073443,0.5010088955222993,658.5547485351562,-0.1818182997751294,384.8696594238281,0.3999997938374689,ACES.JK,ACCUMULATE,2023-05,,,,,,0.1779103540820992,0.2051318782816052,0.2632963435484892,False,False,0.06666682877737062,3.4713003676342113,1.7853545903172814,1.6410647443495379,2.9977867472871735,0.20969622094510776,2.6815268950067566,2.4731408004847486,0.0
2023-06-30,577.3045043945312,0.0714287575250751,23794013428.65,0.412134022707175,0.3608871575456411,-0.1233765974983134,6661.87890625,0.3608871575456411,-0.0275508286916357,0.3884379862372769,0.4332056046963067,0.0651656991434749,615.7914428710938,-0.0624999566364859,384.8696594238281,0.5000000396466406,ACES.JK,BUY,2023-06,,,,,,0.1426778183894658,0.1069560608223602,0.2363449113051592,False,False,0.1069560608223602,3.7062301693733217,2.700291539674891,1.8285432659486487,0.20060227836072148,0.73331721030511,1.7207033504540723,2.4797957287856724,0.0
2023-07-31,646.44580078125,0.1197657317072784,74285819854.45001,0.6796486419558672,0.5425344820793825,0.0645660870439239,6931.35888671875,0.5425344820793825,0.0134540855796669,0.5290803964997155,0.677386682845242,0.1406424102624386,646.44580078125,0.0,538.8174438476562,0.1997492066422858,ACES.JK,BUY,2023-07,,,,,,0.1000000254924569,0.1529411538890335,0.1774009200250846,False,False,0.013698599521160815,1.2242765847574337,3.895544918382762,2.442174026336372,1.4604810755336246,0.9386982059280575,1.0132370863803686,2.271753072400733,0.0
2023-08-31,655.4241943359375,0.013888857416719,37968195073.83,0.2164123523091623,0.517504341719446,0.0643606726330237,6953.259765625,0.517504341719446,0.0160773282650323,0.5014270134544137,0.1681708427352002,-0.0276533830453018,655.4241943359375,0.0,577.3045043945312,0.1353179982950887,ACES.JK,BUY,2023-08,,,,,,0.0331125982849619,0.125748470818797,0.0530050558706581,False,False,0.026666696879949825,0.3191881370239369,0.6938815513685863,2.325732057112565,-0.1504008375604932,0.9350003190054956,-0.32865084145728185,0.7211621500384924,9.999999999999998
2023-09-30,673.3810424804688,0.0273972921654575,39539448645.65,0.1664226371950816,0.6471450908390026,0.2907135728268537,6939.89208984375,0.6471450908390026,0.0197810077729347,0.6273640830660678,0.1246906892707617,0.1259370696116541,673.3810424804688,0.0,646.44580078125,0.0416666666666666,ACES.JK,BUY,2023-09,,,,,,-0.0416666666666667,0.1477272507812859,0.0576256871864895,False,False,0.0625000265546426,-0.29102817661745106,0.45046235440737753,2.2743368988732833,0.4921704992609648,0.9282944085920849,-0.31348890235558585,0.5205657928021725,13.11475409836066
2023-10-31,718.2731323242188,0.0666666968799498,27343983095.35,0.1111111425832809,0.8662763217020397,0.4864147350771188,6752.2109375,0.8662763217020397,-0.0236425103432187,0.8899188320452585,0.1369571494264725,0.2625547489791906,718.2731323242188,0.0,655.4241943359375,0.0958904760175332,ACES.JK,BUY,2023-10,,,,,,0.0588234776623683,0.1443849921346905,0.0274167354438795,False,False,-0.0596026949208488,0.8781884055502964,0.5499773302401515,3.484342272695416,2.277460492776905,1.1844934269763536,-0.6834123201844913,1.284722992535459,3.2786885245901676
