month,weak_ticker,weak_rank,weak_exit_state,turnaround_ticker,ta_confirmation,ta_context,ta_transition
2018-06-30,ADRO.JK,99,EXIT,EXCL.JK,1,True,True
2018-07-31,ADRO.JK,99,EXIT,PGAS.JK,2,True,True
2018-09-30,ADRO.JK,99,EXIT,ESSA.JK,2,True,True
2018-10-31,ADRO.JK,99,EXIT,BRPT.JK,3,True,True
2018-11-30,ADRO.JK,99,EXIT,ESSA.JK,0,True,True
2019-01-31,ADRO.JK,99,EXIT,EXCL.JK,1,True,True
2019-06-30,ADRO.JK,99,EXIT,CPIN.JK,3,True,True
2019-07-31,ADRO.JK,99,EXIT,CPIN.JK,2,True,True
2019-08-31,ADRO.JK,99,EXIT,CPIN.JK,2,True,True
2019-09-30,ADRO.JK,99,EXIT,ESSA.JK,0,True,True
2019-10-31,AKRA.JK,99,EXIT,ITMG.JK,3,True,True
2019-11-30,ADRO.JK,99,EXIT,ESSA.JK,1,True,True
2019-12-31,AKRA.JK,99,EXIT,ESSA.JK,2,True,True
2020-01-31,ADRO.JK,99,EXIT,PTBA.JK,0,True,True
2020-02-29,ADRO.JK,99,EXIT,ITMG.JK,3,True,True
2020-03-31,ADRO.JK,99,EXIT,MIKA.JK,3,True,True
2020-04-30,ADRO.JK,99,EXIT,CPIN.JK,3,True,True
2020-05-31,ADRO.JK,99,EXIT,CPIN.JK,3,True,True
2020-06-30,ADRO.JK,99,EXIT,BBNI.JK,2,True,True
2020-07-31,ADRO.JK,99,EXIT,PGAS.JK,3,True,True
2020-08-31,ADRO.JK,99,EXIT,BBNI.JK,3,True,True
2020-09-30,ADRO.JK,99,EXIT,BMRI.JK,1,True,True
2020-10-31,ADRO.JK,99,EXIT,BRPT.JK,2,True,True
2020-11-30,AKRA.JK,99,EXIT,BRPT.JK,3,True,True
2020-12-31,AKRA.JK,99,EXIT,ESSA.JK,2,True,True
2021-01-31,ADRO.JK,99,EXIT,ESSA.JK,1,True,True
2021-02-28,ADRO.JK,99,EXIT,KLBF.JK,1,True,True
2021-08-31,ADRO.JK,99,EXIT,TPIA.JK,1,True,True
2021-09-30,ANTM.JK,99,EXIT,BRPT.JK,2,True,True
2021-10-31,ADRO.JK,99,EXIT,SMGR.JK,3,True,True
2021-11-30,AKRA.JK,99,EXIT,ESSA.JK,2,True,True
2021-12-31,ANTM.JK,99,EXIT,SMGR.JK,0,True,True
2022-01-31,AKRA.JK,99,EXIT,BRPT.JK,1,True,True
2022-05-31,ANTM.JK,99,EXIT,ESSA.JK,2,True,True
2022-06-30,ADRO.JK,99,EXIT,SMGR.JK,2,True,True
2022-08-31,ANTM.JK,99,EXIT,BRPT.JK,1,True,True
2022-09-30,ANTM.JK,99,EXIT,ESSA.JK,1,True,True
2022-10-31,ANTM.JK,99,EXIT,ESSA.JK,3,True,True
2022-11-30,ANTM.JK,99,EXIT,MDKA.JK,2,True,True
2022-12-31,ANTM.JK,99,EXIT,MDKA.JK,1,True,True
2023-02-28,ADRO.JK,99,EXIT,ESSA.JK,3,True,True
2023-03-31,ADRO.JK,99,EXIT,ESSA.JK,2,True,True
2023-04-30,ADRO.JK,99,EXIT,GOTO.JK,2,True,True
2023-05-31,ADRO.JK,99,EXIT,GOTO.JK,3,True,True
2023-06-30,ADRO.JK,99,EXIT,EXCL.JK,1,True,True
2023-07-31,ADRO.JK,99,EXIT,MDKA.JK,3,True,True
2023-08-31,ADRO.JK,99,EXIT,MDKA.JK,3,True,True
2023-09-30,ADRO.JK,99,EXIT,ESSA.JK,2,True,True
2023-10-31,ADRO.JK,99,EXIT,BRPT.JK,3,True,True
2023-11-30,ADRO.JK,99,EXIT,GOTO.JK,3,True,True
2023-12-31,ADRO.JK,99,EXIT,MDKA.JK,2,True,True
2024-01-31,ANTM.JK,99,EXIT,GOTO.JK,3,True,True
2024-02-29,ANTM.JK,99,EXIT,SIDO.JK,2,True,True
2024-03-31,ANTM.JK,99,EXIT,ESSA.JK,2,True,True
2024-05-31,AMMN.JK,99,EXIT,BRPT.JK,2,True,True
2024-06-30,AMMN.JK,99,EXIT,BRPT.JK,2,True,True
2024-07-31,AKRA.JK,99,EXIT,BRPT.JK,1,True,True
2024-08-31,AKRA.JK,99,EXIT,BRPT.JK,2,True,True
2024-09-30,AMMN.JK,99,EXIT,GOTO.JK,2,True,True
2024-10-31,AKRA.JK,99,EXIT,GOTO.JK,2,True,True
2024-11-30,ADRO.JK,99,EXIT,GOTO.JK,3,True,True
2024-12-31,AKRA.JK,99,EXIT,BRPT.JK,2,True,True
2025-01-31,ADRO.JK,99,EXIT,BRPT.JK,1,True,True
2025-02-28,ADRO.JK,99,EXIT,MAPI.JK,3,True,True
2025-03-31,ADRO.JK,99,EXIT,BBRI.JK,2,True,True
2025-04-30,ADRO.JK,99,EXIT,SMGR.JK,3,True,True
2025-05-31,ADRO.JK,99,EXIT,INTP.JK,2,True,True
2025-06-30,ADRO.JK,99,EXIT,MDKA.JK,2,True,True
2025-07-31,ADRO.JK,99,EXIT,ESSA.JK,2,True,True
2025-08-31,ADRO.JK,99,EXIT,ESSA.JK,1,True,True
2025-09-30,ADRO.JK,99,EXIT,ESSA.JK,3,True,True
2025-10-31,ADRO.JK,99,EXIT,MAPI.JK,2,True,True
2025-11-30,ADRO.JK,99,EXIT,GOTO.JK,2,True,True
2025-12-31,ADRO.JK,99,EXIT,GOTO.JK,1,True,True
2026-01-31,AMMN.JK,99,EXIT,EXCL.JK,2,True,True
2026-02-28,AMMN.JK,99,EXIT,EXCL.JK,2,True,True
2026-04-30,AMMN.JK,99,EXIT,BRPT.JK,1,True,True
2026-05-31,AKRA.JK,99,EXIT,BRPT.JK,3,True,True
