month,config_b_return,dl_return,excess
2022-01-01,0.05154132392752716,0.05154132392752716,0.0
2022-02-01,0.09199744541281407,0.09199744541281407,0.0
2022-03-01,0.22026663754725812,0.22026663754725812,0.0
2022-04-01,0.12320234082054429,0.11167390705745635,-0.011528433763087945
2022-05-01,0.034357546384117,0.01195932721463818,-0.022398219169478817
2022-06-01,-0.11362760183450715,-0.09301757546920407,0.020610026365303083
2022-07-01,0.15185908396336595,0.02938393110251138,-0.12247515286085457
2022-08-01,0.040686328650236504,0.033461941120854745,-0.007224387529381759
2022-09-01,0.03643380480426732,0.02073060670528472,-0.015703198098982598
2022-10-01,0.05759413291428263,0.03979437789111714,-0.01779975502316549
2022-11-01,-0.014243916849033481,0.03997207034108804,0.05421598719012152
2022-12-01,-0.04004433271133624,-0.027517181178230078,0.012527151533106164
2023-01-01,0.0012886094847250839,0.02525250863930814,0.02396389915458306
2023-02-01,0.05731071574395023,0.012057097635242141,-0.045253618108708094
2023-03-01,0.05418440651993202,-0.006061060232895682,-0.0602454667528277
2023-04-01,0.048542251892373,-0.0237736764150093,-0.0723159283073823
2023-05-01,-0.029857999401250963,0.017997621566678973,0.04785562096792993
2023-06-01,0.059529872603477994,-0.02945264749847217,-0.08898252010195017
2023-07-01,0.02972762812760818,0.07313363397485448,0.0434060058472463
2023-08-01,0.11470951598976906,0.03716808958515257,-0.07754142640461649
2023-09-01,0.06547632245736493,0.05838402334926574,-0.007092299108099186
2023-10-01,-0.05521086166056495,-0.1768368167721597,-0.12162595511159476
2023-11-01,-0.0189913773674653,0.17490833714842158,0.1938997145158869
2023-12-01,0.07918098586369603,-0.026632270518886895,-0.10581325638258292
2024-01-01,-0.0015299188386368734,0.010553097940106032,0.012083016778742905
2024-02-01,0.05081705192625896,-0.07827276798593859,-0.12908981991219753
2024-03-01,0.039988681463942875,0.14507719464367527,0.10508851317973239
2024-04-01,-0.05766583833460677,0.10713054954260014,0.1647963878772069
2024-05-01,-0.01442156493396422,0.04461553957108456,0.059037104505048774
2024-06-01,0.03859696737112557,-0.037099398279618966,-0.07569636565074453
2024-07-01,0.08861178454448507,0.11534694457415016,0.026735160029665098
2024-08-01,0.04693745444500941,0.06356313575659013,0.016625681311580723
2024-09-01,0.015009705592548142,0.1112791891327245,0.09626948354017635
2024-10-01,0.004995377712733703,0.03511397776211354,0.030118600049379832
2024-11-01,-0.026556591751314786,-0.0948135985907154,-0.06825700683940061
2024-12-01,0.02671686180898996,-0.0354197399393128,-0.06213660174830276
2025-01-01,-0.009377918367208742,-0.013296095776018266,-0.0039181774088095245
2025-02-01,-0.035263124125417676,-0.0450177507930473,-0.00975462666762962
2025-03-01,0.04157428601656996,0.046843595857148625,0.005269309840578662
2025-04-01,0.11998213279525967,0.10114097649951047,-0.0188411562957492
2025-05-01,0.17843861804504968,0.112972178540311,-0.06546643950473868
2025-06-01,0.006000485055160998,-0.03901538323424423,-0.04501586828940523
2025-07-01,0.15015671091737443,0.084102743746016,-0.06605396717135842
2025-08-01,0.022736570158468878,-0.09460907146197904,-0.11734564162044792
2025-09-01,0.17748854717340523,0.060841628561012884,-0.11664691861239235
2025-10-01,0.008252161346860775,-0.0006843451358595314,-0.008936506482720307
2025-11-01,0.023936001234981658,0.014424102190898833,-0.009511899044082825
2025-12-01,0.026571012439275538,0.032256180438047864,0.005685167998772327
2026-01-01,0.00379162524853255,0.057067297858206044,0.053275672609673495
2026-02-01,0.04549770763615664,0.015766695283986065,-0.029731012352170575
2026-03-01,-0.18127796578303193,-0.0026320181474793988,0.17864594763555253
2026-04-01,0.07009380537339066,0.16463898412032596,0.0945451787469353
2026-05-01,-0.06716492440710727,-0.06693752872393134,0.00022739568317592385
