month,replaced,replacement,reason,rank_drop,entry_rank,curr_rank
2023-04-30,ESSA.JK,BBRI.JK,rank_drop,14,2,16
2024-01-31,ESSA.JK,BMRI.JK,rank_drop,12,16,28
