Date,ticker,Close,rs_20d,rs_change_20d,ma20,ma50,ma100,above_ma100,drawdown_252d,date_dt,rank,exit_state,state_code,triggers,prev_state,is_new_event
2022-01-03,ADRO.JK,801.1145629882812,0.3836707742001204,0.27375161530524994,660.4621154785157,583.0500286865234,529.8402508544922,True,-0.004201680672268893,2022-01-03,99,EXIT WATCH,4,A,,True
2022-01-31,ADRO.JK,757.1715698242188,-0.04972769269402322,-0.43339846689414363,772.7207122802735,681.5539111328125,601.4121200561524,True,-0.09311755448859271,2022-01-31,99,WEAKENING,3,B,4.0,True
2022-02-24,ADRO.JK,838.2971801757812,0.089297103728323,0.05721940580685536,758.0166931152344,745.77638671875,649.5830154418945,True,0.0,2022-02-24,99,EXIT WATCH,4,A,3.0,True
2022-03-01,ADRO.JK,872.099609375,0.09005780936448149,0.08645302705230096,765.4532043457032,754.237060546875,654.9615939331055,True,-0.051470588235294046,2022-03-01,2,HEALTHY,5,,4.0,True
2022-03-15,ADRO.JK,916.0425415039062,0.23379756928003204,0.3056603724386695,880.0430480957032,810.9849230957032,692.3798916625976,True,-0.1712538614875515,2022-03-15,2,EXIT,1,D2,5.0,True
2022-03-16,ADRO.JK,953.2250366210938,0.22627728280239845,0.25003673106435875,890.0147308349609,814.8383874511719,696.3911428833007,True,-0.13761475865938255,2022-03-16,2,HEALTHY,5,,1.0,True
2022-03-17,ADRO.JK,926.1831665039062,0.1734602043393738,0.18463245385962956,897.620248413086,817.3397595214843,700.1948941040039,True,-0.16207961091502288,2022-03-17,2,EXIT,1,D2,5.0,True
2022-03-22,ADRO.JK,946.464599609375,0.23433113160520147,0.30476582500684735,923.6480407714844,826.8044140625,711.5636459350586,True,-0.14373094411395804,2022-03-22,2,HEALTHY,5,,1.0,True
2022-03-29,ADRO.JK,936.3238525390624,0.11268030939031637,0.09397454962126495,964.7178436279297,842.8267028808593,733.1684133911133,True,-0.15290530512382516,2022-03-29,2,EXIT,1,D2,5.0,True
2022-04-01,ADRO.JK,949.8447265625,-0.09737060723412094,-0.44003721126799555,963.8727813720703,852.4941625976562,745.0421725463867,True,-0.14067293421467408,2022-04-01,2,WEAKENING,3,B,1.0,True
2022-04-08,ADRO.JK,1068.15283203125,0.011696889367595498,-0.33289400890038,958.2953887939453,877.91349609375,769.7032095336914,True,-0.03363927461958416,2022-04-08,2,HEALTHY,5,,3.0,True
2022-06-15,ADRO.JK,1074.9376220703125,-0.07132058714856893,-0.1881798595766221,1164.7514892578124,1090.9052465820312,960.1055151367187,True,-0.18059298044156213,2022-06-15,2,EXIT,1,D2,5.0,True
2022-07-26,ADRO.JK,1117.3692626953125,0.08904098299070107,0.1191474392025973,1023.8427124023438,1086.5965063476563,1039.1442919921874,True,-0.14824804854445184,2022-07-26,2,HEALTHY,5,,1.0,True
2022-08-05,ADRO.JK,1106.7613525390625,0.05490558099258913,0.18094809491071873,1085.722344970703,1090.9909521484376,1063.6056732177735,True,-0.1563342815187294,2022-08-05,2,EXIT,1,D2,5.0,True
2022-08-12,ADRO.JK,1127.977294921875,0.08403233847049019,0.09773375303732512,1109.059814453125,1086.3941821289063,1066.9620257568358,True,-0.14016172251801118,2022-08-12,2,HEALTHY,5,,1.0,True
2022-08-16,ADRO.JK,1113.83349609375,0.008806860901594993,-0.008512446910216354,1119.137353515625,1080.7366162109374,1070.682784423828,True,-0.15094330444893922,2022-08-16,2,EXIT,1,D2,5.0,True
2022-08-18,ADRO.JK,1149.1932373046875,0.03080246160457545,0.018414880642182885,1123.2037353515625,1078.0492724609376,1072.6424664306642,True,-0.12398916351729283,2022-08-18,2,HEALTHY,5,,1.0,True
2022-08-22,ADRO.JK,1113.83349609375,0.007511655879010037,-0.034836394630364365,1129.3917236328125,1073.5939404296876,1076.816674194336,True,-0.15094330444893922,2022-08-22,2,EXIT,1,D2,5.0,True
2022-08-23,ADRO.JK,1184.5531005859375,0.036194962409205056,-0.033572009158885696,1133.811700439453,1074.7254565429687,1079.4679772949219,True,-0.09703492953348347,2022-08-23,2,HEALTHY,5,,1.0,True
2022-08-25,ADRO.JK,1205.768798828125,-0.00037513328882710084,-0.14958968629862868,1140.5300598144531,1078.4028759765624,1084.654061279297,True,-0.08086255663709141,2022-08-25,2,WEAKENING,3,B,5.0,True
2022-08-26,ADRO.JK,1205.768798828125,0.013985689993346595,-0.1263227185456477,1142.8284423828125,1080.8780590820313,1086.9766851806642,True,-0.08086255663709141,2022-08-26,2,HEALTHY,5,,3.0,True
2022-10-27,ADRO.JK,1407.319580078125,-0.0003018166595185612,-0.08421269741398785,1405.728448486328,1364.32212890625,1221.1857006835937,True,-0.06352950131479151,2022-10-27,1,WEAKENING,3,B,5.0,True
2022-11-01,ADRO.JK,1325.9921875,-0.08698461383449385,-0.12903132646261073,1398.6564819335938,1377.6881225585937,1226.2067895507812,True,-0.11764706278592263,2022-11-01,1,EXIT RISK,2,C,3.0,True
2022-11-10,ADRO.JK,1230.520751953125,-0.14685801887556216,-0.1951770666785697,1359.053533935547,1388.1546337890625,1242.7551806640624,False,-0.1811764729656713,2022-11-10,1,EXIT,1,D1+D2,2.0,True
2022-11-21,ADRO.JK,1304.7763671875,-0.06012000714220822,-0.0861108135296923,1313.96982421875,1368.4238818359374,1259.2682067871094,True,-0.13176467339072906,2022-11-21,1,EXIT RISK,2,C,1.0,True
2022-11-29,ADRO.JK,1371.9598388671875,0.04037174768096652,0.12735636151546037,1298.4115295410156,1359.5132177734374,1279.423285522461,True,-0.08705887939915546,2022-11-29,1,HEALTHY,5,,2.0,True
2022-12-05,ADRO.JK,1336.5999755859375,0.0031463282742201226,0.041546528768659496,1304.2458862304688,1355.8357983398437,1293.0721643066406,True,-0.11058833871257934,2022-12-05,1,EXIT RISK,2,C,5.0,True
2022-12-14,ADRO.JK,1371.9598388671875,0.11714884605499143,0.209904269685385,1331.2961120605469,1346.147216796875,1312.2018139648437,True,-0.08705887939915546,2022-12-14,1,HEALTHY,5,,2.0,True
2022-12-27,ADRO.JK,1325.9921875,-0.020806708797951212,-0.06117845647891773,1357.2855529785156,1339.145986328125,1332.8519311523437,False,-0.11764706278592263,2022-12-27,1,EXIT,1,D1,5.0,True
2022-12-28,ADRO.JK,1325.9921875,0.001584158287559645,-0.02382148222976077,1355.1639709472656,1338.50951171875,1335.0442395019531,False,-0.11764706278592263,2022-12-28,1,EXIT RISK,2,C,1.0,True
2022-12-29,ADRO.JK,1343.6719970703125,-0.0027483313048551894,-0.04470588991504565,1353.3959716796876,1337.0951171875,1337.3779858398439,True,-0.10588241435827062,2022-12-29,1,WEAKENING,3,B,2.0,True
2022-12-30,ADRO.JK,1361.351806640625,0.02407816351738057,-0.006262717887753899,1353.3959716796876,1336.3171997070312,1339.8531689453125,True,-0.09411776593061849,2022-12-30,1,HEALTHY,5,,3.0,True
2023-01-03,ADRO.JK,1331.5732421875,-0.011052337837339277,-0.04669832089674941,1353.6868957519532,1334.9484594726562,1344.2959692382813,False,-0.11393327016882393,2023-01-03,1,EXIT,1,D1,5.0,True
2024-01-25,ADRO.JK,1072.77392578125,-0.00287300402643742,0.014593031081006846,1105.9576416015625,1084.1274243164062,1112.5217834472655,False,-0.14438204027275447,2024-01-25,3,EXIT RISK,2,C,1.0,True
2024-01-29,ADRO.JK,1090.9564208984375,0.024301362387094683,0.0579523240556592,1106.4117431640625,1085.7346069335938,1111.2706518554687,False,-0.12988013171491086,2024-01-29,3,HEALTHY,5,,2.0,True
2024-01-30,ADRO.JK,1086.410888671875,-0.022222344633382685,-0.01816248351961991,1104.1389221191407,1086.2446704101562,1110.0999572753906,False,-0.13350553583417446,2024-01-30,3,EXIT,1,D1,5.0,True
2024-01-31,ADRO.JK,1090.9564208984375,0.005625068081068441,0.016164045323780685,1103.9116333007812,1086.7617749023439,1108.9327856445314,False,-0.12988013171491086,2024-01-31,3,HEALTHY,5,,1.0,True
