context_label,n_signals,n_positive,precision,vol_bucket,dd_bucket,trend_bucket,dist_bucket
Medium Vol | Moderate (-10% to -25%) | Bear Trend (below both) | Mid (-5% to -20%),41,6,0.1463,Medium Vol,Moderate (-10% to -25%),Bear Trend (below both),Mid (-5% to -20%)
High Vol | Moderate (-10% to -25%) | Bull Trend (above MA50+200) | Far (<-20%),28,4,0.1429,High Vol,Moderate (-10% to -25%),Bull Trend (above MA50+200),Far (<-20%)
"Low Vol | Moderate (-10% to -25%) | Mixed (above MA50, below MA200) | Mid (-5% to -20%)",32,4,0.125,Low Vol,Moderate (-10% to -25%),"Mixed (above MA50, below MA200)",Mid (-5% to -20%)
Medium Vol | Shallow (>-10%) | Bull Trend (above MA50+200) | Mid (-5% to -20%),88,10,0.1136,Medium Vol,Shallow (>-10%),Bull Trend (above MA50+200),Mid (-5% to -20%)
Low Vol | Moderate (-10% to -25%) | Bull Trend (above MA50+200) | Mid (-5% to -20%),63,6,0.0952,Low Vol,Moderate (-10% to -25%),Bull Trend (above MA50+200),Mid (-5% to -20%)
"High Vol | Moderate (-10% to -25%) | Mixed (above MA50, below MA200) | Mid (-5% to -20%)",11,1,0.0909,High Vol,Moderate (-10% to -25%),"Mixed (above MA50, below MA200)",Mid (-5% to -20%)
Low Vol | Moderate (-10% to -25%) | Bear Trend (below both) | Mid (-5% to -20%),58,5,0.0862,Low Vol,Moderate (-10% to -25%),Bear Trend (below both),Mid (-5% to -20%)
Low Vol | Shallow (>-10%) | Bull Trend (above MA50+200) | Near High (>-5%),173,14,0.0809,Low Vol,Shallow (>-10%),Bull Trend (above MA50+200),Near High (>-5%)
Low Vol | Shallow (>-10%) | Bull Trend (above MA50+200) | Mid (-5% to -20%),80,6,0.075,Low Vol,Shallow (>-10%),Bull Trend (above MA50+200),Mid (-5% to -20%)
Low Vol | Moderate (-10% to -25%) | Bear Trend (below both) | Far (<-20%),27,2,0.0741,Low Vol,Moderate (-10% to -25%),Bear Trend (below both),Far (<-20%)
"Low Vol | Shallow (>-10%) | Mixed (below MA50, above MA200) | Mid (-5% to -20%)",41,1,0.0244,Low Vol,Shallow (>-10%),"Mixed (below MA50, above MA200)",Mid (-5% to -20%)
High Vol | Moderate (-10% to -25%) | Bear Trend (below both) | Far (<-20%),18,0,0.0,High Vol,Moderate (-10% to -25%),Bear Trend (below both),Far (<-20%)
"High Vol | Shallow (>-10%) | Mixed (below MA50, above MA200) | Mid (-5% to -20%)",1,0,0.0,High Vol,Shallow (>-10%),"Mixed (below MA50, above MA200)",Mid (-5% to -20%)
"Medium Vol | Deep (<-25%) | Mixed (below MA50, above MA200) | Far (<-20%)",2,0,0.0,Medium Vol,Deep (<-25%),"Mixed (below MA50, above MA200)",Far (<-20%)
"Medium Vol | Moderate (-10% to -25%) | Mixed (below MA50, above MA200) | Far (<-20%)",1,0,0.0,Medium Vol,Moderate (-10% to -25%),"Mixed (below MA50, above MA200)",Far (<-20%)
"Medium Vol | Shallow (>-10%) | Mixed (above MA50, below MA200) | Mid (-5% to -20%)",1,0,0.0,Medium Vol,Shallow (>-10%),"Mixed (above MA50, below MA200)",Mid (-5% to -20%)
"Medium Vol | Shallow (>-10%) | Mixed (below MA50, above MA200) | Mid (-5% to -20%)",7,0,0.0,Medium Vol,Shallow (>-10%),"Mixed (below MA50, above MA200)",Mid (-5% to -20%)
