Date,ticker,Open,High,Low,Close,Volume,daily_return,20d_return,60d_return,120d_return,252d_return,20d_high,60d_high,120d_high,252d_high,20d_low,60d_low,120d_low,252d_low,distance_from_high_252d,drawdown_252d,recovery_from_60d_low,volatility_20d,volatility_60d,avg_volume_20d,volume_ratio,rs_20d,rs_60d,rs_120d,rs_252d,rs_change_20d,rs_change_60d,momentum_slope,ma20,ma50,ma100,ma200,above_ma20,above_ma50,above_ma100,above_ma200,golden_cross,death_cross,fwd_return_20d,fwd_return_40d,fwd_return_60d,fwd_ihsg_return_20d,fwd_ihsg_return_40d,fwd_ihsg_return_60d,fwd_alpha_20d,fwd_alpha_40d,fwd_alpha_60d,Winner20,Winner30,Winner40,event_date,event_ticker,offset_label,offset_days,fwd_return_event,fwd_alpha_event
2020-01-21,ADRO.JK,408.435642525501,417.034287631301,401.2701049373344,405.5694274902344,38058600,-0.013937262581840804,-0.08086026235152255,0.09211423888719827,0.16520836966472197,0.10947752359675889,457.1613598905813,470.0260848999024,470.0260848999024,470.0260848999024,401.2701049373344,331.62191747649894,276.808379830666,276.808379830666,-0.1371342133562541,-0.1371342133562541,0.22298740257110983,0.41215551490309227,0.46926444342121065,61041480.0,0.6234875039071792,-0.07305125714753835,0.09525484756603042,0.18904874747133416,0.14722175864266052,-0.25757498996662975,0.007560848290817268,0.0015972060871662277,428.0874847412109,400.7118731689453,380.95284057617187,360.0190774536133,False,True,True,True,False,False,-0.06007058549633071,-0.4876324512692124,-0.31095399527107437,-0.056297260972106744,-0.28556591294889677,-0.2817413977761126,-0.003998424893956409,-0.28283440275696403,-0.040671420299754235,False,False,False,2020-03-17,ADRO.JK,T-40,-40,0.49095978160757414,0.3444888602843599
2020-02-18,ADRO.JK,378.34041922433033,386.9390651157924,376.9073115757533,381.2066345214844,28647600,0.0075759085109148305,-0.06007058549633071,0.04188864132284742,0.2587526302153742,0.03173664727893177,407.0026198167067,470.0260848999024,470.0260848999024,470.0260848999024,338.213390365912,331.62191747649894,301.4744567871094,276.808379830666,-0.18896706636469585,-0.18896706636469585,0.14952183324402668,0.42223157696536945,0.4667997721764888,43325565.0,0.6612169974009572,-0.0037733245242239644,0.08545358511041334,0.321583945809517,0.1262421539991868,0.06927793262331439,-0.14283543089734585,-0.003822604396252896,375.97578125,405.21595153808596,383.46524719238283,363.4593545532227,True,False,False,True,False,False,-0.4548872066086539,-0.26691728751485344,-0.23308275251275312,-0.2429458371742773,-0.23889316781705605,-0.23372052149803368,-0.2799553583369787,-0.03682021828318227,0.0008322929207595919,False,False,False,2020-03-17,ADRO.JK,T-20,-20,0.49095978160757414,0.3444888602843599
2020-03-03,ADRO.JK,326.74853515625,338.21339603892545,322.4492123252467,326.74853515625,90994700,0.0224215880394516,-0.10236229318270784,-0.12336876599793856,-0.18896705728984198,-0.1029299629245991,389.8052220200048,470.0260848999024,470.0260848999024,470.0260848999024,310.98434540719694,310.98434540719694,310.98434540719694,276.808379830666,-0.3048289325775718,-0.3048289325775718,0.05069126463073803,0.4112089371354836,0.47370178342028313,41642750.0,2.185127062934124,-0.034194809600039955,-0.026155818436533584,-0.053690908615624644,0.03249706979127376,0.08427570138914908,0.006512272314755374,-0.00558704469093656,365.87234649658205,392.47814208984374,383.76988861083987,364.4653663635254,False,False,False,False,False,False,-0.1052631873887635,-0.1929824479475658,0.0029020548999447726,-0.19073415235154378,-0.1453667665001792,-0.10343978800493714,0.10561543553473762,-0.05571475526688208,0.11861093263133515,False,False,False,2020-03-17,ADRO.JK,T-10,-10,0.49095978160757414,0.3444888602843599
2020-03-10,ADRO.JK,292.35393872307344,303.81879906515474,289.4877236375532,295.2201538085937,47800300,0.01980195097288262,-0.2167299826071778,-0.27706056750800845,-0.23332403166856264,-0.21490615904843835,389.8052220200048,470.0260848999024,470.0260848999024,470.0260848999024,286.6215167659344,286.6215167659344,286.6215167659344,276.808379830666,-0.3719068722080301,-0.3719068722080301,0.02999997048261127,0.6243946780643446,0.5243032781736274,49200885.0,0.971533337256027,-0.09353181423682055,-0.12184089701039702,-0.06511176369546301,-0.022935599888164626,0.004865762423485465,-0.19771895226181713,-0.006473341712576136,352.4011474609375,381.27204040527346,381.9626739501953,363.81527114868163,False,False,False,False,False,False,0.03398063671944396,0.0,0.06964417403176903,-0.11380025461427579,-0.11142320626188007,-0.06521329650666674,0.16675799344694808,0.12539513415957892,0.14426549932136212,False,False,False,2020-03-17,ADRO.JK,T-5,-5,0.49095978160757414,0.3444888602843599
2020-03-17,ADRO.JK,217.83236715382543,217.83236715382543,207.8006134033203,207.8006134033203,47571500,-0.1265060778044923,-0.4548872066086539,-0.5290626256799904,-0.42121445666221147,-0.43957442717824446,389.8052101417824,457.1613598905813,470.0260848999024,470.0260848999024,207.8006134033203,207.8006134033203,207.8006134033203,207.8006134033203,-0.5578955720136811,-0.5578955720136811,0.0,0.8498756045713147,0.617008962625525,54737965.0,0.8690768829275988,-0.21194136943437658,-0.23791769322740774,-0.14631309356045485,-0.12257242452345285,-0.20816804491015262,-0.4440099277447821,-0.0074037987589248054,317.00339965820314,362.89150390625,375.5398077392578,361.0012367248535,False,False,False,False,False,False,0.34482756848242513,0.4068964382875222,0.49095978160757414,0.005353209263250891,0.012185806682325051,0.10894171431977173,0.3376667584002142,0.3899586706307938,0.3444888602843599,True,True,True,2020-03-17,ADRO.JK,T0,0,0.49095978160757414,0.3444888602843599
2021-04-29,ADRO.JK,364.93503828922593,375.3617536689181,363.44550752069847,373.8722229003906,78611100,0.032921762471192384,0.0680850032471374,0.02032514197342028,0.1106194080549936,0.2542414058263298,375.3617536689181,399.19419296799,476.6498217536408,476.6498217536408,345.5711669921875,342.5920766412956,329.1863114640519,249.360726566638,-0.2156249602173803,-0.2156249602173803,0.09130434820839795,0.24097484623567517,0.29242348805217916,46821390.0,1.6789569895297853,0.06350078068992349,0.029321199699867684,-0.06490562673477207,-0.046169218124604505,0.01317697243226612,0.12702174245531928,0.002905771287869989,356.7426254272461,358.5896472167969,385.7735711669922,364.4360452270508,True,True,False,True,False,False,0.05178578643699372,0.013921587913520828,0.12330735867838216,0.013063821120782082,-0.0011646391453877802,0.009492515516611899,0.038222631693008546,0.015103817556079147,0.11274461317182238,False,False,False,2021-07-01,ADRO.JK,T-40,-40,0.44398333902100684,0.41867244679967297
2021-06-03,ADRO.JK,397.9522918701172,397.9522918701172,388.5146881103515,393.2334899902344,58947200,-0.00793667597203418,0.05178578643699372,0.1139165712863035,-0.05036610593042745,0.37196094170653304,397.9522918701172,399.19419296799,476.6498217536408,476.6498217536408,364.92069081363513,345.5711096087072,342.5920766412956,260.8256156302787,-0.1750054819206891,-0.1750054819206891,0.13792350997019298,0.25446429493823514,0.28988050034953355,66799880.0,0.8824446990024533,0.03872196531621164,0.15601175319073401,-0.13573009651143741,0.03444816875453949,-0.02477881537371185,0.4365541563153206,0.0006857928544127751,373.60259399414065,365.7804931640625,371.9563842773438,368.90001800537107,True,True,True,True,False,False,-0.035999914632561136,0.06800013193149645,0.008000170734877798,-0.014044979170639516,-0.003525252338218099,0.009650417352715879,-0.022267684628710205,0.07177842131729695,-0.0016344732686438546,False,False,False,2021-07-01,ADRO.JK,T-20,-20,0.44398333902100684,0.41867244679967297
2021-06-17,ADRO.JK,435.70274122174817,441.9944775570802,426.26513671875,426.26513671875,81946100,-0.028673886968964002,0.1291666643088225,0.1633093059624131,-0.06479038079318888,0.2988695403769588,441.9944775570802,441.9944775570802,475.1603573127575,476.6498217536408,364.92069081363513,345.5711669921875,342.5920766412956,294.92709519276065,-0.10570587197435777,-0.10570587197435777,0.23350897712015084,0.4753726600773146,0.35224559678582135,93344450.0,0.8778893656773381,0.08905063295213589,0.19656940884389906,-0.07449380946201622,0.04699987154953522,-0.01613319713641781,0.43708935385939296,0.001187133851787712,387.649592590332,372.4835565185547,368.76888092041014,372.65368087768553,True,True,True,True,False,False,-0.09594113799569526,0.007380159131079145,0.022140191021442268,-0.0035746990769927045,0.0032077909402494775,0.009994062686094152,-0.09269780567910291,0.0041590269020130854,0.012025940333793006,False,False,False,2021-07-01,ADRO.JK,T-10,-10,0.44398333902100684,0.41867244679967297
2021-06-24,ADRO.JK,396.3793548216303,399.52522271704,385.3688171876961,391.6605529785156,52732300,-0.011904936967228275,0.06410252051998189,0.07323365214688415,-0.10563861074581449,0.11416200715501668,441.9944775570802,441.9944775570802,458.7755078925461,476.6498217536408,364.92069081363513,345.5711669921875,342.5920766412956,294.92709519276065,-0.1783054663955217,-0.1783054663955217,0.1333716188983154,0.5050236380022551,0.335430596413785,103840125.0,0.5078220004068754,0.03036426192528996,0.09663857490288197,-0.10377369773239398,-0.0798777684688734,-0.05538167011423911,0.2853614641553325,0.0020633795587632906,396.3007308959961,376.79005920410157,368.3601409912109,374.4601768493652,False,True,True,True,False,False,0.048192787043535246,0.012048372077366976,0.08032144160328714,0.01490900729986655,0.012880937237846668,0.008100503781017565,0.032794841216572834,-0.0008219773221816995,0.07164061276767053,False,False,False,2021-07-01,ADRO.JK,T-5,-5,0.44398333902100684,0.41867244679967297
2021-07-01,ADRO.JK,383.79592021768025,390.0876566146914,375.9312497214163,379.0771179199219,53853700,0.0,-0.035999914632561136,0.08295444251895567,-0.1254489065998282,0.18369450585829528,441.9944775570802,441.9944775570802,458.7755078925461,476.6498217536408,374.3583156221635,345.5711669921875,342.5920766412956,294.92709519276065,-0.2047052141438751,-0.2047052141438751,0.09695817859853983,0.4949685990767957,0.3458050539041525,98168495.0,0.5485843497957262,-0.02195493546192162,0.07954019807217083,-0.10924225708181101,-0.020759236337609233,-0.06067690077813326,0.25242569382337765,0.00173741513729393,398.03095703125,380.12110717773436,369.41495819091796,375.62063613891604,False,False,True,True,False,False,0.10788385617664842,0.045643238040448786,0.44398333902100684,0.010669580873549966,0.024032938646048274,0.01784125171277684,0.09618798976721288,0.0211031291854471,0.41867244679967297,False,False,True,2021-07-01,ADRO.JK,T0,0,0.44398333902100684,0.41867244679967297
