Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m
2024-12-31,7953.8310546875,,-102978219838.58998,,,,7079.90478515625,,,,,,7953.8310546875,0.0,7953.8310546875,0.0,AADI.JK,AVOID,2024-12,,,,,,-0.29885056188160974,-0.25555555983765865,,False,False
2025-01-31,8868.873046875,0.11504418259528282,211378055812.52,,,,7109.19580078125,,,,,,8868.873046875,0.0,7953.8310546875,0.1150441825952828,AADI.JK,AVOID,2025-01,,,,,,-0.4052044419849443,-0.38970579796569216,,False,False
2025-02-28,6311.44677734375,-0.28835977874690344,-214692389448.2,,,,6270.59716796875,,,,,,8868.873046875,-0.2883597787469034,6311.44677734375,0.0,AADI.JK,AVOID,2025-02,,,,,,0.06920413754803822,0.02536230217558877,0.2852496766225758,False,False
2025-03-31,6123.74609375,-0.02973972374567757,-27936532294.71,-0.2300884879694497,,,6510.6201171875,,,,-0.149679967622917,,8868.873046875,-0.3095237623332833,6123.74609375,0.0,AADI.JK,AVOID,2025-03,,,,,,0.03333332048702409,0.12416106445159192,0.20436139084587104,False,False
2025-04-30,6311.44677734375,0.030651284478518948,51294444241.85,-0.2883597787469034,,,6766.794921875,,,,-0.24019668287766,,8868.873046875,-0.2883597787469034,6123.74609375,0.0306512844785188,AADI.JK,AVOID,2025-04,,,,,,0.011029458458983732,0.21345030912277285,0.16945966343222926,False,False
2025-05-31,6780.69921875,0.07434942541078371,61929432423.65,0.0743494254107837,,,7175.81884765625,,,,-0.0700102991002282,,8868.873046875,-0.2354497371975327,6123.74609375,0.1072796152783828,AADI.JK,AVOID,2025-05,,,,,,-0.04710145064134519,0.09590677083333332,0.05226718595732743,False,False
2025-06-30,6334.90966796875,-0.06574389106488487,-4835381975.5,0.0344827448731532,-0.2035398257251965,,6927.67919921875,-0.2035398257251965,-0.0215010781298439,-0.1820387475953526,-0.0295755283058098,,8868.873046875,-0.2857142463888472,6311.44677734375,0.0037175138209554,AADI.JK,AVOID,2025-06,,,,,,0.09395973388710199,0.09176922323028669,0.0716794888259902,False,False
2025-07-31,6381.8349609375,0.007407413116878203,9725703440.030005,0.011152464098473,-0.2804232367283488,,7484.3369140625,-0.2804232367283488,0.0527684317317613,-0.3331916684601101,-0.0948862145480311,-0.1511529208647575,8868.873046875,-0.2804232367283488,6334.90966796875,0.0074074131168781,AADI.JK,AVOID,2025-07,,,,,,0.20467834193359946,0.1602848735608553,0.07006958878453387,True,False
2025-08-31,6475.68505859375,0.014705817093468632,54283092569.32,-0.0449827002077933,0.0260222872891153,,7830.4931640625,0.0260222872891153,0.2487635474436083,-0.2227412601544929,-0.1362160953512727,0.1104504083056172,8868.873046875,-0.2698412724629657,6334.90966796875,0.0222221622727793,AADI.JK,WATCH,2025-08,,,,,,0.1365753255208333,0.2999259396114865,0.0444907022999611,False,False
2025-09-30,6991.86328125,0.07971021104110676,52203453199.700005,0.1037037065584391,0.1417624398872472,,8061.06201171875,0.1417624398872472,0.2381404331114653,-0.0963779932242181,-0.0598983858461592,0.1263632669302747,8868.873046875,-0.2116401661974827,6381.8349609375,0.0955882319186276,AADI.JK,WATCH,2025-09,,,,,,-0.0024176747311828173,0.3798790881374723,0.03980479979595647,False,False
