next_month,baseline_cumulative,timed_cumulative,benchmark_cumulative,baseline_drawdown,timed_drawdown
2019-02,0.974009,0.975229,0.985427,0.0,0.0
2019-03,0.9817893838920001,0.975229,0.980707790097,0.0,0.0
2019-04,0.9853346253572342,0.961118411599,0.9811245909077911,0.0,-0.014468999999999954
2019-05,0.940429970475829,0.961118411599,0.9556820680163703,-0.045572999999999975,-0.014468999999999954
2019-06,0.9693651198074292,1.0060430083939604,0.9661697230307821,-0.016207190063999954,0.0
2019-07,1.0300308971003376,1.0387665693279908,0.9678083468810422,0.0,0.0
2019-08,0.9726468457919807,1.069021684426238,0.9597600526683795,-0.055710999999999955,0.0
2019-09,0.933546442591143,1.069021684426238,0.9412309250915637,-0.09367141779999999,0.0
2019-10,0.9322786865221043,1.0512417157708607,0.9550416064554321,-0.09490221201462756,-0.01663200000000009
2019-11,0.9058178205625474,1.0512417157708607,0.9249835819754604,-0.12059160253101642,-0.01663200000000009
2019-12,1.0029731225426246,1.1225779273613554,0.9505575280499178,-0.02626889604368554,0.0
2020-01,0.9221986821186543,1.0502973797744124,0.8985886468763726,-0.10468833050080739,-0.06438800000000011
2020-02,0.861425788967035,1.014147194259957,0.8326978371668688,-0.16368936952080415,-0.09659082942800001
2020-03,0.6791231106737303,0.7975243394188358,0.7049778102043773,-0.3406769519384859,-0.28955993167134986
2020-04,0.6878016249050299,0.8018214005596245,0.7444988662444347,-0.3322514627073079,-0.2857320805831951
2020-05,0.6215174945113073,0.722311186837331,0.7684441832794544,-0.39660305699474185,-0.3565603160084043
2020-06,0.6518537634184043,0.7582021074000912,0.7776201752719943,-0.3671512522066551,-0.3245884415505459
2020-07,0.6938761681309351,0.8398278716764629,0.814842520201739,-0.3263540248314094,-0.25187565940255285
2020-08,0.6966017137193534,0.8472427119554944,0.8526471389264986,-0.3237079434409472,-0.245270469599418
2020-09,0.641630782684618,0.78583879640652,0.7819013005154891,-0.3770761785001917,-0.2999694923152002
2020-10,0.6513854954737723,0.743852215353316,0.80677827229269,-0.36760586764193015,-0.3373714223102914
2020-11,0.7167963241582576,0.8073087601406767,0.8852124491467129,-0.30410211365879747,-0.28084390360473777
2020-12,0.89751716379401,0.830540684331245,0.924539782624954,-0.1286502508607944,-0.26014874861877124
2021-01,0.9370985682344897,0.952868530104341,0.8878078170612645,-0.09022285557400633,-0.15117827735658418
2021-02,1.0065450689292113,1.1462836900819804,0.913304769759447,-0.022801090954884695,0.0
2021-03,0.8704672214254644,0.9081478386022093,0.8624428271315433,-0.154911543065421,-0.207746
2021-04,0.9434393590647825,0.9081478386022093,0.8601702902820516,-0.08406693263213838,-0.207746
2021-05,0.9386221576973977,0.9081478386022093,0.8594279633215383,-0.08874368687411871,-0.207746
2021-06,0.9006107761771261,0.9081478386022093,0.8528610742537984,-0.12564683378677755,-0.207746
2021-07,0.9165677979094324,0.9081478386022093,0.8619611019160864,-0.11015504438781165,-0.207746
2021-08,0.8679328774167622,0.8612301968165034,0.8695610129516806,-0.15737199742250552,-0.24867621840199994
2021-09,0.8456382855945578,0.8612301968165034,0.8975443559094787,-0.17901658292471367,-0.24867621840199994
2021-10,0.8856792584174601,0.8220838394504061,0.9497787447903426,-0.1401430181261989,-0.2828268895707554
2021-11,0.9170331898446966,0.8318707475590632,0.9470310348816642,-0.10970322111088437,-0.27428894369109524
2021-12,0.9285933102358788,0.8618031207977334,0.9577713138482572,-0.0984801399162083,-0.24817640846298827
2022-01,0.901812679168676,0.8064176196334255,0.9528627358647849,-0.12447997268102484,-0.29649385522029736
2022-02,0.9282051290372265,0.8102763279433715,0.978506177812378,-0.09885700356150773,-0.29312757831752645
2022-03,0.969332970099737,0.8896501867523761,0.9997123636979278,-0.05892825853231454,-0.22388306276193315
2022-04,1.104533594103308,0.9947908251231454,1.0209182623566884,0.0,-0.13216001088526386
2022-05,1.1839738592584064,1.0640103603168642,1.0562634735177392,0.0,-0.07177396876268216
2022-06,0.9802865484331679,0.9184771512534441,1.0212240453107353,-0.172037,-0.19873486886326008
2022-07,1.06967789849824,1.0021770555700191,1.0447908326043711,-0.096535881993,-0.1257163787279002
2022-08,1.1353165433837875,1.0461385542896535,1.076246350201591,-0.041096613319736464,-0.08736505339717837
2022-09,1.152602873073349,1.0461385542896535,1.059349282503426,-0.026496350354142773,-0.08736505339717837
2022-10,1.1678794715530634,1.0640222928752352,1.0728252647261523,-0.01359353298173649,-0.07176355898500308
2022-11,1.132217104009719,1.0363194084579357,1.0772388678652356,-0.043714440858606096,-0.09593112296326944
2022-12,1.0684008191593153,0.9772419479399741,1.0511265977081823,-0.0976145201140517,-0.14746937743650235
2023-01,1.010604608446073,0.9159727867719295,1.049340733618676,-0.146429965033962,-0.2009196373487434
2023-02,1.0302649104987829,0.9159727867719295,1.046431961105085,-0.12982461357373265,-0.2009196373487434
2023-03,1.059767576475826,0.9468218342576213,1.040368934322442,-0.10490627120802998,-0.17400740981501173
2023-04,1.083556179264979,0.9657658455174478,1.0538614790316698,-0.08481410227783659,-0.1574809500705905
2023-05,0.9218679261950589,0.6993998991969715,1.0185392038389653,-0.22137814193593774,-0.3898544441935211
2023-06,0.9203284067583132,0.6962169302557262,1.022906699945027,-0.22267844043890472,-0.3926312166179964
2023-07,0.9283895632731092,0.7135743145439317,1.0587483278044008,-0.21586988089870918,-0.37748890547949954
2023-08,0.9397456244110659,0.7135743145439317,1.0690128928424645,-0.20627840128186214,-0.37748890547949954
2023-09,1.0678808800451391,0.7902671411481699,1.063227395066401,-0.0980536675750453,-0.31058328057371976
2023-10,0.9664001600144496,0.7141225312971202,1.0312689060254951,-0.18376562754538872,-0.37701064974060017
2023-11,0.94836713302858,0.6633405639740507,1.0993213098652117,-0.19899656093539175,-0.4213120454268964
2023-12,1.0263570525803183,0.6759155110453068,1.1324713439641971,-0.1331252421204746,-0.410341857872054
2024-01,1.0330632695618782,0.6829849113753297,1.1145884889716584,-0.12746108245248966,-0.4041746233635378
2024-02,1.0619611484013327,0.7218399229834722,1.1322959562959511,-0.10305355131193317,-0.3702781176866894
2024-03,1.1145887570326576,0.7500241627763619,1.1287201656659684,-0.058603576154298564,-0.3456906267917662
2024-04,1.0200660574925031,0.6722901584978942,1.1332847100159216,-0.1384386998785332,-0.41350455884981396
2024-05,0.9701868674132347,0.5748564904071114,1.1099277121424933,-0.18056732433187273,-0.4985041701448282
2024-06,0.951100381170614,0.5504653295191376,1.114247550798152,-0.1966880233602919,-0.5197826382055831
2024-07,1.022197987964261,0.6039716604790568,1.1323719014594347,-0.13663804317054362,-0.4731045502044422
2024-08,1.0241442529333449,0.6278382046145473,1.1856590583983129,-0.13499420200474044,-0.4522837496103209
2024-09,1.0316594234613699,0.6190264954127821,1.1599871684658727,-0.12864678945905117,-0.45997094718454
2024-10,0.9879356337762301,0.5939930639382892,1.1496482028333364,-0.16557648122819768,-0.4818097220803973
2024-11,0.9174059209453113,0.5418179011880778,1.0897561300585308,-0.2251468106568354,-0.5273265197122993
2024-12,0.973152091731553,0.5603020188871091,1.0948463809420343,-0.1780628566063981,-0.5112012639322844
2025-01,0.9521008656832161,0.5659375365930756,1.0865912392297314,-0.19584300089228845,-0.5062849262449154
2025-02,0.8755519560822854,0.5175600640900262,0.9692057010645043,-0.2604972236205485,-0.5484886781796475
2025-03,0.8625123608003519,0.5240709696962788,0.9678623819628289,-0.2715106384691678,-0.5428086657511475
2025-04,0.9645449855459511,0.616127704020218,1.0922568946046014,-0.18533253246815484,-0.46249980755099684
2025-05,1.0433502399550263,0.7447609976824471,1.1499630108603518,-0.11877257103586814,-0.3502821298720712
2025-06,1.0163879830541085,0.7276300052137554,1.1276008301511615,-0.1415452502551593,-0.36522694032075387
2025-07,1.1767130235010637,0.8193142963907095,1.2203764436535085,-0.0061325980304079986,-0.2852429957089301
2025-08,1.1194882924551834,0.7641113570427926,1.267768542466349,-0.05446536365559129,-0.3334011783870495
2025-09,1.2890639010431248,1.0237571602772906,1.3210287667039027,0.0,-0.1068902322041474
2025-10,1.2877851496532902,1.0184479556440926,1.3407451210469585,-0.0009919999999998819,-0.11152189945993662
2025-11,1.2576509771514033,1.08468882912714,1.3785970373043563,-0.024368787199999797,-0.053734395322710515
2025-12,1.3542888782357172,1.050145828674757,1.3944247098896478,0.0,-0.08386916976926351
2026-01,1.3735725975729154,0.9597083200551154,1.3277126429191073,0.0,-0.16276544073790444
2026-02,1.5298879063219082,1.0563883765091475,1.380125427210982,0.0,-0.07842326847240033
2026-03,1.1807292389015906,0.8672589399092088,1.2133759128444968,-0.228225,-0.24341683702471262
2026-04,1.3334187826178665,0.9094224677907747,1.1749313104219317,-0.12842060055000004,-0.20663403339034314
2026-05,1.0619013830073034,0.9614605308202306,1.0326013064087294,-0.3058959557630063,-0.1612368394149719
2026-06,1.0619013830073034,0.9614605308202306,1.0326013064087294,-0.3058959557630063,-0.1612368394149719
