Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m,fwd_return_1m,recovery_norm,rs_3m_norm,rs_6m_norm,rs_change_norm,drawdown_norm,volatility_3m_norm,recovery_score,recovery_score_pctl,recovery_0_100,synthetic_isi_score,overlay_v1,overlay_v2,overlay_v3,overlay_v4,recovery_state,isi_rank,recovery_rank,overlay_rank
2023-01-31,7426.6357421875,-0.0087718292103385,-125691616501.07,-0.033171902382193,0.1575629679702161,0.132915436341992,6839.341796875,0.1575629679702161,-0.0160810345675369,0.1736440025377531,0.0033899171198789,-0.0190909214808149,8117.8896484375,-0.0851519220125208,7426.6357421875,0.0,BBCA.JK,WEAK,2023-01,,,,,,0.0818872820344359,0.0894334165229302,0.0669416247927498,False,False,0.0314284042205452,-0.6204249324179217,0.159790890663149,0.5632122244500609,-0.0388933109103742,0.6384444576190608,-0.175796297792171,-0.0470167285066741,51.66666666666666,52.54237288135594,8,10.227118644067797,12.454237288135594,14.68135593220339,16.90847457627119,WATCH,1.0,1.0,1.0
2023-02-28,7667.61669921875,0.0324481993458143,99105210646.64,-0.0554667492068479,0.0712389559224688,0.1079233491244118,6843.23876953125,0.0712389559224688,-0.0467154526889039,0.1179544086113728,-0.0218466819758152,-0.0556895939263802,8117.8896484375,-0.0554667492068479,7426.6357421875,0.0324481993458143,BBCA.JK,WEAK,2023-02,,,,,,0.0520961775399619,0.0650103101278846,0.0553067110824645,False,False,0.0195966064148321,-0.3257849412461385,-0.1191954354201689,0.4732060113438026,-0.272665301544164,0.7283320964042234,-0.43149332067442,-0.1092687729529901,44.99999999999999,45.76271186440678,8,9.888135593220339,11.776271186440677,13.664406779661018,15.552542372881357,WATCH,1.0,1.0,1.0
2023-03-31,7820.87939453125,0.0199883094479822,23353225981.860016,0.0438476108597118,0.0479228346089901,0.1234783358911841,6805.27685546875,0.0479228346089901,-0.0334508959153659,0.0813737305243561,0.0504663243256765,-0.0365806780870167,8117.8896484375,-0.0365871263060858,7426.6357421875,0.0530850934433504,BBCA.JK,WEAK,2023-03,,,,,,0.0437159569407242,0.008498709303249,0.021140345259251,False,False,0.0331491826097055,0.1827672083845083,0.3989968555433104,0.5017063494338421,-0.0122109833613684,0.9215185575277902,-1.1070580086207438,0.1629435898669028,33.333333333333336,33.89830508474577,8,9.294915254237289,10.589830508474577,11.884745762711866,13.179661016949154,AVOID,1.0,1.0,1.0
2023-04-30,8089.02392578125,0.0342857264155613,6630760793.080002,0.089190880849455,0.0530603472743422,0.1405455180100943,6915.7158203125,0.0530603472743422,-0.025803233023538,0.0788635802978803,0.0780240133780272,-0.0025101502264758,8117.8896484375,-0.0035558160933865,7667.61669921875,0.0549593495727866,BBCA.JK,ACCUMULATE,2023-04,,,,,,0.0082191808705315,-0.0342857264155613,0.0077786191356286,False,False,-0.0,0.2342592345832234,0.714855395500853,0.7180064062969961,0.2833355008259619,0.998175549630433,-1.2469043792163248,0.3319787824455859,30.000000000000004,30.508474576271194,8,9.125423728813558,10.25084745762712,11.376271186440679,12.50169491525424,AVOID,1.0,1.0,1.0
2023-05-31,8089.02392578125,0.0,-92829519272.01,0.0549593495727867,-0.0035558160933865,0.1957330782254556,6633.26123046875,-0.0035558160933865,-0.0632724126943652,0.0597165966009787,0.0856432912171146,-0.0191469836969016,8117.8896484375,-0.0035558160933865,7820.87939453125,0.0342857264155614,BBCA.JK,WEAK,2023-05,,,,,,0.0136238849152516,-0.0083566102198364,0.0172213998771677,False,False,0.0109290638648269,-0.208294418099389,0.710978737475451,0.4678882922518864,-0.2117968870069709,1.122946783733093,-1.17247732629281,0.1059555329332178,33.333333333333336,33.89830508474577,8,9.294915254237289,10.589830508474577,11.884745762711866,13.179661016949154,AVOID,1.0,1.0,1.0
2023-06-30,8178.40625,0.0110498281422894,54277173184.22999,0.0457144059424763,0.0915664842846368,0.292321419023325,6661.87890625,0.0915664842846368,-0.0275508286916357,0.1191173129762726,0.066785987931608,0.0594007163752938,8178.40625,0.0,8089.02392578125,0.0110498281422894,BBCA.JK,WEAK,2023-06,,,,,,-0.0368271831921513,0.0312179241656567,0.0175000795540226,False,False,-0.0027398267356681,-0.6662956330495694,0.3135160647335073,0.5560778519400911,0.1375746155629715,1.0727556604355049,-0.985566643075868,-0.07941750285809,46.66666666666666,47.45762711864407,8,9.972881355932204,11.945762711864408,13.91864406779661,15.891525423728815,WATCH,1.0,1.0,1.0
2023-07-31,8156.06005859375,-0.0027323405958527,15878724172.050003,0.0082872956524264,0.0982173277009812,0.2712557093298673,6931.35888671875,0.0982173277009812,0.0134540855796669,0.0847632421213142,0.0060253365418012,-0.0343540708549583,8178.40625,-0.0027323405958526,8089.02392578125,0.0082872956524263,BBCA.JK,WEAK,2023-07,,,,,,-0.0428571580194516,0.0490399714249896,0.0072974032165848,False,False,0.0054494944250526,-0.9519522196478328,-0.1622176178535244,0.4525701190232357,-0.1533406917404028,0.9236306754847348,-1.2111881937691549,-0.3801898159967157,68.33333333333333,69.49152542372882,9,12.02457627118644,15.049152542372882,18.07372881355932,21.098305084745764,ACCUMULATE,1.0,1.0,1.0
2023-08-31,8200.75,0.0054793541348634,27572353883.390003,0.0138120588149897,0.0695305101565093,0.1457227470272846,6953.259765625,0.0695305101565093,0.0160773282650323,0.0534531818914769,-0.0344294507589724,-0.0313100602298372,8200.75,0.0,8156.06005859375,0.0054793541348634,BBCA.JK,WEAK,2023-08,,,,,,-0.0222840910266766,0.0752981457992227,0.0069331364492623,False,False,-0.0396598386834887,-0.6233029019579619,-0.4328413071718262,0.2969648843280084,-0.1786764304989061,0.9350003190054956,-1.0009335283429464,-0.37541128175752,71.66666666666667,72.8813559322034,9,12.19406779661017,15.38813559322034,18.58220338983051,21.77627118644068,ACCUMULATE,1.0,1.0,1.0
2023-09-30,7887.91650390625,-0.0381469373037527,-84301548865.39,-0.0355191142643164,0.0085715564699637,0.0569051643620055,6939.89208984375,0.0085715564699637,0.0197810077729347,-0.011209451302971,-0.0772510621886363,-0.0646626331944479,8200.75,-0.0381469373037527,7887.91650390625,0.0,BBCA.JK,WEAK,2023-09,,,,,,0.0656282054144384,0.1478651915593228,0.023183610931794,False,False,-0.0085715564699637,-0.4947098048221869,-0.4332330755233176,-0.1817268281423871,-0.7139250070513525,0.7018471373556224,-0.8068853375877971,-0.4668092641960438,72.1311475409836,73.33333333333333,9,12.216666666666665,15.433333333333334,18.65,21.866666666666667,ACCUMULATE,1.0,1.0,1.0
2023-10-31,7820.87939453125,-0.008498709303249,-89019735788.55,-0.0410959043526576,-0.0331491826097055,0.0181522575235051,6752.2109375,-0.0331491826097055,-0.0236425103432187,-0.0095066722664868,-0.015249897509466,0.0017027790364841,8200.75,-0.0463214468760479,7820.87939453125,0.0,BBCA.JK,WEAK,2023-10,,,,,,0.0881205338025088,0.1313985974318897,0.0222772566598645,False,False,0.0250695871880445,-0.3483215169666103,-0.0483484168732994,-0.0612649071473284,0.2267017371597932,0.9187523944161738,-0.7410554738029613,-0.1826893352457554,50.81967213114754,51.66666666666667,9,11.133333333333333,13.266666666666667,15.399999999999999,17.533333333333335,WATCH,1.0,1.0,1.0
2023-11-30,8021.9873046875,0.0257142323786343,78128361067.31,-0.0217983349464987,-0.0082873560158589,-0.0118137037953526,7080.7412109375,-0.0082873560158589,0.067460026813557,-0.0757473828294159,-0.0401323897077969,-0.0662407105629291,8200.75,-0.0217983349464987,7820.87939453125,0.0257142323786343,BBCA.JK,WEAK,2023-11,,,,,,0.0954551065427398,0.0560884339358483,0.0319577632594973,False,False,0.0497467017669971,-0.2410406940305807,0.1834857053942043,-0.1550561059983146,-0.0773820525065335,1.1303983153695711,-0.5972031787588171,-0.1157362409171109,50.0,50.81967213114753,9,11.090983606557376,13.181967213114753,15.272950819672129,17.363934426229505,WATCH,1.0,1.0,1.0
