recovery_state,fwd_return_1m_mean,fwd_return_1m_median,fwd_return_3m_mean,fwd_return_3m_median,fwd_return_6m_mean,fwd_return_6m_median,count
AVOID,-0.00941050454176477,-0.0043850229731643,-0.0373429783570447,-0.0257937440487032,-0.0535685112732492,-0.025972557249956348,922
WATCH,-0.004841355436352828,-0.0,-0.014762924959662761,-0.0,-0.0500853396917972,-0.0,442
ACCUMULATE,-0.00409438260580931,-0.0,-0.012850466114293316,-0.0,-0.03572415715287547,-0.0,455
BUY,-0.008055103218629794,-0.0,-0.009704828529876289,-0.0,-0.027366190819320554,-0.0,424
