early_reversal_state,fwd_1m_mean,fwd_3m_mean,fwd_6m_mean,count
EARLY_REVERSAL,-0.014961984679676018,-0.08312074282179806,-0.07432905584619759,62
NONE,-0.006479532348790214,-0.019966864609301405,-0.04163056473971866,2209
