month,ic,n_obs
2023-01,0.045263201771550306,60
2023-02,-0.14743188987099198,60
2023-03,0.041511530980828014,60
2023-04,0.04473464851347597,60
2023-05,0.26141448077828966,60
2023-06,0.12587529195830288,60
2023-07,0.014396887715586231,60
2023-08,-0.022729798856929752,60
2023-09,0.2174096993891185,61
2023-10,0.009149082460305887,61
2023-11,-0.03913766212464312,62
2023-12,0.2434491357492041,62
2024-01,0.21086165445620003,62
2024-02,0.040853065806636085,63
2024-03,-0.22857211434606245,63
2024-04,-0.17618184666316625,63
2024-05,0.4231812399491155,63
2024-06,0.4383505748505868,63
2024-07,-0.035307107025418234,63
2024-08,0.08278328492907375,63
2024-09,0.1570458200321628,63
2024-10,-0.015097328564913711,63
2024-11,-0.20442598948707488,63
2024-12,-0.19624833492071486,63
2025-01,0.01315457837409386,63
2025-02,0.41007608669562917,63
2025-03,0.39307274127466074,63
2025-04,0.12742721359479633,63
2025-05,-0.03247485778748529,63
2025-06,0.19122482778484506,63
2025-07,0.10858765081618166,64
2025-08,0.22237230705831176,64
2025-09,0.24195524025486884,64
2025-10,-0.10831291925181437,64
2025-11,-0.1486526706197486,64
2025-12,0.007006376755870789,64
