month,replaced,replacement,rank_drop,hold_1m,replace_1m,diff_1m,hold_3m,replace_3m,diff_3m,hold_6m,replace_6m,diff_6m
2022-06-01,HRUM.JK,PTBA.JK,18,0.19417470521163738,0.12565456735189517,-0.0685201378597422,0.15210352595834853,0.09162309984070527,-0.06048042611764326,0.0950039964101208,-0.034031290017444094,-0.1290352864275649
2022-11-01,PTBA.JK,MEDC.JK,12,-0.028947253851545063,-0.04694832245867786,-0.018001068607132797,0.015789562585140082,0.07981244339894045,0.06402288081380036,-0.19473676885590574,-0.1502347345527043,0.04450203430320143
2023-04-01,ESSA.JK,BBRI.JK,15,-0.30285719054175464,0.09313716234562697,0.3959943528873816,-0.15714289156757688,0.1078430429071553,0.2649859344747322,-0.14285720660662393,-0.027451070440512537,0.1154061361661114
2024-01-01,MEDC.JK,BBCA.JK,14,0.07377035405141896,0.034031316143616985,-0.03973903790780198,0.10655724989361759,0.0498249985567889,-0.05673225133682869,0.10635859758363786,0.10070926281915882,-0.0056493347644790415
2024-02-01,ADRO.JK,ARTO.JK,11,0.11570230875965093,-0.014760147601476037,-0.13046245636112697,0.2346731853816728,-0.11070110701107017,-0.345374292392743,0.5868002013406728,0.059040590405903925,-0.5277596109347689
2024-05-01,ARTO.JK,ADRO.JK,12,0.0,0.007220323679661522,0.007220323679661522,0.1908713692946058,0.2851985611481047,0.09432719185349892,0.09543568464730279,0.19205318607477673,0.09661750142747394
2025-01-01,BBRI.JK,EMTK.JK,16,-0.20379154001940702,-0.03539826566358473,0.1683932743558223,-0.03474089576662853,-0.05309739849537709,-0.018356502728748558,-0.06984119363422125,0.17114914144604598,0.24099033508026724
2025-01-01,BBNI.JK,EMTK.JK,12,-0.1551362898105979,-0.03539826566358473,0.11973802414701318,-0.04519480853117186,-0.05309739849537709,-0.007902589964205231,-0.08402661050084514,0.17114914144604598,0.2551757519468911
2025-02-01,BMRI.JK,ANTM.JK,12,0.13043475440193575,0.03154573392849103,-0.09888902047344472,0.26808821102303027,0.9621450869455577,0.6940568759225274,0.1317089101634552,1.0134782855817366,0.8817693754182814
2025-06-01,ADRO.JK,MEDC.JK,11,0.0109289968858588,0.03212854625423511,0.021199549368376314,-0.07650267560749824,0.10040160682817789,0.17690428243567613,0.06882935798582857,0.10420732108182307,0.0353779630959945
