feature,T-40,T-20,T-10,T-5,T0
rs_20d,-0.007834102390868791,-0.0053621728185232476,0.006022271015626024,0.010639396590337025,0.05190965845750284
rs_60d,-0.002756873814940275,-0.0056819852909634205,-0.0019492528602874648,0.01302095016723498,0.04576587027973478
rs_120d,-0.014167463255007395,-0.0015808445976154273,0.009057821264880639,0.011997198060659464,0.05511830887297464
rs_252d,0.027950064949555764,0.011099675969389766,0.0049480854839215604,0.018192242771799427,0.04490662664780776
rs_change_20d,-0.0010926859029085634,-0.011418728520721455,0.011199395460807726,0.012887342434624749,0.047964490979050645
rs_change_60d,-0.00819065088934845,0.0009653943218085326,-0.018692822068710535,-0.011449033787019947,0.051968531212213454
recovery_from_60d_low,0.14119604819358733,0.14304420269613916,0.14463444041259088,0.15238089960368129,0.20384605668497602
drawdown_252d,-0.19809043486572442,-0.19576465538064036,-0.1941224472027997,-0.1783218128668569,-0.14699348479620022
distance_from_high_252d,-0.19809043486572442,-0.19576465538064036,-0.1941224472027997,-0.1783218128668569,-0.14699348479620022
volatility_20d,0.3603773225474506,0.35851383020895483,0.3511300998415552,0.35559101322863984,0.3858981922180923
volatility_60d,0.38542851031605313,0.38054931894864097,0.38031446860148566,0.38384462094530414,0.389683598014126
volume_ratio,0.8846478172567115,0.9480730300599671,0.8881512248959169,0.8581563962173748,1.125617226139116
momentum_slope,-0.00031650326358331657,-1.7070214817438696e-05,-0.0001675443573114938,4.2242649531403916e-05,0.00017987309197565275
ma20,2171.86396484375,2141.090466308594,2134.9604614257814,2101.6496398925783,2131.7226623535157
ma50,2180.498571777344,2132.287731933594,2158.635317382813,2173.3867138671876,2128.7170849609374
ma100,2148.3811767578127,2147.150500488281,2127.3254724121093,2140.2342248535156,2130.277353515625
ma200,2141.0808889770506,2130.5650354003906,2149.114471435547,2163.0140289306637,2171.6578216552734
above_ma20,0.0,1.0,1.0,1.0,1.0
above_ma50,1.0,0.0,1.0,1.0,1.0
above_ma100,0.0,1.0,1.0,1.0,1.0
above_ma200,0.0,0.0,1.0,1.0,1.0
golden_cross,0.0,0.0,0.0,0.0,0.0
death_cross,0.0,0.0,0.0,0.0,0.0
