Date,ticker,Open,High,Low,Close,Volume,daily_return,20d_return,60d_return,120d_return,252d_return,20d_high,60d_high,120d_high,252d_high,20d_low,60d_low,120d_low,252d_low,distance_from_high_252d,drawdown_252d,recovery_from_60d_low,volatility_20d,volatility_60d,avg_volume_20d,volume_ratio,rs_20d,rs_60d,rs_120d,rs_252d,rs_change_20d,rs_change_60d,momentum_slope,ma20,ma50,ma100,ma200,above_ma20,above_ma50,above_ma100,above_ma200,golden_cross,death_cross,fwd_return_20d,fwd_return_40d,fwd_return_60d,fwd_ihsg_return_20d,fwd_ihsg_return_40d,fwd_ihsg_return_60d,fwd_alpha_20d,fwd_alpha_40d,fwd_alpha_60d,LoserAlpha20,LoserAlpha40,LoserAlpha60,event_date,event_ticker,offset_label,offset_days,fwd_alpha_event,fwd_return_event
2018-01-08,ADRO.JK,491.5561817310475,535.7962380868418,485.4117294594094,530.8806762695312,140767300,0.08542695946577905,,,,,535.7962380868418,535.7962380868418,535.7962380868418,535.7962380868418,444.8583939349065,444.8583939349065,444.8583939349065,444.8583939349065,-0.00917431192660556,-0.00917431192660556,0.19337003304294598,,,,,,,,,,,,,,,,False,False,False,False,False,False,0.1666668774443263,0.0740744743387205,-0.013888791484061302,0.03199030197884012,0.02586977578793559,-0.022681887027657943,0.13050178398696577,0.046989101042342885,0.008997168298512381,False,False,False,2018-02-05,ADRO.JK,T-20,-20,-0.19953993774690137,-0.2718253629993036
2018-01-22,ADRO.JK,543.1696254185268,577.5785609654018,543.1696254185268,567.7474365234375,122900400,0.05963294130298302,,,,,577.5785609654018,577.5785609654018,577.5785609654018,577.5785609654018,444.8583939349065,444.8583939349065,444.8583939349065,444.8583939349065,-0.017021276595744816,-0.017021276595744816,0.2762430568108212,0.49134837567953105,,69853700.0,1.7593971400226474,,,,,,,,517.439754486084,,,,True,False,False,False,False,False,0.07792206256435463,-0.11688314759856344,-0.07792206256435463,0.029037376241100477,-0.0324522877232869,-0.03288667245595933,0.047505258265566175,-0.08726273526770512,-0.046566817792451975,False,False,False,2018-02-05,ADRO.JK,T-10,-10,-0.19953993774690137,-0.2718253629993036
2018-01-29,ADRO.JK,599.698582649231,651.3119852542877,599.698582649231,629.1919555664062,70182600,0.049180282820288745,0.37634390943966967,,,,651.3119852542877,651.3119852542877,651.3119852542877,651.3119852542877,444.8583939349065,444.8583939349065,444.8583939349065,444.8583939349065,-0.03396226415094339,-0.03396226415094339,0.4143645801555276,0.46250990535094944,,70574940.0,0.994440802925231,,,,,,,,542.3708709716797,,,,True,False,False,False,False,False,-0.06640636178382087,-0.20703119050827157,-0.11718734918657392,-0.01885248753317159,-0.07191657771708448,-0.05575399279106397,-0.04846760924979365,-0.14558455581377572,-0.06506075315806592,False,True,False,2018-02-05,ADRO.JK,T-5,-5,-0.19953993774690137,-0.2718253629993036
2018-02-05,ADRO.JK,597.2408687046596,636.5653703477648,587.4097432938834,619.3609008789062,95408100,0.020242766408187896,0.1666668774443263,,,,651.3119852542877,651.3119852542877,651.3119852542877,651.3119852542877,523.5073765345983,444.8583939349065,444.8583939349065,444.8583939349065,-0.049056496884372525,-0.049056496884372525,0.3922652900858463,0.39389068739241456,,71154565.0,1.3408570483144686,0.13467657546548617,,,,,,,574.5063659667969,551.9136845515325,,,True,True,False,False,False,False,-0.07936490260907769,-0.1547619739783037,-0.2718253629993036,-0.0059307981665801535,-0.05297742517702364,-0.09030484924998816,-0.07387222570325958,-0.107478482041789,-0.19953993774690137,False,False,True,2018-02-05,ADRO.JK,T0,0,-0.19953993774690137,-0.2718253629993036
2018-06-20,ADRO.JK,476.5882867431641,509.7200927734376,466.3938848876954,509.7200927734375,140664700,0.0335917626071216,0.09589037860214122,0.01661941414994761,0.1332805860257089,,527.5603078456935,562.831962652966,651.3119852542877,651.3119852542877,457.4738049349942,401.4045504401712,401.4045504401712,401.4045504401712,-0.21739488246261796,-0.21739488246261796,0.26984134139608007,0.27981843531103784,0.5252549867541736,53479835.0,2.6302381075035104,0.07999982777006531,0.058437468456915664,0.192057067747339,,0.17245651624141833,-0.07401510489585672,0.00216361741439421,488.8215576171875,484.55368957519534,518.3225506591797,523.298458440517,True,True,False,False,False,False,-0.06749986289484189,-0.07250007004936021,-0.12000006226609805,0.001137296075054639,-0.011463081402682262,-0.014596807173006376,-0.0685591868757538,-0.06174477401742995,-0.1069645966852446,False,False,False,2018-08-15,ADRO.JK,T-40,-40,-0.15800977305520536,-0.140161797622256
2018-07-18,ADRO.JK,456.1995501070815,475.3140563964843,453.6509492684944,475.3140563964844,87066600,0.05965932168864696,-0.06749986289484189,-0.12094769130324068,-0.21064680464598162,,514.8173384785059,540.7119140625,636.5653703477648,651.3119852542877,420.519079259924,401.4045504401712,401.4045504401712,401.4045504401712,-0.2702206205971929,-0.2702206205971929,0.18412722495364253,0.5533906055902048,0.5708406955109318,63236325.0,1.376844717019846,-0.06863715896989653,-0.08984180257451946,-0.10242097163123898,,-0.14863698673996184,-0.0673969458339182,0.001400829800280786,462.8895492553711,472.91828979492186,491.28024200439455,514.849659953084,True,True,False,False,False,False,-0.005362151656128411,-0.05630047362163082,-0.04557649133478581,-0.012586063397235003,-0.015716229242229263,-0.01189376815751908,0.0073159912710576425,-0.04123226003021152,-0.034088159847408206,False,False,False,2018-08-15,ADRO.JK,T-20,-20,-0.15800977305520536,-0.140161797622256
2018-08-01,ADRO.JK,488.05696167608704,507.1714640915996,484.2340611929845,504.6228637695313,74080800,0.03937001241864824,0.11864404945054097,0.16470588318160906,-0.15853921169304808,,542.851934259588,542.851934259588,619.3608760127315,651.3119852542877,444.7307940757438,417.9704925081623,401.4045504401712,401.4045504401712,-0.22522097674509323,-0.22522097674509323,0.20731695852830279,0.6063798370740069,0.5010711729027346,69225735.0,1.0701338165640277,0.06635966656864367,0.14346650029029417,-0.07346978023215778,,0.11930312106971641,0.31690232694895315,0.001357782740384265,475.6962615966797,477.3528533935547,484.65845611572263,512.7903392517488,True,True,True,False,False,False,-0.03535349014924405,-0.08333322246064567,-0.1565656810004088,0.00525903816001394,-0.02654348233900994,-0.05370121916972537,-0.0404000628371306,-0.05833824016925737,-0.10870188561421479,False,False,False,2018-08-15,ADRO.JK,T-10,-10,-0.15800977305520536,-0.140161797622256
2018-08-08,ADRO.JK,509.7201093357412,517.3659109757773,504.6229082423838,507.1715087890625,45706300,0.005050593626481303,0.04736856069694184,0.10555575327853339,-0.16456130434437277,,542.851934259588,542.851934259588,616.9031293315272,651.3119852542877,447.2793497605757,420.519079259924,401.4045504401712,401.4045504401712,-0.22130788274831048,-0.22130788274831048,0.2060606374427505,0.5900887968478727,0.489810342472046,70825390.0,0.6453377807026548,0.013182586498461824,0.062182167455603565,-0.08198750044198877,,,0.18579741971084696,0.00048466774831411156,483.2783432006836,480.7679779052734,484.4798049926758,512.3786368068261,True,True,True,False,False,False,-0.1457287191115516,-0.06281396300955844,-0.17085424414326822,-0.06748804899132443,-0.03725982818747642,-0.043180734821798405,-0.0839031285718067,-0.02654312718038132,-0.13343534559548342,False,False,False,2018-08-15,ADRO.JK,T-5,-5,-0.15800977305520536,-0.140161797622256
2018-08-15,ADRO.JK,463.84524939195165,474.039650477489,453.6508483064143,472.7653503417969,34569700,0.030555628546748315,-0.005362151656128411,0.016438249387066062,-0.18147003813887852,,542.851934259588,542.851934259588,594.7831420898438,651.3119852542877,453.6508483064143,420.519079259924,401.4045504401712,401.4045504401712,-0.27413380830506595,-0.27413380830506595,0.12424233205737445,0.5751829469663247,0.482589627020613,70713370.0,0.4888707750740772,0.007223911741106592,0.012192934635393948,-0.06314319847768735,,0.07586107071100312,0.0848465727220048,-0.0004489112781608552,485.50836486816405,478.6016656494141,483.3732113647461,511.24950104695887,False,False,False,False,False,False,-0.051212933481585954,-0.040431137569937214,-0.140161797622256,-0.003170064477481249,0.000701119575137632,0.021197366503542092,-0.04819565232952361,-0.04110343871958311,-0.15800977305520536,False,False,True,2018-08-15,ADRO.JK,T0,0,-0.15800977305520536,-0.140161797622256
2018-09-12,ADRO.JK,444.7307494770397,453.6508504694158,444.7307494770397,448.55364990234375,45898700,0.014409198432649983,-0.051212933481585954,-0.12000006226609805,-0.10537497884897007,,496.9771284909593,542.851934259588,562.831962652966,651.3119852542877,426.8905436197917,420.519079259924,401.4045504401712,401.4045504401712,-0.31130754529687077,-0.31130754529687077,0.066666584288537,0.35216887692536014,0.49560884203765837,41852130.0,1.0966873131666177,-0.048042869004104705,-0.10540325509309167,-0.04957052744406465,,-0.0552667807452113,-0.16384072355000734,-3.416710278034333e-05,465.43814849853516,473.9886993408203,472.30006744384764,506.24279585040983,False,False,False,False,False,False,0.011363767795879332,-0.09375008079217284,-0.2698864065451253,0.0038834949821100473,0.024444922962963078,0.057771735382028844,0.007451335589397923,-0.11537467862428852,-0.30976261793270166,False,False,True,2018-11-07,ADRO.JK,T-40,-40,-0.20033535158402582,-0.1297504370789493
