ticker,month_end,drawdown_252d,distance_from_high_252d,volatility_60d,rs_change_60d,volume_ratio,recovery_from_60d_low,above_ma20,vol_pct,deep_drawdown,far_from_high,high_volatility,context_match,transition_match,full_match,volume_high,recovered,confirmation_count
ADRO.JK,2018-01-31,-0.07547168530114445,-0.07547168530114445,,,0.9462555696069317,0.3535911208599618,True,,False,False,False,False,False,False,False,True,2
ADRO.JK,2018-02-28,-0.11320754826798818,-0.11320754826798818,0.42886569946024167,,1.2605141004012999,0.2983424840818165,False,0.7777777777777778,False,False,True,False,False,False,False,True,1
ADRO.JK,2018-03-31,-0.1962263905683902,-0.1962263905683902,0.4214272592698543,,0.0,0.09511563131458223,True,0.8148148148148148,False,False,True,False,False,False,False,False,1
ADRO.JK,2018-04-30,-0.30754705981060737,-0.30754705981060737,0.49391088588333226,,1.3183153783993093,0.0,False,0.9629629629629629,True,True,True,True,False,False,True,False,1
ADRO.JK,2018-05-31,-0.26239476059244315,-0.26239476059244315,0.5209849680916849,,1.691741607975904,0.19682532817750076,True,0.8518518518518519,True,True,True,True,False,False,True,True,3
ADRO.JK,2018-06-30,-0.29956845072870286,-0.29956845072870286,0.5638535253242413,0.03428866599099001,2.1215900296404597,0.13650795037168106,False,0.8571428571428571,True,True,True,True,True,True,True,True,2
ADRO.JK,2018-07-31,-0.25456861945442266,-0.25456861945442266,0.5033599605697066,0.3258609169339889,2.4444565930623834,0.20952388756327456,True,0.75,True,True,True,True,True,True,True,True,3
ADRO.JK,2018-08-31,-0.2702206205971929,-0.2702206205971929,0.48122358444505636,-0.07327591241901599,0.778342193688208,0.13030318917513717,False,0.8571428571428571,True,True,True,True,False,False,False,True,1
ADRO.JK,2018-09-30,-0.2819597620209059,-0.2819597620209059,0.44430474574171575,0.017793728505378525,0.7444237264303013,0.09552254056756948,True,0.75,True,True,True,True,True,True,False,False,1
ADRO.JK,2018-10-31,-0.3543507358616691,-0.3543507358616691,0.35374580481468054,-0.18985567677707338,1.522445303018661,0.02484472049689468,False,0.4642857142857143,True,True,False,False,False,False,True,False,1
