month,return,tickers
2023-01,-0.06601100062447936,"ARTO.JK,WSKT.JK,UNTR.JK,BUMI.JK,MNCN.JK"
2023-02,-0.09650579562492698,"ARTO.JK,BUMI.JK,PTPP.JK,EMTK.JK,BTPS.JK"
2023-03,-0.10445164248385923,"WSKT.JK,ARTO.JK,WSBP.JK,EMTK.JK,MNCN.JK"
2023-04,-0.1530589930829504,"EMTK.JK,WSBP.JK,ARTO.JK,BUMI.JK,ADMR.JK"
2023-05,0.09662574908819488,"ESSA.JK,EMTK.JK,WSBP.JK,ADMR.JK,WSKT.JK"
2023-06,0.003686805178037078,"WSBP.JK,LPPF.JK,MDKA.JK,WSKT.JK,TPIA.JK"
2023-07,-0.02496621671674897,"LPPF.JK,SIDO.JK,WSBP.JK,WSKT.JK,BUKA.JK"
2023-08,-0.06876787412786194,"LPPF.JK,GOTO.JK,SIDO.JK,WSBP.JK,MNCN.JK"
2023-09,-0.20918101047752832,"LPPF.JK,ARTO.JK,SIDO.JK,GOTO.JK,MNCN.JK"
2023-10,0.14324319483614092,"GOTO.JK,LPPF.JK,MDKA.JK,ARTO.JK,INCO.JK"
2023-11,0.05971505983733285,"LPPF.JK,TINS.JK,MNCN.JK,ERAA.JK,INCO.JK"
2023-12,-0.0024633164507770868,"PTPP.JK,BUMI.JK,MBMA.JK,ESSA.JK,INCO.JK"
2024-01,0.03337355728234257,"HRUM.JK,INCO.JK,MNCN.JK,TINS.JK,PTPP.JK"
2024-02,0.009272524856318753,"BUKA.JK,GOTO.JK,BTPS.JK,MNCN.JK,ANTM.JK"
2024-03,-0.254277771272196,"WSBP.JK,BRPT.JK,LPKR.JK,BUKA.JK,EMTK.JK"
2024-04,-0.10290124485996095,"WSBP.JK,BUKA.JK,SMGR.JK,LPKR.JK,MNCN.JK"
2024-05,0.019743977429390203,"WSBP.JK,SMGR.JK,INTP.JK,MAPI.JK,TOWR.JK"
2024-06,0.14582409056942186,"WSBP.JK,PTPP.JK,GOTO.JK,LPKR.JK,BTPS.JK"
2024-07,0.05127667778646252,"BUMI.JK,HMSP.JK,GGRM.JK,BUKA.JK,EXCL.JK"
2024-08,0.05204370094448223,"MBMA.JK,ADMR.JK,INCO.JK,TKIM.JK,MEDC.JK"
2024-09,0.018873435864386834,"INTP.JK,SMGR.JK,GGRM.JK,CPIN.JK,MEDC.JK"
2024-10,-0.06742289036544005,"SIDO.JK,AMMN.JK,PGEO.JK,GGRM.JK,JSMR.JK"
2024-11,0.02643062097132227,"TPIA.JK,BRPT.JK,BTPS.JK,GGRM.JK,AMMN.JK"
2024-12,-0.058547569153194076,"MDKA.JK,AKRA.JK,MBMA.JK,TKIM.JK,TOWR.JK"
2025-01,-0.22798122041338287,"WSBP.JK,MBMA.JK,SMGR.JK,MDKA.JK,HRUM.JK"
2025-02,0.12699173741233646,"PTPP.JK,WSBP.JK,HRUM.JK,BBTN.JK,SMGR.JK"
2025-03,0.12795082709406863,"ACES.JK,ARTO.JK,INCO.JK,MBMA.JK,AMMN.JK"
2025-04,0.05832829751405717,"ESSA.JK,ACES.JK,MBMA.JK,AMRT.JK,GGRM.JK"
2025-05,-0.07493735043851109,"ESSA.JK,MAPI.JK,GOTO.JK,GGRM.JK,JPFA.JK"
2025-06,0.05257172017045475,"JPFA.JK,GGRM.JK,GOTO.JK,ESSA.JK,MAPI.JK"
2025-07,-0.025419115791753842,"ICBP.JK,JSMR.JK,ACES.JK,BMRI.JK,AADI.JK"
2025-08,0.08990339673703666,"ACES.JK,MIKA.JK,ICBP.JK,GGRM.JK,ADRO.JK"
2025-09,0.0832990156121908,"KLBF.JK,TBIG.JK,TPIA.JK,AMRT.JK,BBCA.JK"
2025-10,-0.013634692653159664,"TPIA.JK,AMMN.JK,ICBP.JK,ERAA.JK,TOWR.JK"
2025-11,0.04840001787894159,"PGEO.JK,HEAL.JK,AMRT.JK,ERAA.JK,WSBP.JK"
