Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m,fwd_return_1m,recovery_norm,rs_3m_norm,rs_6m_norm,rs_change_norm,drawdown_norm,volatility_3m_norm,recovery_score,recovery_score_pctl,drawdown_12m,rs_3m_prev1,rs_3m_prev2,momentum_inflection,drawdown_prev2,drawdown_compression,winner_group_a,winner_group_b,mi_norm,dc_norm,early_reversal_score,early_reversal_pctl,er_quintile
2024-12-31,7953.8310546875,,-102978219838.58998,,,,7079.90478515625,,,,,,7953.8310546875,0.0,7953.8310546875,0.0,AADI.JK,AVOID,2024-12,,,,,,-0.2988505618816097,-0.2555555598376586,,False,False,0.1031745507406851,-0.49655414921473656,,,,1.4132984766363657,,,,0.0,,,False,,False,False,False,-0.28882799302123124,-0.45200027014201233,,,
2025-01-31,8868.873046875,0.1150441825952828,211378055812.52,,,,7109.19580078125,,,,,,8868.873046875,0.0,7953.8310546875,0.1150441825952828,AADI.JK,AVOID,2025-01,,,,,,-0.4052044419849443,-0.3897057979656921,,False,False,-0.4052044419849443,1.9697173666866257,,,,1.42039859374495,,,,0.0,,,False,,False,False,False,-0.28882799302123124,-0.5966996986049437,,,
2025-02-28,6311.44677734375,-0.2883597787469034,-214692389448.2,,,,6270.59716796875,,,,,,8868.873046875,-0.2883597787469034,6311.44677734375,0.0,AADI.JK,AVOID,2025-02,,,,,,0.0692041375480382,0.0253623021755887,0.2852496766225758,False,False,-0.0306512844785189,-0.35814253763212806,,,,-0.0318990479587898,4.004898746424618,,,-0.2883597787469034,,,False,0.0,False,False,False,-0.5249999987399999,-0.374999998875,,,
2025-03-31,6123.74609375,-0.0297397237456775,-27936532294.71,-0.2300884879694497,,,6510.6201171875,,,,-0.149679967622917,,8868.873046875,-0.3095237623332833,6123.74609375,0.0,AADI.JK,AVOID,2025-03,,,,,,0.033333320487024,0.1241610644515919,0.204361390845871,False,False,0.0297397237456775,-0.692892640073931,-0.7180706275746976,,,-0.2688746755342168,1.7095611425110768,,,-0.3095237623332833,,,False,0.0,False,False,False,-0.2200270092316387,-0.57282196055698,,,
2025-04-30,6311.44677734375,0.0306512844785189,51294444241.85,-0.2883597787469034,,,6766.794921875,,,,-0.24019668287766,,8868.873046875,-0.2883597787469034,6123.74609375,0.0306512844785188,AADI.JK,AVOID,2025-04,,,,,,0.0110294584589837,0.2134503091227728,0.1694596634322292,False,False,0.0692041375480382,-0.8384272782622111,-1.772921659809462,,,-0.5191833515380448,0.5710258560864643,,,-0.2883597787469034,-0.149679967622917,,False,-0.2883597787469034,False,False,False,-0.4766166807651434,-1.8749999954999998,,,
2025-05-31,6780.69921875,0.0743494254107837,61929432423.65,0.0743494254107837,,,7175.81884765625,,,,-0.0700102991002282,,8868.873046875,-0.2354497371975327,6123.74609375,0.1072796152783828,AADI.JK,AVOID,2025-05,,,,,,-0.0471014506413451,0.0959067708333333,0.0522671859573274,False,False,-0.0703703089935596,-0.46160550984733817,-0.5335064922325095,,,-0.5474100564975554,-0.6106702714028066,,,-0.2354497371975327,-0.24019668287766,-0.149679967622917,False,-0.3095237623332833,True,False,False,-0.743108581278644,0.45200027014201233,,,
2025-06-30,6334.90966796875,-0.0657438910648848,-4835381975.5,0.0344827448731532,-0.2035398257251965,,6927.67919921875,-0.2035398257251965,-0.0215010781298439,-0.1820387475953526,-0.0295755283058098,,8868.873046875,-0.2857142463888472,6311.44677734375,0.0037175138209554,AADI.JK,AVOID,2025-06,,,,,,0.0939597338871019,0.0917692232302866,0.0716794888259902,False,False,0.0073529468022871,-0.5026572595529305,-0.4808738517481142,-0.8451106581031725,,-0.7545589998322902,-0.4170888280402315,,,-0.2857142463888472,-0.0700102991002282,-0.24019668287766,False,-0.2883597787469034,True,False,False,-0.57282196055698,0.9921567396804715,,,
2025-07-31,6381.8349609375,0.0074074131168782,9725703440.030005,0.011152464098473,-0.2804232367283488,,7484.3369140625,-0.2804232367283488,0.0527684317317613,-0.3331916684601101,-0.0948862145480311,-0.1511529208647575,8868.873046875,-0.2804232367283488,6334.90966796875,0.0074074131168781,AADI.JK,AVOID,2025-07,,,,,,0.2046783419335994,0.1602848735608553,0.0700695887845338,True,False,0.0144926902415835,-0.43816172837936557,-0.28398647953885153,-1.0835737383929525,-0.9114191237046693,-0.824464498848817,-0.3840172931827817,-0.5629028540416154,92.1875,-0.2804232367283488,-0.0295755283058098,-0.0700102991002282,False,-0.2354497371975327,False,True,False,-0.25617376809898995,-0.743108581278644,-0.5560513464656957,0.0625,Q1
2025-08-31,6475.68505859375,0.0147058170934686,54283092569.32,-0.0449827002077933,0.0260222872891153,,7830.4931640625,0.0260222872891153,0.2487635474436083,-0.2227412601544929,-0.1362160953512727,0.1104504083056172,8868.873046875,-0.2698412724629657,6334.90966796875,0.0222221622727793,AADI.JK,WATCH,2025-08,,,,,,0.1365753255208333,0.2999259396114865,0.0444907022999611,False,False,0.0738255600678691,-0.39445750193387114,-0.40193649719052094,-0.5939782508022294,0.4385761247180663,-0.8713608095921215,-0.5087093276050193,-0.3647271713369441,53.125,-0.2698412724629657,-0.0948862145480311,-0.0295755283058098,False,-0.2857142463888472,True,False,False,-0.17819661022568029,0.9616214980018195,-0.18571801124870543,0.5,Q3
2025-09-30,6991.86328125,0.0797102110411067,52203453199.700005,0.1037037065584391,0.1417624398872472,,8061.06201171875,0.1417624398872472,0.2381404331114653,-0.0963779932242181,-0.0598983858461592,0.1263632669302747,8868.873046875,-0.2116401661974827,6381.8349609375,0.0955882319186276,AADI.JK,WATCH,2025-09,,,,,,-0.0024176747311828,0.3798790881374723,0.0398047997959564,False,False,0.1286549508324408,-0.24294174586096126,-0.09414834952874618,-0.30898165748349854,0.11430696912012034,-0.7087311890795797,-0.642992502359861,-0.2157919139343439,45.3125,-0.2116401661974827,-0.1362160953512727,-0.0948862145480311,False,-0.2804232367283488,True,False,False,-0.374999998875,0.9319689764240122,-0.07563926509608646,0.609375,Q4
