strategy,cagr,sharpe,max_dd,alpha,n_months
Config B Top 5,46.32645863866591,1.433303164421785,-18.273444294957166,49.026788846859226,53
Decision Layer V1,34.921242261195594,1.0655444864416255,-17.726772104425937,36.16212103805325,53
