Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state
2024-12-31,7953.8310546875,,-102978219838.58998,,,,7079.90478515625,,,,,,7953.8310546875,0.0,7953.8310546875,0.0,AADI.JK,AVOID
2025-01-31,8868.873046875,0.1150441825952828,211378055812.52,,,,7109.19580078125,,,,,,8868.873046875,0.0,7953.8310546875,0.11504418259528286,AADI.JK,AVOID
2025-02-28,6311.44677734375,-0.2883597787469034,-214692389448.2,,,,6270.59716796875,,,,,,8868.873046875,-0.2883597787469034,6311.44677734375,0.0,AADI.JK,AVOID
2025-03-31,6123.74609375,-0.0297397237456775,-27936532294.71,-0.2300884879694497,,,6510.6201171875,,,,-0.14967996762291702,,8868.873046875,-0.3095237623332833,6123.74609375,0.0,AADI.JK,AVOID
2025-04-30,6311.44677734375,0.0306512844785189,51294444241.85,-0.28835977874690344,,,6766.794921875,,,,-0.24019668287766005,,8868.873046875,-0.2883597787469034,6123.74609375,0.03065128447851888,AADI.JK,AVOID
2025-05-31,6780.69921875,0.0743494254107837,61929432423.65,0.07434942541078371,,,7175.81884765625,,,,-0.07001029910022827,,8868.873046875,-0.2354497371975327,6123.74609375,0.10727961527838288,AADI.JK,AVOID
2025-06-30,6334.90966796875,-0.0657438910648848,-4835381975.5,0.03448274487315328,-0.20353982572519658,,6927.67919921875,-0.20353982572519658,-0.02150107812984392,-0.18203874759535266,-0.029575528305809895,,8868.873046875,-0.28571424638884724,6311.44677734375,0.0037175138209554304,AADI.JK,AVOID
2025-07-31,6381.8349609375,0.0074074131168782,9725703440.030005,0.011152464098473036,-0.2804232367283488,,7484.3369140625,-0.2804232367283488,0.05276843173176138,-0.33319166846011017,-0.09488621454803114,-0.1511529208647575,8868.873046875,-0.2804232367283488,6334.90966796875,0.0074074131168781615,AADI.JK,AVOID
2025-08-31,6475.68505859375,0.0147058170934686,54283092569.32,-0.04498270020779338,0.026022287289115376,,7830.4931640625,0.026022287289115376,0.2487635474436083,-0.22274126015449291,-0.13621609535127277,0.11045040830561725,8868.873046875,-0.26984127246296574,6334.90966796875,0.0222221622727793,AADI.JK,WATCH
2025-09-30,6991.86328125,0.0797102110411067,52203453199.700005,0.10370370655843919,0.14176243988724724,,8061.06201171875,0.14176243988724724,0.23814043311146538,-0.09637799322421814,-0.05989838584615925,0.12636326693027478,8868.873046875,-0.21164016619748272,6381.8349609375,0.09558823191862768,AADI.JK,WATCH
2025-10-31,8024.21875,0.1476509804644572,74874754047.9,0.2573529085467343,0.2713754917184126,,8163.875,0.2713754917184126,0.20646112291783258,0.06491436880057999,0.16655821374074553,0.16129236202479813,8868.873046875,-0.09523806377774445,6475.68505859375,0.23913048231881234,AADI.JK,BUY
2025-11-30,7500.0,-0.0653295686885405,-28876439584.22,0.15817862236010116,0.10608062060340151,,8508.7060546875,0.10608062060340151,0.1857470534483454,-0.0796664328449439,0.07156685009809216,-0.1445808016455239,8868.873046875,-0.15434577083695325,6991.86328125,0.07267543690573362,AADI.JK,AVOID
2025-12-31,6975.0,-0.0699999999999999,-27631240433.2,-0.00241184367766778,0.10104174575175762,-0.12306409929472129,8646.9384765625,0.10104174575175762,0.24817247275792376,-0.14713072700616614,-0.07509165484796199,-0.06746429416122224,8868.873046875,-0.2135415668783665,6975.0,0.0,AADI.JK,AVOID
2026-01-31,7600.0,0.0896057347670251,101528525452.29,-0.052867296271054465,0.190880059813322,-0.14307038111477932,8329.6064453125,0.190880059813322,0.11293846615346825,0.07794159365985376,-0.0731678821218299,0.2250723206660199,8024.21875,-0.05286729627105442,6975.0,0.08960573476702509,AADI.JK,ACCUMULATE
2026-02-28,9250.0,0.2171052631578947,149102770536.8,0.2333333333333334,0.4284203009107914,0.4655910643506964,8235.4853515625,0.4284203009107914,0.05171988264528249,0.37670041826550893,0.2654440563232857,0.29875882460565517,9250.0,0.0,6975.0,0.32616487455197135,AADI.JK,BUY
