month,ic
2023-01,-0.04726378527526523
2023-02,0.18405368234177363
2023-03,0.004001111419838845
2023-04,-0.042233953876076695
2023-05,-0.3266916802412643
2023-06,-0.20529065275672004
2023-07,0.024346860306667065
2023-08,-0.04334778266113742
2023-09,-0.18694801443457404
2023-10,0.0063990692352428455
2023-11,0.021382159037208498
2023-12,-0.229299924452279
2024-01,-0.14035507428859226
2024-02,-0.04422389170246981
2024-03,0.24810685613893163
2024-04,0.1744995441499908
2024-05,-0.4607870198466875
2024-06,-0.4881309555240861
2024-07,0.11768235604733217
2024-08,-0.08849578762931137
2024-09,-0.18604037155269662
2024-10,0.03737128867340326
2024-11,0.2435974365744185
2024-12,0.15649940602777163
2025-01,0.0605158614618442
2025-02,-0.36120778628519307
2025-03,-0.37180610419788074
2025-04,-0.14768499627967258
2025-05,0.03497107745481602
2025-06,-0.17250318027986464
2025-07,-0.0856475651915108
2025-08,-0.1872524554133565
2025-09,-0.2439700075847731
2025-10,0.05199294855651457
2025-11,0.05799125437853431
2025-12,-0.004716711149377067
