formation,eval,EXCL.JK,ADRO.JK,BBCA.JK,ICBP.JK,INDF.JK,MDKA.JK,SIDO.JK,BRPT.JK,MAPI.JK,CPIN.JK,ESSA.JK,TLKM.JK,MIKA.JK,HEAL.JK,AKRA.JK,ANTM.JK,TPIA.JK,KLBF.JK,ITMG.JK,PTBA.JK,UNTR.JK,PGAS.JK,BBRI.JK,BMRI.JK,INTP.JK,SMGR.JK,BBNI.JK,ASII.JK,GOTO.JK,AMMN.JK
2023-12,2024-01,,,,,,20%,20%,20%,,,20%,,,,,,,,,,,,,,,,,,20%,
2024-01,2024-02,,,,,,20%,,20%,,,20%,,,,,,,,,,,,,20%,,,,,20%,
2024-02,2024-03,,,,,,20%,20%,20%,,,,,,,,,20%,,,,,,,,,,,,20%,
2024-03,2024-04,,,,,,20%,,20%,,,20%,,,20%,,,,,,,,,,,,,,,20%,
2024-04,2024-05,20%,,,,,20%,,20%,,,,,,,,,,,,,,20%,,,,,,,20%,
2024-05,2024-06,,20%,,,,20%,,20%,20%,,,,,,,,,,,,,,,,,,,,20%,
2024-06,2024-07,,,,,,20%,,20%,20%,,,,,,,,,,,,,,,,,20%,,,,20%
2024-07,2024-08,,,,,,,,20%,20%,,,,,,,,,,,,,,,,20%,20%,,,20%,
2024-08,2024-09,,,,,,20%,,20%,20%,,,,,,,20%,,,,,,,,,,20%,,,,
2024-09,2024-10,,,,,,,,20%,,,,,,,20%,,,,,,20%,,,,,,,,20%,20%
2024-10,2024-11,,,,,20%,,,20%,,,,,,,,,,,,,,,,,,20%,,,20%,20%
2024-11,2024-12,,,,,,20%,,20%,,,,,,,20%,,,,,,,,,,,20%,,,20%,
2024-12,2025-01,,,,,,,,20%,20%,,,,,,,,20%,,,,,,,,,20%,,,20%,
2025-01,2025-02,,,,,,20%,,20%,,,,,,,20%,,20%,,,,,,,,,,,,,20%
2025-02,2025-03,,,,,,,,20%,20%,,,,,,20%,,20%,,,,,,,,,,20%,,,
2025-03,2025-04,,,,,,20%,,,20%,,,,,,,,20%,,,,,,20%,,,,20%,,,
2025-04,2025-05,,,,,,20%,,,20%,,,,,,20%,,20%,,,,,,,,,20%,,,,
2025-05,2025-06,,,,,,20%,,,,,,,,,,,,,,,,,,,20%,20%,,,20%,20%
2025-06,2025-07,,,,,,20%,,,,,20%,,,,20%,,,,,,,,,,,20%,,,,20%
2025-07,2025-08,,20%,,,20%,,,,,,20%,,,,,,,,,,,,,,,,,,20%,20%
2025-08,2025-09,,,,,,,,,20%,,20%,,,,,,,,,,,,,,,20%,,,20%,20%
2025-09,2025-10,,,,,,20%,,,,,20%,,,,,,,,,,,,,,,20%,,,20%,20%
2025-10,2025-11,,20%,,,,,,,20%,,20%,,,,,,,20%,,,,,,,,,,,,20%
2025-11,2025-12,,20%,,,,,,,,,20%,,,,,20%,,,,,,,,,,,,,20%,20%
2025-12,2026-01,,,,,,,,20%,20%,,,,,,,,,,,,,,,,20%,,,,20%,20%
2026-01,2026-02,20%,,,,,,,20%,,,20%,,,,,,,20%,,,,,,,,,,,20%,
2026-02,2026-03,20%,,,,,,,20%,,,,,,,,,20%,,,,,20%,,,,,,,20%,
2026-03,2026-04,20%,,,,,,,20%,,,,,,,,20%,20%,,,,,,,,,,,,,20%
2026-04,2026-05,20%,,,,,,,20%,,,,,,,,,20%,,,,,,,,,20%,,,,20%
