date,ticker,weight,rank,return_12m
2019-01,CPIN.JK,20.0,1,1.1781
2019-01,MDKA.JK,20.0,2,0.5326
2019-01,PTBA.JK,20.0,3,0.3954
2019-01,SIDO.JK,20.0,4,0.3952
2019-01,MAPI.JK,20.0,5,0.3834
2019-02,CPIN.JK,20.0,1,1.1549
2019-02,SIDO.JK,20.0,2,0.6056
2019-02,MDKA.JK,20.0,3,0.5508
2019-02,MAPI.JK,20.0,4,0.4015
2019-02,PTBA.JK,20.0,5,0.382
2019-03,CPIN.JK,20.0,1,0.8764
2019-03,PTBA.JK,20.0,2,0.5762
2019-03,BRPT.JK,20.0,3,0.5688
2019-03,SIDO.JK,20.0,4,0.5668
2019-03,INTP.JK,20.0,5,0.3884
2019-04,MDKA.JK,20.0,1,0.767
2019-04,BRPT.JK,20.0,2,0.6609
2019-04,CPIN.JK,20.0,3,0.4556
2019-04,SMGR.JK,20.0,4,0.4205
2019-04,EXCL.JK,20.0,5,0.3774
2019-05,MDKA.JK,20.0,1,0.6173
2019-05,BRPT.JK,20.0,2,0.5846
2019-05,BBRI.JK,20.0,3,0.3785
2019-05,SMGR.JK,20.0,4,0.375
2019-05,EXCL.JK,20.0,5,0.3619
2019-06,SMGR.JK,20.0,1,0.6543
2019-06,BRPT.JK,20.0,2,0.6319
2019-06,BBRI.JK,20.0,3,0.5898
2019-06,INTP.JK,20.0,4,0.5061
2019-06,BBCA.JK,20.0,5,0.4132
2019-07,BRPT.JK,20.0,1,1.1519
2019-07,MDKA.JK,20.0,2,0.8003
2019-07,SMGR.JK,20.0,3,0.7251
2019-07,INTP.JK,20.0,4,0.6356
2019-07,BBRI.JK,20.0,5,0.5112
2019-08,BRPT.JK,20.0,1,1.6559
2019-08,MDKA.JK,20.0,2,1.3372
2019-08,TPIA.JK,20.0,3,0.6191
2019-08,SIDO.JK,20.0,4,0.6048
2019-08,SMGR.JK,20.0,5,0.4278
2019-09,BRPT.JK,20.0,1,1.708
2019-09,MDKA.JK,20.0,2,1.3056
2019-09,TPIA.JK,20.0,3,0.6817
2019-09,MIKA.JK,20.0,4,0.5677
2019-09,SIDO.JK,20.0,5,0.5238
2019-10,BRPT.JK,20.0,1,1.5501
2019-10,MDKA.JK,20.0,2,1.1339
2019-10,TPIA.JK,20.0,3,0.9843
2019-10,MIKA.JK,20.0,4,0.8354
2019-10,SIDO.JK,20.0,5,0.6
2019-11,BRPT.JK,20.0,1,2.2441
2019-11,MDKA.JK,20.0,2,0.9102
2019-11,TPIA.JK,20.0,3,0.7641
2019-11,MIKA.JK,20.0,4,0.6951
2019-11,EXCL.JK,20.0,5,0.6373
2019-12,BRPT.JK,20.0,1,2.159
2019-12,TPIA.JK,20.0,2,0.7593
2019-12,MIKA.JK,20.0,3,0.7113
2019-12,EXCL.JK,20.0,4,0.5909
2019-12,SIDO.JK,20.0,5,0.5782
2020-01,BRPT.JK,20.0,1,1.5
2020-01,MIKA.JK,20.0,2,0.7381
2020-01,MDKA.JK,20.0,3,0.7006
