Date,portfolio_return
2018-01-31,
2018-02-28,0.03092949368960588
2018-03-31,-0.03764425847039788
2018-04-30,-0.05395518994853536
2018-05-31,-0.03681771725078982
2018-06-30,-0.04084343009035966
2018-07-31,0.05218249895590221
2018-08-31,0.018011076539859082
2018-09-30,-0.01576379401562992
2018-10-31,-0.03797576526022888
2018-11-30,0.1112010364145394
2018-12-31,-0.0007386747238919399
2019-01-31,0.031419550829482536
2019-02-28,0.030844687554433127
2019-03-31,0.025463269831653777
2019-04-30,0.057084059809685915
2019-05-31,-0.04587218839773816
2019-06-30,0.045543087231372285
2019-07-31,0.028409378573715803
2019-08-31,0.05069872685644374
2019-09-30,-0.004821712967848603
2019-10-31,-0.004618948164873458
2019-11-30,-0.01083499706182428
2019-12-31,0.06126147822868054
2020-01-31,-0.03536337245564346
2020-02-29,-0.04679599610360104
2020-03-31,-0.18140335833162405
2020-04-30,-0.017292143928808196
2020-05-31,0.05756888122513655
2020-06-30,0.04724096156168434
2020-07-31,0.08978355401136691
2020-08-31,0.027863068064668522
2020-09-30,-0.08435532712384713
2020-10-31,0.0790366891467362
2020-11-30,0.07953530991531402
2020-12-31,0.022492936288908538
2021-01-31,0.01851647197399064
2021-02-28,0.01646191183865144
2021-03-31,-0.03038259598053864
2021-04-30,-0.0189738193014438
2021-05-31,0.00210099742667684
2021-06-30,-0.012373180818954676
2021-07-31,-0.05528058616800432
2021-08-31,0.03874034038838998
2021-09-30,0.040969406213666036
2021-10-31,0.08972107088010033
2021-11-30,-0.00833345277627542
2021-12-31,-0.005829480414872581
2022-01-31,0.04587388839041724
2022-02-28,0.0175550601994817
2022-03-31,0.020345973336905597
2022-04-30,0.07626333255027684
2022-05-31,-0.011380831363794624
2022-06-30,-0.0382300719985009
2022-07-31,-0.0020164296677316214
2022-08-31,0.057171180979922874
2022-09-30,0.06434560910944875
2022-10-31,0.05123607994937325
2022-11-30,0.03283161318889314
2022-12-31,-0.0018387953768810579
2023-01-31,-0.02890386617860106
2023-02-28,0.01627913288834126
2023-03-31,0.028678398805216915
2023-04-30,0.022160621583066458
2023-05-31,-0.0036721196969555212
2023-06-30,0.006011848233092239
2023-07-31,0.031126909832857097
2023-08-31,-0.00790576336761602
2023-09-30,-0.03513995984143516
2023-10-31,-0.027905965646196063
2023-11-30,0.01951567474140778
2023-12-31,0.03732164213946074
2024-01-31,0.0014676637813618415
2024-02-29,0.021417386872251358
2024-03-31,0.04196032623231586
2024-04-30,-0.04284140552023245
2024-05-31,-0.05620040433651592
2024-06-30,0.05114918082494828
2024-07-31,0.026751034410329843
2024-08-31,0.05438244886659398
2024-09-30,0.0028994105212520006
2024-10-31,-0.05578728870930512
2024-11-30,-0.06707501587663715
2024-12-31,-0.0445251853862821
2025-01-31,-0.00980437096057034
2025-02-28,-0.1447884494509443
2025-03-31,0.07597093388431267
2025-04-30,0.08043642654276031
2025-05-31,0.09968000687684843
2025-06-30,-0.06717213110484718
2025-07-31,-0.05104755731810808
2025-08-31,-0.02194484787880006
2025-09-30,-0.022861829387749062
2025-10-31,0.07767438893814269
2025-11-30,-0.03579610912474926
2025-12-31,0.006798704971332739
2026-01-31,-0.025641860991073483
2026-02-28,-0.004938368530328921
2026-03-31,-0.0966850244583685
2026-04-30,-0.07883082617860744
2026-05-31,-0.05910572672078209
