Date,Close,High,Low,Open,Volume
2018-01-01,2836.2041015625,2836.2041015625,2836.2041015625,2836.2041015625,0
2018-01-02,2884.769287109375,2933.334426623001,2836.2041475957494,2865.3432313039248,892600
2018-01-03,2894.482177734375,2894.482177734375,2836.204013082005,2894.482177734375,723100
2018-01-04,2894.482177734375,2904.195205176437,2845.9170405240666,2904.195205176437,618800
2018-01-05,2952.760498046875,3049.8907775878906,2894.4823303222656,2894.4823303222656,6512600
2018-01-08,2933.33447265625,2991.612640987169,2894.4823604356375,2952.7605287665565,1113700
2018-01-09,2913.908203125,2943.04728515625,2894.4821484375,2943.04728515625,1733400
2018-01-10,2952.760498046875,2952.760498046875,2894.4823303222656,2913.9083862304688,3220300
2018-01-11,3040.177734375,3108.1689297124603,2962.4735111321884,2962.4735111321884,8465400
2018-01-12,3069.317138671875,3166.447427870352,3030.465022992484,3059.6041097520274,9060600
2018-01-15,3088.74267578125,3137.3078121929047,3030.464512087264,3098.455703063581,7223200
2018-01-16,3428.698974609375,3428.698974609375,3079.029957368759,3127.595098652178,8824100
2018-01-17,3486.97705078125,3535.542190764276,3380.1337428185934,3399.559798811804,11695200
2018-01-18,3525.828857421875,3545.2549117327394,3457.83766733385,3496.6897759555786,4740500
2018-01-19,3797.793701171875,3856.071865384231,3525.8289348475464,3525.8289348475464,11596700
2018-01-22,3982.34130859375,4030.90644650343,3807.5068121189024,3826.9328672827746,9229500
2018-01-23,4254.306640625,4254.306640625,3982.3418325485163,4001.767890268265,7914200
2018-01-24,4283.44580078125,4332.010945914824,4079.472191220238,4273.732771754535,4964800
2018-01-25,4467.9921875,4487.418240489131,4225.16652513587,4283.444684103261,7169000
2018-01-26,4516.55859375,4594.262827620968,4458.280418346774,4506.845564516129,2923000
2018-01-29,4458.279296875,4603.97469873366,4273.731787854031,4535.983511199618,7515100
2018-01-30,4429.140625,4565.12301260965,4283.4452097039475,4458.279708059211,6162800
2018-01-31,4584.5498046875,4603.975863181939,4322.2980150125795,4322.2980150125795,16160100
2018-02-01,4710.81884765625,4837.088218830541,4535.984333722616,4603.975533585696,7053300
2018-02-02,4497.1318359375,4759.383584469492,4458.279725043872,4710.8184458524565,6512700
2018-02-05,4370.86279296875,4458.2800488281255,4079.4719401041666,4370.86279296875,4913600
2018-02-06,4108.6103515625,4273.731807771867,3749.228358636229,4176.601539413416,13174100
2018-02-07,4118.32373046875,4322.297311458948,4040.6195091391505,4176.601896465949,4881000
2018-02-08,4021.193115234375,4128.0364105666895,3953.2019272956295,4118.323383718297,1804500
2018-02-09,3865.78564453125,3972.628966365028,3807.507468985553,3972.628966365028,5280700
2018-02-12,4001.767822265625,4001.767822265625,3856.0723918433328,3885.2114779277913,2039300
2018-02-13,4060.046142578125,4089.185229725815,3992.054939233515,4079.472200676585,1963000
2018-02-14,4137.75,4137.75,3933.776408450704,3933.776408450704,1334000
2018-02-15,4215.4541015625,4234.880157330069,4060.045655421947,4060.045655421947,2235400
2018-02-16,4215.4541015625,4215.4541015625,4215.4541015625,4215.4541015625,0
2018-02-19,4458.279296875,4497.131404037309,4215.453627110566,4215.453627110566,7708400
2018-02-20,4467.9921875,4584.548505434783,4458.279161005435,4467.9921875,4785200
2018-02-21,4477.7060546875,4545.697252914859,4467.993026369306,4467.993026369306,1942900
2018-02-22,4526.271484375,4526.271484375,4322.297876710032,4487.419368629292,3882100
2018-02-23,4545.6962890625,4574.835367838542,4516.557210286459,4535.983262803819,4043800
2018-02-26,5050.77490234375,5099.340045635517,4565.123469426082,4613.688612717849,13854400
