Date,Close,High,Low,Open,Volume
2018-01-01,5585.375,5585.375,5585.375,5585.375,0
2018-01-02,5530.43798828125,5640.3142397040565,5530.43798828125,5603.688822563121,6875700
2018-01-03,5603.68896484375,5640.314382914624,5567.063546772876,5567.063546772876,11532300
2018-01-04,5658.62646484375,5658.62646484375,5567.062929813916,5603.688343825849,6861700
2018-01-05,5622.00048828125,5640.313193454805,5585.375077934141,5640.313193454805,8060200
2018-01-08,5750.18994140625,5768.502648226015,5640.313700487659,5640.313700487659,13357200
2018-01-09,5731.876953125,5750.189659045527,5695.251541283946,5731.876953125,13531800
2018-01-10,5731.876953125,5768.502364966054,5713.564247204473,5768.502364966054,9997600
2018-01-11,5768.5029296875,5768.5029296875,5676.939391121031,5713.564806547619,5038700
2018-01-12,5750.18994140625,5786.81535504578,5713.564527766719,5768.502648226015,8527900
2018-01-15,5713.564453125,5768.502572866586,5695.251746544471,5750.189866286058,2802200
2018-01-16,5786.8154296875,5786.8154296875,5695.251894407635,5713.564601463608,15046200
2018-01-17,5823.4404296875,5841.753135441234,5768.502312426297,5786.815018180031,13872400
2018-01-18,5786.8154296875,5841.753550855419,5768.502722631527,5786.8154296875,7602900
2018-01-19,5805.1279296875,5805.1279296875,5750.189810479101,5805.1279296875,6292200
2018-01-22,5915.00439453125,5933.3171016350625,5805.128151908379,5805.128151908379,19058300
2018-01-23,5951.6298828125,5951.6298828125,5860.066346153846,5915.004468149038,14253300
2018-01-24,5915.00439453125,5951.629808738874,5878.378980323627,5878.378980323627,7079200
2018-01-25,5860.06640625,5933.317236328125,5786.815576171874,5915.004528808593,7476600
2018-01-26,5915.00439453125,5915.00439453125,5841.753566116003,5860.066273219814,3990400
2018-01-29,5915.00439453125,5933.3171016350625,5841.753566116003,5933.3171016350625,6652900
2018-01-30,5713.564453125,5951.629638671875,5713.564453125,5951.629638671875,11507100
2018-01-31,5676.939453125,5768.502992691533,5640.314037298387,5713.564868951613,11965100
2018-02-01,5640.314453125,5786.816127232143,5640.314453125,5676.939871651785,10204300
2018-02-02,5695.251953125,5768.502782104099,5676.939245880225,5713.564660369775,4592300
2018-02-05,5713.564453125,5768.502572866586,5548.75009390024,5567.062800480769,5115700
2018-02-06,5603.68896484375,5695.252510020935,5603.68896484375,5640.314382914624,16499000
2018-02-07,5805.1279296875,5805.1279296875,5640.313572062302,5713.564397673501,9916400
2018-02-08,5750.18994140625,5786.81535504578,5731.8772345864845,5786.81535504578,6543200
2018-02-09,5676.939453125,5768.502992691533,5658.626745211694,5676.939453125,8919100
2018-02-12,5695.251953125,5731.87736761455,5676.939245880225,5695.251953125,3646800
2018-02-13,5676.939453125,5731.87757686492,5658.626745211694,5658.626745211694,10107000
2018-02-14,5731.876953125,5750.189659045527,5676.938835363419,5676.938835363419,3861800
2018-02-15,5713.564453125,5750.189866286058,5713.564453125,5750.189866286058,4137500
2018-02-16,5713.564453125,5713.564453125,5713.564453125,5713.564453125,0
2018-02-19,5750.18994140625,5768.502648226015,5695.2518209469545,5750.18994140625,4795300
2018-02-20,5676.939453125,5768.502992691533,5658.626745211694,5713.564868951613,3427900
2018-02-21,5585.375,5695.251229508197,5585.375,5676.938524590164,10740300
2018-02-22,5640.314453125,5676.939871651785,5585.376325334822,5603.689034598214,6050200
2018-02-23,5585.375,5695.251229508197,5585.375,5658.625819672131,6811800
2018-02-26,5530.43798828125,5622.001531133588,5530.43798828125,5603.688822563121,7874900
2018-02-27,5548.75048828125,5622.001319809715,5530.437780399134,5585.3759040454825,7910600
2018-02-28,5548.75048828125,5603.688611927599,5530.437780399134,5530.437780399134,10388200
2018-03-01,5695.251953125,5713.564660369775,5530.437587922026,5548.750295166801,8506100
2018-03-02,5640.314453125,5695.252580915178,5622.001743861607,5676.939871651785,6042200
2018-03-05,5567.06298828125,5640.313817074424,5548.7502810829565,5640.313817074424,13235400
2018-03-06,5457.1865234375,5567.06276216443,5457.1865234375,5567.06276216443,11197500
2018-03-07,5328.99755859375,5457.18650330219,5310.684852206829,5457.18650330219,9955000
2018-03-08,5365.623046875,5493.811993387372,5347.310340230376,5347.310340230376,9359200
2018-03-09,5457.1865234375,5493.811936346477,5402.2484040740355,5457.1865234375,3127000
2018-03-12,5530.43798828125,5567.0634054221855,5493.8125711403145,5512.125279710782,6550500
2018-03-13,5493.8125,5548.750625,5475.499791666666,5530.437916666667,7593700
2018-03-14,5365.623046875,5567.06281996587,5365.623046875,5567.06281996587,3518500
2018-03-15,5255.7470703125,5438.874145933144,5237.434362750435,5438.874145933144,7585400
2018-03-16,5237.43359375,5365.622527862762,5182.495479130244,5255.746298623251,14475200
2018-03-19,5274.06005859375,5383.936309814453,5237.434641520182,5237.434641520182,3136100
2018-03-20,5127.5576171875,5328.997380719867,5127.5576171875,5274.059263392857,5952200
2018-03-21,5328.99755859375,5383.93567775451,5127.557788337629,5127.557788337629,7725200
2018-03-22,5237.43359375,5420.560642482517,5237.43359375,5365.622527862762,5782000
2018-03-23,5237.43359375,5402.247937609266,5164.182774256993,5237.43359375,8574000
2018-03-26,5274.06005859375,5292.372767130533,5219.121932983398,5237.434641520182,3789000
2018-03-27,5237.43359375,5383.935232736014,5164.182774256993,5310.684413243007,8866500
2018-03-28,5219.12158203125,5237.434289336623,5109.2453381990135,5219.12158203125,7495400
2018-03-29,5274.06005859375,5274.06005859375,5145.871098836263,5219.121932983398,8823500
2018-03-30,5274.06005859375,5274.06005859375,5274.06005859375,5274.06005859375,0
2018-04-02,5383.9365234375,5383.9365234375,5237.434849330357,5310.685686383928,2889600
2018-04-03,5237.43359375,5383.935232736014,5219.120888876748,5383.935232736014,6528100
2018-04-04,5274.06005859375,5347.310892740885,5182.49651590983,5292.372767130533,5165100
2018-04-05,5219.12158203125,5292.372411252742,5219.12158203125,5274.059703947369,2348600
2018-04-06,5200.80810546875,5274.058923855633,5200.80810546875,5237.433514662192,3894200
2018-04-09,5255.7470703125,5292.372485436628,5182.496240064242,5182.496240064242,6902600
2018-04-10,5310.68505859375,5328.997765692349,5219.1215231007545,5219.1215231007545,11617900
2018-04-11,5292.3720703125,5347.3101886894465,5237.4339519355535,5347.3101886894465,9453000
2018-04-12,5219.12158203125,5292.372411252742,5164.183460115132,5292.372411252742,10132200
2018-04-13,5182.49658203125,5255.747417112964,5164.183873260822,5237.4347083425355,7042900
2018-04-16,5164.18310546875,5200.808517564274,5145.870399420989,5164.18310546875,5150100
2018-04-17,5200.80810546875,5219.12081006547,5164.1826962753075,5182.495400872029,12172100
2018-04-18,5164.18310546875,5237.433929659796,5145.870399420989,5219.121223612035,8005200
2018-04-19,5237.43359375,5237.43359375,5164.182774256993,5164.182774256993,3752100
2018-04-20,5200.80810546875,5237.433514662192,5164.1826962753075,5237.433514662192,6606500
2018-04-23,5127.5576171875,5200.808440290179,5109.244911411831,5164.183028738839,8442300
2018-04-24,5054.306640625,5164.182871942935,5054.306640625,5164.182871942935,4391400
2018-04-25,5035.994140625,5090.932258522727,4981.056022727273,5054.306846590909,4629800
2018-04-26,4944.4306640625,5035.994194878473,4816.241720920139,4981.056076388889,10318400
2018-04-27,4962.74365234375,5035.994481160632,4889.492823526868,4962.74365234375,4395000
2018-04-30,5109.24609375,5109.24609375,4962.744413642474,4962.744413642474,9476200
2018-05-01,5109.24609375,5109.24609375,5109.24609375,5109.24609375,0
