Date,Close,High,Low,Open,Volume
2018-01-01,61337.11328125,61337.11328124999,61337.11328124999,61337.11328124999,0
2018-01-02,59653.64453125,63093.79335697853,59653.64453125,61629.90023964724,902200
2018-01-03,59543.85546875,60641.775360613865,58555.72756607253,59726.84211739398,563500
2018-01-04,61483.5,61483.5,59653.63392857143,59690.23125,455000
2018-01-05,62050.76171875,62050.76171874999,61080.93265030596,61483.50320701858,516000
2018-01-08,62069.06640625,62178.858386921434,61520.106502892835,62178.858386921434,409200
2018-01-09,59726.83984375,62069.0688572304,59726.83984375,62069.0688572304,972600
2018-01-10,60751.5625,60751.5625,59800.03200301204,60220.90126129518,440400
2018-01-11,60660.06640625,60751.55971907994,60129.40519183635,60751.55971907994,346500
2018-01-12,60788.16015625,60897.95213726671,60403.88822269153,60897.95213726671,689700
2018-01-15,60019.62109375,60843.0610172923,59946.42643387957,60385.59439310213,329200
2018-01-16,61483.5,61538.39598214286,60348.983035714286,60586.865625,557600
2018-01-17,60568.5703125,61483.503398791545,60092.8051076284,61300.51678153324,626200
2018-01-18,61190.7265625,61337.115860496415,60458.78007251795,60714.96134401167,429000
2018-01-19,61501.80859375,61501.80859375,60440.48610090932,61337.120620723,479200
2018-01-22,62215.453125,62215.453125,60751.56011029412,61483.50661764706,1155900
2018-01-23,62361.83984375,63240.175616197186,60550.27231307769,62288.64519604607,1462100
2018-01-24,62416.734375,62636.31831299472,61300.51602352682,62435.03303649956,566000
2018-01-25,61849.48046875,62508.23233173077,61465.20854867788,62489.93366887019,524700
2018-01-26,61666.48828125,61831.17623214948,61190.723089762614,61831.17623214948,502700
2018-01-29,60166.00390625,61831.18223820522,60019.614602341855,61666.49427130855,1008900
2018-01-30,58592.31640625,60623.46791190076,58592.31640624999,60166.001356574016,903100
2018-01-31,59324.26171875,60019.61086906231,58555.7179210364,58592.315244737045,1072600
2018-02-01,59873.21875,60202.59464776895,59324.25892038509,59324.25892038509,604100
2018-02-02,59653.64453125,60367.292425949,58921.697972584356,60202.60445024924,557200
2018-02-05,59800.0234375,59836.620759065176,58848.49307680538,58921.68771993574,327700
2018-02-06,60458.77734375,60458.77734375,58482.52190999546,58555.71655569007,1022600
2018-02-07,60934.54296875,61190.72423048048,60458.7777683934,60458.7777683934,886700
2018-02-08,60861.35546875,61080.939433159205,60751.563486545405,60934.55012355307,578700
2018-02-09,59434.05078125,60385.58115090055,58738.7016649669,60385.58115090055,1157500
2018-02-12,58226.34375,59946.418015399126,57604.189228472664,59617.04209223759,1363500
2018-02-13,58555.71484375,59232.76529663086,58482.520200195315,58702.10413085938,756700
2018-02-14,58555.71484375,58885.09073974609,57933.560373535154,58702.10413085938,558800
2018-02-15,59013.18359375,59013.18359375,58226.341145833336,58555.717054263565,269600
2018-02-16,59013.18359375,59013.18359375,59013.18359375,59013.18359375,0
2018-02-19,59964.72265625,59964.72265625,58994.89345247177,59013.192116694,536400
2018-02-20,59287.6640625,60019.61053240741,58939.989489293985,60019.61053240741,371200
2018-02-21,58628.9140625,59305.96456821551,58592.31673786673,59287.66590589887,843400
2018-02-22,58299.54296875,59177.87883268597,58262.94564108601,58628.91891772599,470200
2018-02-23,59580.4453125,59726.83461302212,58665.512184236795,58848.49880988944,592300
2018-02-26,57878.671875,59726.836863736964,57842.07454849036,59617.04488420804,674300
2018-02-27,58372.73046875,58372.73046875,57878.66660584835,58061.653221737855,521200
2018-02-28,58372.73046875,58372.73046875,57823.77062108151,58372.73046875,786800
2018-03-01,58427.62890625,58738.70616632086,58098.252983822036,58262.94094503602,430800
2018-03-02,58555.71484375,58848.49341796875,58043.35233886719,58061.65099975586,770100
2018-03-05,57970.1640625,58811.90255583175,57933.56673670296,58098.254702789614,513700
2018-03-06,58372.73046875,58555.7170846395,57915.26392902625,58555.7170846395,461600
2018-03-07,56579.46875,58372.737811287196,55920.716849935314,58299.54315572445,928100
2018-03-08,58519.12109375,58702.107713805504,56872.241513250476,56872.241513250476,701500
2018-03-09,57311.41015625,58519.12186452346,56359.87971942848,58519.12186452346,638700
2018-03-12,56451.37109375,57732.27740706037,55920.70990680713,57311.408189829825,1841100
2018-03-13,54090.84765625,56652.66046811569,53871.263700947224,56652.66046811569,1580100
2018-03-14,53066.125,54164.04482758621,52718.450387931036,54090.85017241379,1177500
2018-03-15,54603.2109375,54895.989548424935,53066.123230144105,53066.123230144105,1480500
2018-03-16,55042.3828125,55042.3828125,54164.04691655585,54895.99349650931,1020400
2018-03-19,54895.98828125,55261.96153645834,54603.20967708334,55225.3642109375,327600
2018-03-20,54511.71875,54694.705385615984,54292.13478726083,54603.212067807995,382900
2018-03-21,54859.3984375,55225.371742620075,54749.606445963975,54749.606445963975,738300
2018-03-22,53322.30078125,55463.2442237367,53139.31416223404,55261.95894281915,669200
2018-03-23,51968.19921875,52700.14568661972,51638.82330820862,52334.172452684856,991300
2018-03-26,51455.84375,52041.40100462305,50998.37714482575,51968.20634779516,2009700
2018-03-27,51748.62109375,52535.46363513305,51236.25850866337,51419.24514619431,1029700
2018-03-28,51895.0078125,52297.5783949665,51016.67199620945,51565.63188139104,2603500
2018-03-29,53047.8203125,53358.89756165919,52187.783211883405,52407.367152466366,1226800
2018-03-30,53047.8203125,53047.8203125,53047.8203125,53047.8203125,0
2018-04-02,53724.875,53798.06965258855,52700.14986376021,53121.01911614441,464700
2018-04-03,53871.26171875,53889.56038101859,52919.731280782944,53432.093824303665,691600
2018-04-04,52700.14453125,54694.698612467444,52700.14453125,53907.85617675781,673500
2018-04-05,53541.88671875,53798.067994916266,53175.913467083905,53432.09474325017,349100
2018-04-06,54090.84765625,54456.820915087956,53578.48509387686,54456.820915087956,526400
2018-04-09,54310.4296875,54895.98688089623,53798.067143278306,54090.845739976416,550000
2018-04-10,56725.85546875,56725.85546875,54639.80788054436,54676.40520665323,1531200
2018-04-11,56725.85546875,57750.58059979839,55902.415631300406,56725.85546875,1137000
2018-04-12,56103.69921875,56725.85374368069,54969.18214387639,56725.85374368069,996000
2018-04-13,55627.9375,56561.1693462171,55481.54819078947,56103.70275493421,929200
2018-04-16,55627.9375,55627.9375,55627.9375,55627.9375,0
2018-04-17,55627.9375,55627.9375,55627.9375,55627.9375,0
2018-04-18,56268.38671875,56268.38671875,54895.98704268293,54895.98704268293,412600
2018-04-19,56268.38671875,56268.38671875,56268.38671875,56268.38671875,0
2018-04-20,56268.38671875,56268.38671875,56268.38671875,56268.38671875,0
2018-04-23,54218.9375,55280.25993503206,54218.9375,55261.96127235909,805600
2018-04-24,53066.125,54292.13547413793,53066.125,54218.940818965515,721300
2018-04-25,53066.125,53066.125,53066.125,53066.125,0
2018-04-26,53066.125,53066.125,53066.125,53066.125,0
2018-04-27,53066.125,53066.125,53066.125,53066.125,0
2018-04-30,50742.1953125,51455.8432090696,49772.36611972593,49772.36611972593,610500
2018-05-01,50742.1953125,50742.1953125,50742.1953125,50742.1953125,0
2018-05-02,51199.66015625,51309.45213657077,51053.27084915565,51236.25748302359,655000
2018-05-03,50486.0078125,51016.66900371512,50211.527886009426,50870.27970958681,647200
2018-05-04,49186.8046875,50211.52978515625,48912.32475062779,50138.335135323665,855100
2018-05-07,51236.25390625,51236.25390625,49186.80375,49186.80375,628100
2018-05-08,49625.9765625,51236.25898783186,49479.5872511062,51236.25898783186,537800
2018-05-09,51236.25390625,52700.146875,49534.47833007813,50083.438193359376,1364400
2018-05-10,51236.25390625,51236.25390625,51236.25390625,51236.25390625,0
2018-05-11,51382.6484375,51986.50434862446,51236.25912571225,51968.205684650995,1226800
2018-05-14,50833.68359375,51199.65683776548,49808.95851050666,51199.65683776548,559100
2018-05-15,49900.453125,50833.68492161716,49772.362486248625,50742.19160822332,802200
2018-05-16,50504.3046875,50577.499331974635,49058.710459125905,49186.801086956526,499100
2018-05-17,49845.55078125,51163.054326128855,49845.55078125,50851.97710025468,488100
2018-05-18,49205.10546875,50650.69986519153,49205.10546875,50083.44130456257,504900
2018-05-21,48711.03515625,49735.76016329358,48711.03515625,49205.098998931724,243200
2018-05-22,48839.12890625,49955.34728889565,48820.83024423941,48820.83024423941,476400
2018-05-23,49827.2578125,49991.9457744216,48692.74074148458,48747.636728791775,692000
2018-05-24,50339.625,50486.014312977095,49827.26240458015,49827.26240458015,794800
2018-05-25,50431.11328125,50650.697228773584,49625.97214033019,50650.697228773584,789800
2018-05-28,50851.98046875,51126.46039211497,49808.95675996312,50138.33266800108,683300
2018-05-29,50851.98046875,50851.98046875,50851.98046875,50851.98046875,0
2018-05-30,50046.84375,50540.90765539305,49845.55845521024,50540.90765539305,1199900
2018-05-31,50138.3359375,50504.309192518245,49863.855996236314,50504.309192518245,2307300
2018-06-01,50138.3359375,50138.3359375,50138.3359375,50138.3359375,0
2018-06-04,50138.3359375,51382.645004562044,50120.03727474909,50138.3359375,1439300
2018-06-05,50577.50390625,50650.698557344425,50120.03733690982,50120.03733690982,1137200
2018-06-06,49937.046875,51272.84915491022,49937.046875,50504.30537742763,990500
2018-06-07,51291.15234375,51821.81357028184,50010.24593488003,50870.283095121296,1301400
2018-06-08,51419.23828125,52334.171346752664,50284.721280026686,51291.14765207962,2251100
2018-06-11,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-12,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-13,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-14,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-15,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-18,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-19,51419.23828125,51419.23828125,51419.23828125,51419.23828125,0
2018-06-20,50486.0078125,52260.97800380573,49223.400150643356,51419.239562567964,2300800
2018-06-21,49442.98046875,51236.249190414506,49351.48716662426,50943.47062361214,859200
2018-06-22,48692.73828125,49552.775372275464,48674.43961973883,49205.100803563044,657200
2018-06-25,52517.16015625,52700.14677700349,48674.441120426825,49040.4143619338,1463600
2018-06-26,51510.73046875,53358.89522091474,51510.73046875,51968.196991563054,1678700
2018-06-27,50357.921875,51181.36173124092,50357.921875,50650.70049055233,759300
2018-06-28,49003.8203125,50028.545457197535,48985.52164920183,49772.36417102315,1024000
2018-06-29,49223.40234375,49772.36222118959,48399.962527590615,48454.85851533457,1049500
2018-07-02,50504.3046875,51400.93908231431,49497.87832597373,49497.87832597373,822500
2018-07-03,50486.0078125,51144.75963607739,49625.9707094962,50540.90379779812,757600
2018-07-04,52824.91015625,53224.23453108127,50847.30372851422,51075.48908556066,800100
2018-07-05,52501.64453125,52748.84532042285,51931.18117162034,52748.84532042285,364500
2018-07-06,52064.2890625,52748.84509107925,51569.88748630387,52748.84509107925,329800
2018-07-09,53243.25,53623.55892857143,51722.014285714286,51722.014285714286,1043900
2018-07-10,53984.85546875,54498.27255140454,53357.34570106111,53718.63920366986,650100
2018-07-11,53680.60546875,53680.60546875,53072.111180758504,53091.126627258236,361400
2018-07-12,52862.9375,53984.84876348921,52862.9375,53623.5553057554,517900
2018-07-13,53604.54296875,53604.54296875001,52862.94056513835,52862.94056513835,414100
2018-07-16,52102.32421875,53585.52906877281,51893.1543040032,53585.52906877281,593700
2018-07-17,52482.62890625,52938.9995923913,52102.32000113225,52102.32000113225,498200
2018-07-18,53243.25,53243.25,52786.87928571428,53072.110982142854,295300
2018-07-19,52691.796875,53547.491880187656,52026.2563154096,53243.24476723205,522800
2018-07-20,54003.8671875,54003.8671875,52691.80140019806,52939.00220070423,823500
2018-07-23,54270.08203125,54650.39094527418,53718.63410591494,54003.865791433076,304000
2018-07-24,54270.08203125,54688.42183667659,53851.74222582341,54612.36005387176,372800
2018-07-25,53661.58984375,54574.3312727011,53661.58984375001,54555.315826264625,299300
2018-07-26,53661.58984375,54003.86787960667,53395.37359363927,53927.80609386074,511500
2018-07-27,55182.8203125,55468.05198193056,53167.18318185734,53471.43029591661,700900
2018-07-30,56589.96484375,56589.96484375,55182.821900726645,55182.821900726645,1314200
2018-07-31,57160.4375,57787.94729291417,55639.20163838989,56589.974051896206,1889400
2018-08-01,57046.33984375,58225.297533854166,57046.33984375,57426.64877604167,1397800
2018-08-02,56780.1171875,57046.33341008037,55981.46851975887,57046.33341008037,623400
2018-08-03,57046.33984375,57426.64877604167,56361.783765625005,56666.030911458336,763500
2018-08-06,56570.953125,57540.74089285714,56570.953125,57293.540089285714,509600
2018-08-07,57806.95703125,57940.06515599301,56513.90667660362,56513.90667660362,413300
2018-08-08,58567.56640625,58890.82894810267,57426.63978794643,57844.97954799107,998400
2018-08-09,57806.95703125,58871.82202919408,57749.91069207443,57921.04970960115,595400
2018-08-10,58567.56640625,58662.64362444196,57654.82511160714,58567.56640625,859100
2018-08-13,57046.33984375,58567.57557291667,56856.18537760417,58567.57557291667,782200
2018-08-14,55905.4140625,57426.64981930272,54574.33277529762,56894.21730442177,1248800
2018-08-15,54612.36328125,56285.7226018454,53699.621833652505,54764.48685584958,814900
2018-08-16,54460.23828125,55125.77890270382,53813.713106123425,54384.17649594099,415600
2018-08-17,54460.23828125,54460.23828125,54460.23828125,54460.23828125,0
2018-08-20,55734.26953125,56704.0572303608,54688.42005181679,54764.4818321392,1409300
2018-08-21,56685.046875,56837.17044930392,55867.3826631164,56209.66070530023,1255500
2018-08-22,56685.046875,56685.04687499999,56685.04687499999,56685.04687499999,0
2018-08-23,57445.66796875,57616.80699944141,56647.019158856754,56818.158189548165,1002200
2018-08-24,56285.71875,57445.66092694257,55905.40983952703,57445.66092694257,445200
2018-08-27,55905.4140625,56704.06283482143,54935.62626753826,56361.78478954081,713000
2018-08-28,56399.8125,56666.02874241402,55905.41090694538,56152.611703472685,1099200
