date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ICBP.JK,0.0,0.0,0.0
2018-01-02,ICBP.JK,2932895180.15,1455557944.9,1477337235.25
2018-01-03,ICBP.JK,1910302492.99,2258047305.35,-347744812.36
2018-01-04,ICBP.JK,2569524614.75,1996516237.61,573008377.14
2018-01-05,ICBP.JK,3485509380.29,2165552762.52,1319956617.77
2018-01-08,ICBP.JK,7035612598.77,16271772638.48,-9236160039.72
2018-01-09,ICBP.JK,7106494879.04,11732359630.9,-4625864751.86
2018-01-10,ICBP.JK,27226855098.26,42574387090.2,-15347531991.93
2018-01-11,ICBP.JK,11685361903.93,12979363035.21,-1294001131.28
2018-01-12,ICBP.JK,4396781176.55,2496618542.56,1900162633.99
2018-01-15,ICBP.JK,6054118732.66,4802905755.27,1251212977.38
2018-01-16,ICBP.JK,13480066361.16,16581639132.96,-3101572771.81
2018-01-17,ICBP.JK,12910556806.03,12358109995.84,552446810.19
2018-01-18,ICBP.JK,6131613273.62,5427737429.5,703875844.12
2018-01-19,ICBP.JK,17326060431.63,28040968694.35,-10714908262.72
2018-01-22,ICBP.JK,16577160510.29,14877380576.11,1699779934.18
2018-01-23,ICBP.JK,12876169639.25,8338873922.9,4537295716.35
2018-01-24,ICBP.JK,6211020869.54,6358152592.37,-147131722.83
2018-01-25,ICBP.JK,5768629263.07,6002216011.54,-233586748.47
2018-01-26,ICBP.JK,1962963688.4,1736947720.2,226015968.19
2018-01-29,ICBP.JK,4027745509.06,3671294070.88,356451438.18
2018-01-30,ICBP.JK,5225386459.88,10540290846.67,-5314904386.8
2018-01-31,ICBP.JK,3976741551.66,3020165415.63,956576136.03
2018-02-01,ICBP.JK,1868545548.18,1774966002.91,93579545.27
2018-02-02,ICBP.JK,4692713352.07,2972146293.63,1720567058.45
2018-02-05,ICBP.JK,2054179706.37,2687187777.26,-633008070.89
2018-02-06,ICBP.JK,10708584449.92,9336028191.53,1372556258.38
