date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,MIKA.JK,0.0,0.0,0.0
2018-01-02,MIKA.JK,571472033.07,916480705.36,-345008672.28
2018-01-03,MIKA.JK,490575322.42,1110986938.99,-620411616.57
2018-01-04,MIKA.JK,1032743779.23,872875428.57,159868350.66
2018-01-05,MIKA.JK,477294731.29,473453820.44,3840910.85
2018-01-08,MIKA.JK,1240875459.12,1075400489.18,165474969.94
2018-01-09,MIKA.JK,1183546153.97,703454473.04,480091680.93
2018-01-10,MIKA.JK,3495906420.57,1330246643.53,2165659777.04
2018-01-11,MIKA.JK,283374846.32,397058396.94,-113683550.62
2018-01-12,MIKA.JK,537725452.32,628878373.04,-91152920.72
2018-01-15,MIKA.JK,1359605703.82,1397846327.6,-38240623.78
2018-01-16,MIKA.JK,7908976006.42,1612922105.42,6296053900.99
2018-01-17,MIKA.JK,2382062826.45,2160395033.13,221667793.32
2018-01-18,MIKA.JK,1273680648.09,1122997725.04,150682923.05
2018-01-19,MIKA.JK,1139635848.9,1174863854.32,-35228005.42
2018-01-22,MIKA.JK,1317512304.95,1540957300.28,-223444995.33
2018-01-23,MIKA.JK,4204258911.87,3347223623.46,857035288.42
2018-01-24,MIKA.JK,2475149009.37,2707546433.15,-232397423.78
2018-01-25,MIKA.JK,1148622539.83,969852575.15,178769964.68
2018-01-26,MIKA.JK,1489728929.56,1722318643.24,-232589713.69
2018-01-29,MIKA.JK,2667967239.62,3075483408.58,-407516168.95
2018-01-30,MIKA.JK,1671635212.18,1709909541.6,-38274329.42
2018-01-31,MIKA.JK,3125677756.39,2873885944.69,251791811.69
2018-02-01,MIKA.JK,1906962476.17,1645921259.28,261041216.88
2018-02-02,MIKA.JK,1549561961.23,939080084.51,610481876.72
2018-02-05,MIKA.JK,1565709912.52,1533198204.96,32511707.56
2018-02-06,MIKA.JK,2317250637.03,2408084832.79,-90834195.76
2018-02-07,MIKA.JK,354587920.91,470289297.75,-115701376.83
2018-02-08,MIKA.JK,619594569.74,803861135.24,-184266565.5
2018-02-09,MIKA.JK,1274456738.23,1504598659.34,-230141921.11
2018-02-12,MIKA.JK,1911368926.12,1068663657.71,842705268.42
2018-02-13,MIKA.JK,1864400353.79,1428853526.97,435546826.82
2018-02-14,MIKA.JK,6757947137.87,1404821827.07,5353125310.8
2018-02-15,MIKA.JK,1332171074.7,972843259.54,359327815.16
2018-02-16,MIKA.JK,0.0,0.0,0.0
2018-02-19,MIKA.JK,2004166138.97,1866452341.15,137713797.82
2018-02-20,MIKA.JK,1900959960.47,1752050174.43,148909786.04
2018-02-21,MIKA.JK,736891524.02,1490040616.86,-753149092.84
2018-02-22,MIKA.JK,1213853712.44,1694101773.01,-480248060.57
2018-02-23,MIKA.JK,1051483531.66,567168977.36,484314554.3
2018-02-26,MIKA.JK,2796357618.63,1022343584.22,1774014034.41
2018-02-27,MIKA.JK,2688038049.34,1941394568.93,746643480.41
2018-02-28,MIKA.JK,801967687.36,799235628.09,2732059.27
2018-03-01,MIKA.JK,2795361109.03,3420429431.43,-625068322.4
2018-03-02,MIKA.JK,1613575773.51,2720108986.53,-1106533213.01
2018-03-05,MIKA.JK,2429780657.41,1673981283.35,755799374.06
2018-03-06,MIKA.JK,995715611.31,1187611743.52,-191896132.22
2018-03-07,MIKA.JK,5343292128.47,4762307270.64,580984857.83
2018-03-08,MIKA.JK,3499763091.82,1525614058.32,1974149033.49
2018-03-09,MIKA.JK,2990249977.36,2060833516.84,929416460.52
2018-03-12,MIKA.JK,3109732907.69,2492221102.1,617511805.59
2018-03-13,MIKA.JK,989738712.03,1528427526.33,-538688814.3
2018-03-14,MIKA.JK,776636002.03,2067176766.65,-1290540764.63
2018-03-15,MIKA.JK,530129673.51,871836023.72,-341706350.21
2018-03-16,MIKA.JK,871780279.41,1094138163.84,-222357884.43
2018-03-19,MIKA.JK,2293474183.17,695606865.48,1597867317.69
2018-03-20,MIKA.JK,504871300.19,1692877818.32,-1188006518.13
2018-03-21,MIKA.JK,1483169822.71,778299911.21,704869911.5
2018-03-22,MIKA.JK,873443243.15,827946366.37,45496876.78
2018-03-23,MIKA.JK,1576494337.91,340015672.16,1236478665.75
2018-03-26,MIKA.JK,626774978.27,1989647244.42,-1362872266.15
2018-03-27,MIKA.JK,997947102.65,937818489.67,60128612.98
2018-03-28,MIKA.JK,618718038.47,1066815709.37,-448097670.89
2018-03-29,MIKA.JK,250938623.21,416639203.58,-165700580.37
2018-03-30,MIKA.JK,0.0,0.0,0.0
2018-04-02,MIKA.JK,746382417.46,700616370.22,45766047.24
2018-04-03,MIKA.JK,516162072.53,720777976.74,-204615904.21
2018-04-04,MIKA.JK,1290257362.71,1569496629.52,-279239266.81
2018-04-05,MIKA.JK,1249745808.24,1419016310.61,-169270502.37
2018-04-06,MIKA.JK,735211817.14,669056159.29,66155657.86
2018-04-09,MIKA.JK,2383769026.69,849948040.74,1533820985.96
2018-04-10,MIKA.JK,1504135016.57,2273495682.62,-769360666.05
2018-04-11,MIKA.JK,647650694.66,585152910.15,62497784.52
2018-04-12,MIKA.JK,2668959229.96,3294759706.73,-625800476.77
2018-04-13,MIKA.JK,1113607298.17,1156369716.51,-42762418.34
2018-04-16,MIKA.JK,0.0,0.0,0.0
2018-04-17,MIKA.JK,0.0,0.0,0.0
2018-04-18,MIKA.JK,1007485837.1,9227905983.8,-8220420146.7
2018-04-19,MIKA.JK,0.0,0.0,0.0
2018-04-20,MIKA.JK,0.0,0.0,0.0
2018-04-23,MIKA.JK,3495950781.52,2635800699.86,860150081.66
2018-04-24,MIKA.JK,2693091983.97,2822887196.81,-129795212.84
2018-04-25,MIKA.JK,0.0,0.0,0.0
2018-04-26,MIKA.JK,0.0,0.0,0.0
2018-04-27,MIKA.JK,0.0,0.0,0.0
2018-04-30,MIKA.JK,3301574578.43,3020574301.22,281000277.21
2018-05-01,MIKA.JK,0.0,0.0,0.0
2018-05-02,MIKA.JK,2496407347.14,2966761348.25,-470354001.11
2018-05-03,MIKA.JK,1655118179.12,3412431633.64,-1757313454.53
2018-05-04,MIKA.JK,461477270.03,1837833179.94,-1376355909.9
2018-05-07,MIKA.JK,198365813.19,181505496.79,16860316.4
2018-05-08,MIKA.JK,590499789.75,519764794.17,70734995.58
2018-05-09,MIKA.JK,2040234040.92,1841555176.89,198678864.03
2018-05-10,MIKA.JK,0.0,0.0,0.0
2018-05-11,MIKA.JK,2143680541.01,1912309458.91,231371082.1
2018-05-14,MIKA.JK,1014429780.21,1501325094.06,-486895313.85
2018-05-15,MIKA.JK,872192120.03,910044931.56,-37852811.53
2018-05-16,MIKA.JK,650910382.48,743058543.31,-92148160.83
2018-05-17,MIKA.JK,705434865.93,829628340.21,-124193474.28
2018-05-18,MIKA.JK,1279952538.86,1492120677.64,-212168138.78
2018-05-21,MIKA.JK,1338128261.13,972945294.93,365182966.2
2018-05-22,MIKA.JK,1339010405.73,2185441948.73,-846431542.99
2018-05-23,MIKA.JK,1600706739.18,1690984117.23,-90277378.05
2018-05-24,MIKA.JK,1221844100.61,995910161.18,225933939.43
2018-05-25,MIKA.JK,2431284459.88,1326534717.41,1104749742.47
2018-05-28,MIKA.JK,1111074138.72,283885366.96,827188771.75
2018-05-29,MIKA.JK,0.0,0.0,0.0
2018-05-30,MIKA.JK,742081712.45,2195786704.43,-1453704991.97
2018-05-31,MIKA.JK,385039247.07,510140199.05,-125100951.98
2018-06-01,MIKA.JK,0.0,0.0,0.0
2018-06-04,MIKA.JK,2811572834.28,1562564505.37,1249008328.9
2018-06-05,MIKA.JK,3846426812.88,465481724.47,3380945088.41
2018-06-06,MIKA.JK,1079266031.79,1785345499.03,-706079467.24
2018-06-07,MIKA.JK,2544818749.98,2354388421.65,190430328.33
2018-06-08,MIKA.JK,1204962663.83,1386947051.65,-181984387.82
2018-06-11,MIKA.JK,0.0,0.0,0.0
2018-06-12,MIKA.JK,0.0,0.0,0.0
2018-06-13,MIKA.JK,0.0,0.0,0.0
2018-06-14,MIKA.JK,0.0,0.0,0.0
2018-06-15,MIKA.JK,0.0,0.0,0.0
