date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ASII.JK,0.0,0.0,0.0
2018-01-02,ASII.JK,19771276615.27,28522316487.19,-8751039871.92
2018-01-03,ASII.JK,23269344107.13,44359245601.58,-21089901494.46
2018-01-04,ASII.JK,31758540093.87,16089008624.57,15669531469.3
2018-01-05,ASII.JK,21343157848.97,16207993759.71,5135164089.26
2018-01-08,ASII.JK,14854426381.57,14874870125.84,-20443744.27
2018-01-09,ASII.JK,10734976974.41,18088304731.08,-7353327756.67
2018-01-10,ASII.JK,20652695146.38,13049838777.21,7602856369.17
2018-01-11,ASII.JK,18654247525.68,19698969358.99,-1044721833.3
2018-01-12,ASII.JK,13703906752.51,16341474237.6,-2637567485.09
2018-01-15,ASII.JK,7873362371.17,8794140633.31,-920778262.14
2018-01-16,ASII.JK,25555788197.8,19730992216.74,5824795981.06
2018-01-17,ASII.JK,38626855293.06,46521927133.09,-7895071840.03
2018-01-18,ASII.JK,37405592175.99,23987702972.21,13417889203.78
2018-01-19,ASII.JK,14144629055.92,10863471741.5,3281157314.42
2018-01-22,ASII.JK,19674265147.17,25660352286.57,-5986087139.4
2018-01-23,ASII.JK,47695597920.57,22495070900.66,25200527019.91
2018-01-24,ASII.JK,45501483966.05,19622323931.87,25879160034.18
2018-01-25,ASII.JK,26672718391.24,30467776229.47,-3795057838.23
2018-01-26,ASII.JK,9646154198.77,11706873833.83,-2060719635.06
2018-01-29,ASII.JK,12854001589.58,12197380051.23,656621538.35
2018-01-30,ASII.JK,4647973828.21,8760228986.93,-4112255158.72
2018-01-31,ASII.JK,29806059355.68,20654393766.66,9151665589.01
2018-02-01,ASII.JK,15484772375.23,10102924853.18,5381847522.05
2018-02-02,ASII.JK,13913275860.14,8331337210.88,5581938649.27
2018-02-05,ASII.JK,11914005592.03,20769384332.46,-8855378740.43
2018-02-06,ASII.JK,13209029339.88,23875325112.72,-10666295772.85
2018-02-07,ASII.JK,33228092760.59,28290044302.78,4938048457.82
2018-02-08,ASII.JK,9892166751.32,14310144211.21,-4417977459.89
2018-02-09,ASII.JK,23361477741.12,46918943612.03,-23557465870.91
2018-02-12,ASII.JK,6722566812.36,8170466675.07,-1447899862.71
2018-02-13,ASII.JK,19337441130.97,14420005423.78,4917435707.19
2018-02-14,ASII.JK,18556154615.09,12887355945.39,5668798669.69
2018-02-15,ASII.JK,5442354668.12,7417482049.33,-1975127381.21
2018-02-16,ASII.JK,0.0,0.0,0.0
2018-02-19,ASII.JK,20981303693.65,10869851641.27,10111452052.38
2018-02-20,ASII.JK,9989740753.75,15180894026.38,-5191153272.64
2018-02-21,ASII.JK,20911712254.3,35963119719.08,-15051407464.78
2018-02-22,ASII.JK,8813540566.34,15850787387.49,-7037246821.15
2018-02-23,ASII.JK,22368871554.16,11183679840.54,11185191713.62
2018-02-26,ASII.JK,7790502121.67,10059317008.98,-2268814887.3
2018-02-27,ASII.JK,13947506913.17,9221619164.5,4725887748.68
2018-02-28,ASII.JK,32285533203.59,45982911152.31,-13697377948.72
2018-03-01,ASII.JK,11103296427.38,11220921101.49,-117624674.11
2018-03-02,ASII.JK,9409728894.07,7665601446.41,1744127447.66
2018-03-05,ASII.JK,11092812121.25,10107259268.51,985552852.74
2018-03-06,ASII.JK,16074121422.81,22546606495.82,-6472485073.01
2018-03-07,ASII.JK,8040391214.88,19782884504.96,-11742493290.07
2018-03-08,ASII.JK,15445239125.84,14120171777.87,1325067347.97
2018-03-09,ASII.JK,13497271944.58,17190031606.35,-3692759661.77
2018-03-12,ASII.JK,14611140395.9,15368216374.06,-757075978.16
2018-03-13,ASII.JK,7783720451.86,10527687657.71,-2743967205.84
2018-03-14,ASII.JK,10639530413.78,15170087779.24,-4530557365.47
2018-03-15,ASII.JK,8506117389.73,16537976172.28,-8031858782.55
2018-03-16,ASII.JK,55065659533.15,59976453094.65,-4910793561.5
2018-03-19,ASII.JK,7213062455.62,14261520567.14,-7048458111.52
2018-03-20,ASII.JK,30170324990.38,25868268431.42,4302056558.96
2018-03-21,ASII.JK,19217169708.14,19194797873.3,22371834.84
2018-03-22,ASII.JK,32560375327.01,32946403538.53,-386028211.52
2018-03-23,ASII.JK,14907677068.53,18858497556.16,-3950820487.64
2018-03-26,ASII.JK,16660178896.27,21746163530.13,-5085984633.86
2018-03-27,ASII.JK,11061647772.11,9292379491.47,1769268280.64
2018-03-28,ASII.JK,5106621757.15,11793131326.21,-6686509569.06
2018-03-29,ASII.JK,46004868453.23,21305468461.15,24699399992.08
2018-03-30,ASII.JK,0.0,0.0,0.0
2018-04-02,ASII.JK,31001311310.0,12483049411.55,18518261898.45
2018-04-03,ASII.JK,18806253935.59,11175700415.47,7630553520.12
2018-04-04,ASII.JK,17156305788.11,23700487092.47,-6544181304.36
2018-04-05,ASII.JK,12873356918.56,12632277187.79,241079730.76
2018-04-06,ASII.JK,3431842496.48,4310603649.71,-878761153.23
2018-04-09,ASII.JK,6071529530.26,3014875993.83,3056653536.44
2018-04-10,ASII.JK,22142720083.6,14671681706.69,7471038376.91
2018-04-11,ASII.JK,12500326420.01,8181144366.9,4319182053.11
2018-04-12,ASII.JK,14990289400.97,33074501639.24,-18084212238.27
2018-04-13,ASII.JK,9238885572.43,18295717366.4,-9056831793.97
2018-04-16,ASII.JK,0.0,0.0,0.0
2018-04-17,ASII.JK,0.0,0.0,0.0
2018-04-18,ASII.JK,8090205619.02,8069764574.83,20441044.19
2018-04-19,ASII.JK,0.0,0.0,0.0
2018-04-20,ASII.JK,0.0,0.0,0.0
2018-04-23,ASII.JK,3368447962.58,4405588959.57,-1037140996.99
2018-04-24,ASII.JK,16160428600.64,31695077640.21,-15534649039.57
2018-04-25,ASII.JK,0.0,0.0,0.0
2018-04-26,ASII.JK,0.0,0.0,0.0
2018-04-27,ASII.JK,0.0,0.0,0.0
2018-04-30,ASII.JK,6441062768.17,12503414958.93,-6062352190.77
2018-05-01,ASII.JK,0.0,0.0,0.0
2018-05-02,ASII.JK,31297808560.44,11528626110.28,19769182450.16
2018-05-03,ASII.JK,8785353276.67,14127568406.12,-5342215129.45
2018-05-04,ASII.JK,14749839499.37,11153144919.91,3596694579.46
2018-05-07,ASII.JK,7426801384.56,16325226177.59,-8898424793.03
2018-05-08,ASII.JK,15750932866.22,32507616460.54,-16756683594.33
2018-05-09,ASII.JK,50881689098.63,20767939153.96,30113749944.67
2018-05-10,ASII.JK,0.0,0.0,0.0
2018-05-11,ASII.JK,14552334946.59,16548707532.74,-1996372586.14
2018-05-14,ASII.JK,20582893945.38,27195968622.66,-6613074677.29
2018-05-15,ASII.JK,17390003443.58,23906917977.51,-6516914533.93
2018-05-16,ASII.JK,12002804026.25,13472071656.77,-1469267630.52
2018-05-17,ASII.JK,4897232274.21,9270625214.49,-4373392940.28
2018-05-18,ASII.JK,6452854881.73,17215138811.05,-10762283929.32
2018-05-21,ASII.JK,7656635839.05,7901678413.32,-245042574.27
2018-05-22,ASII.JK,63518561327.19,11960845187.27,51557716139.92
2018-05-23,ASII.JK,41065553185.03,34353130708.97,6712422476.06
