date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,MNCN.JK,0.0,0.0,0.0
2018-01-02,MNCN.JK,1634628882.68,1233635215.92,400993666.76
2018-01-03,MNCN.JK,3241188471.06,2601430900.49,639757570.57
2018-01-04,MNCN.JK,14113011418.04,3297428115.65,10815583302.38
2018-01-05,MNCN.JK,5641221954.31,4027888782.54,1613333171.77
2018-01-08,MNCN.JK,2241239212.45,2928050085.98,-686810873.52
2018-01-09,MNCN.JK,2769124304.27,2139900632.82,629223671.45
2018-01-10,MNCN.JK,2045322193.03,1554422576.89,490899616.14
2018-01-11,MNCN.JK,2373289299.11,2762079166.29,-388789867.18
2018-01-12,MNCN.JK,1354305706.12,1120432543.96,233873162.15
2018-01-15,MNCN.JK,12809161820.66,2989278881.22,9819882939.44
2018-01-16,MNCN.JK,7061805508.49,4203454463.77,2858351044.72
2018-01-17,MNCN.JK,3217280063.04,1449643032.51,1767637030.53
2018-01-18,MNCN.JK,2509395999.92,3231357522.25,-721961522.34
2018-01-19,MNCN.JK,447782382.8,784186117.27,-336403734.46
2018-01-22,MNCN.JK,1725910790.75,1227010271.02,498900519.73
2018-01-23,MNCN.JK,2991371234.49,3407780739.7,-416409505.2
2018-01-24,MNCN.JK,2535986994.15,3263030719.62,-727043725.47
2018-01-25,MNCN.JK,5371825430.21,5592841011.19,-221015580.99
2018-01-26,MNCN.JK,4021802355.91,1718572174.55,2303230181.36
2018-01-29,MNCN.JK,15704303842.27,5585975166.14,10118328676.13
2018-01-30,MNCN.JK,1075925653.61,3260731561.99,-2184805908.38
2018-01-31,MNCN.JK,8099955712.42,5138732448.82,2961223263.6
2018-02-01,MNCN.JK,16557408910.71,5093693957.73,11463714952.98
2018-02-02,MNCN.JK,6007978995.12,3123589970.31,2884389024.81
2018-02-05,MNCN.JK,3299781472.03,3486681057.19,-186899585.15
2018-02-06,MNCN.JK,4310851455.24,11096968574.87,-6786117119.64
2018-02-07,MNCN.JK,4101112605.27,3476093804.79,625018800.47
2018-02-08,MNCN.JK,1177130336.72,2213466419.79,-1036336083.07
2018-02-09,MNCN.JK,519585453.61,776681605.28,-257096151.67
2018-02-12,MNCN.JK,2189600961.34,1183498827.54,1006102133.79
2018-02-13,MNCN.JK,2536736513.24,627371900.48,1909364612.76
2018-02-14,MNCN.JK,3112867533.31,6053886035.81,-2941018502.51
2018-02-15,MNCN.JK,1217483462.08,1137438226.21,80045235.87
2018-02-16,MNCN.JK,0.0,0.0,0.0
2018-02-19,MNCN.JK,4299546237.64,2215360841.94,2084185395.7
2018-02-20,MNCN.JK,939929544.44,2273764432.58,-1333834888.14
2018-02-21,MNCN.JK,1740291418.77,1024710605.17,715580813.6
2018-02-22,MNCN.JK,434949016.5,804182853.15,-369233836.65
2018-02-23,MNCN.JK,846009127.41,905353776.47,-59344649.06
2018-02-26,MNCN.JK,3011476300.03,6556584237.34,-3545107937.32
2018-02-27,MNCN.JK,6595428998.56,2901309151.09,3694119847.48
2018-02-28,MNCN.JK,3999396804.41,3960194692.42,39202111.99
2018-03-01,MNCN.JK,2697015399.27,2621504340.13,75511059.13
2018-03-02,MNCN.JK,3374348893.41,2789110951.33,585237942.08
2018-03-05,MNCN.JK,1344612908.79,1957518485.91,-612905577.13
