date,portfolio_return,benchmark_return,excess_return
2019-02,0.052927,-0.013718,0.066645
2019-03,-0.048511,0.003943,-0.052454
2019-04,-0.007645,-0.002072,-0.005573
2019-05,-0.079445,-0.038144,-0.041301
2019-06,0.051095,0.024079,0.027015
2019-07,0.100967,0.005013,0.095954
2019-08,0.06581,-0.009707,0.075517
2019-09,-0.024754,-0.025183,0.000428
2019-10,0.007603,0.009599,-0.001995
2019-11,0.080397,-0.034758,0.115156
2019-12,0.029842,0.047857,-0.018015
2020-01,-0.091661,-0.057066,-0.034595
2020-02,-0.047002,-0.082044,0.035042
2020-03,-0.202355,-0.167582,-0.034774
2020-04,0.042346,0.0391,0.003245
2020-05,-0.080466,0.007889,-0.088355
2020-06,-0.047884,0.031929,-0.079814
2020-07,0.076206,0.049789,0.026417
2020-08,-0.023628,0.017256,-0.040884
2020-09,-0.045632,-0.070335,0.024703
2020-10,0.033261,0.053015,-0.019754
2020-11,0.045174,0.094417,-0.049243
2020-12,0.217555,0.06533,0.152225
2021-01,-0.0306,-0.019522,-0.011078
2021-02,0.104886,0.064726,0.04016
2021-03,-0.078342,-0.041058,-0.037285
2021-04,0.069107,0.001686,0.067421
2021-05,0.012017,-0.008031,0.020049
2021-06,0.010513,0.006394,0.004119
2021-07,0.111009,0.014126,0.096883
2021-08,-0.08428,0.013222,-0.097502
2021-09,0.017445,0.022217,-0.004772
2021-10,0.028522,0.048418,-0.019896
2021-11,0.017397,-0.008711,0.026108
2021-12,0.107458,0.007277,0.10018
2022-01,0.027714,0.007547,0.020167
2022-02,0.075307,0.038759,0.036548
2022-03,0.240501,0.026607,0.213894
2022-04,0.138331,0.022269,0.116062
2022-05,0.05938,-0.011059,0.070439
2022-06,-0.162319,-0.033206,-0.129113
2022-07,0.158499,0.005721,0.152778
2022-08,0.048512,0.032724,0.015788
2022-09,1.5e-05,-0.019195,0.019209
2022-10,0.029583,0.008251,0.021332
2022-11,-0.027132,-0.002476,-0.024656
2022-12,-0.04078,-0.032578,-0.008202
2023-01,-0.066508,-0.001646,-0.064862
2023-02,0.067472,0.00057,0.066902
2023-03,0.027666,-0.005547,0.033213
2023-04,0.010547,0.016228,-0.005682
2023-05,-0.017419,-0.040842,0.023424
2023-06,-0.00737,0.004314,-0.011684
2023-07,0.058455,0.040451,0.018004
2023-08,0.003491,0.00316,0.000331
2023-09,0.035759,-0.001923,0.037682
2023-10,-0.041565,-0.027044,-0.014521
2023-11,0.019157,0.048655,-0.029498
2023-12,0.204417,0.027124,0.177294
2024-01,0.033154,-0.008918,0.042072
2024-02,0.012366,0.015007,-0.002642
2024-03,0.089132,-0.003731,0.092863
2024-04,0.013417,-0.007493,0.02091
2024-05,0.061836,-0.036419,0.098255
2024-06,-0.028889,0.013319,-0.042207
2024-07,0.093422,0.027208,0.066214
2024-08,0.029977,0.057192,-0.027215
2024-09,-0.048589,-0.018617,-0.029973
2024-10,-0.019931,0.006123,-0.026053
2024-11,-0.113597,-0.060701,-0.052896
2024-12,0.066476,-0.00483,0.071306
2025-01,-0.012126,0.004137,-0.016264
2025-02,-0.092167,-0.11796,0.025793
2025-03,-0.029477,0.038278,-0.067754
2025-04,0.071604,0.039347,0.032256
2025-05,0.081702,0.060446,0.021256
2025-06,-0.025842,-0.03458,0.008738
2025-07,0.125676,0.080353,0.045323
2025-08,-0.048631,0.046251,-0.094882
2025-09,0.144497,0.029445,0.115052
2025-10,-0.000992,0.012754,-0.013746
2025-11,0.034449,0.042239,-0.007789
2025-12,0.07684,0.016246,0.060594
2026-01,0.046543,-0.036699,0.083242
2026-02,0.042148,-0.0113,0.053447
2026-03,-0.207153,-0.144164,-0.062989
2026-04,0.079902,-0.01297,0.092873
2026-05,-0.132733,-0.119225,-0.013508
