ticker,month,quality_score,growth_score,value_score,momentum_score,final_score,roe,der,net_margin,operating_margin,fcf,revenue_growth,earnings_growth,pe,pb,return_6m,return_12m,rs_6m,foreign_flow_6m,price,is_bank,is_commodity
BBCA.JK,2024-06,90.18,82.14,35.71,73.22,76.38,0.200543,0.009757,0.484039,1.0,52964427000000.0,0.122454,0.194016,10.7759,2.4065,0.063216,0.11499,0.083244,321032929342.74,9118.84,True,False
BMRI.JK,2024-06,64.64,78.57,72.86,67.85,70.76,0.191517,0.466987,0.44334,1.0,-74824994000000.0,0.074031,0.337362,6.1274,1.1741,-0.027891,0.243178,-0.007863,52362209890.51,5031.25,True,False
AMRT.JK,2024-06,53.38,78.57,25.0,69.65,63.79,0.216722,0.1185,0.031826,0.029896,2286652000000.0,0.103379,0.192056,14.7926,2.7902,0.048174,0.076613,0.068202,-2920647508.17,2714.2,False,False
UNTR.JK,2024-06,72.22,51.78,63.57,58.92,60.57,0.245257,0.224588,0.160299,0.231159,7201129000000.0,0.040255,-0.018725,6.2775,0.7765,0.024642,0.037394,0.044671,12408944215.49,18924.79,False,True
ADRO.JK,2024-06,73.27,14.29,23.57,94.65,58.09,0.221554,0.194264,0.768675,0.362336,564985000.0,-0.736447,-0.341603,7.2358,13176.471,0.253951,0.462939,0.27398,25312902759.44,1368.01,False,True
BBNI.JK,2024-06,74.64,46.42,82.85,46.43,57.12,0.135808,0.342755,0.370803,1.0,8037804000000.0,-0.003868,0.141842,5.8893,0.7419,-0.150836,0.067256,-0.130807,83278977545.64,3936.49,True,False
BBRI.JK,2024-06,62.32,73.22,67.86,33.93,56.21,0.189674,0.470194,0.361062,1.0,-13148750000000.0,0.082387,0.174506,7.0423,1.2199,-0.16222,-0.106644,-0.142192,562337990757.37,3809.07,True,False
PGAS.JK,2024-06,35.4,42.86,23.57,91.07,55.94,0.078548,0.436547,0.076267,0.133914,601405840.0,0.021776,-0.147586,8.4248,12991.453,0.45787,0.30147,0.477899,31003250893.55,1391.24,False,True
CPIN.JK,2024-06,33.56,55.35,55.0,71.43,55.5,0.085782,0.354327,0.03763,0.062594,1662751000000.0,0.083498,-0.208226,8.3057,1.5096,0.139386,-0.014074,0.159414,2303258429.16,4962.91,False,False
INDF.JK,2024-06,43.86,58.92,90.0,48.22,54.52,0.081093,0.643933,0.072934,0.180283,14492760000000.0,0.00788,0.28116,4.8638,0.6871,-0.047059,-0.143938,-0.02703,14647534494.8,5614.88,False,False
INCO.JK,2024-06,58.95,71.43,9.28,48.22,53.97,0.106972,0.003362,0.222626,0.250414,134896000.0,0.044776,0.368925,27.5484,17116.105,0.090439,-0.330159,0.110468,-45239121283.03,4157.4,False,False
AKRA.JK,2024-06,52.09,37.5,33.57,75.0,53.88,0.197989,0.329615,0.066062,0.084227,2853380374000.0,-0.114704,0.156871,9.3984,1.8836,0.031056,0.265108,0.051084,-3306054968.5,1402.45,False,True
MEDC.JK,2024-06,46.76,26.79,15.0,92.85,53.72,0.163087,1.742891,0.14701,0.352233,422926206.0,-0.027199,-0.377122,10.9526,13539.325,0.118931,0.553149,0.138959,-11062604890.54,1267.89,False,True
ASII.JK,2024-06,54.48,62.5,80.0,35.72,52.87,0.135127,0.372608,0.106894,0.139839,11648000000000.0,0.050388,0.16912,5.8207,0.7866,-0.051034,-0.270328,-0.031006,128134809868.88,3833.88,False,False
PTBA.JK,2024-06,72.62,17.86,47.86,69.64,52.67,0.283161,0.060366,0.15864,0.174891,2095150000000.0,-0.097535,-0.514158,8.9286,1.2672,0.086126,0.057757,0.106154,393805948.8,2173.91,False,True
KLBF.JK,2024-06,55.4,50.0,56.43,48.22,51.37,0.119669,0.026753,0.090865,0.119056,1729123494164.0,0.052383,-0.18197,8.7257,1.2943,0.030545,-0.240916,0.050573,11034385064.8,1489.58,False,False
TOWR.JK,2024-06,63.21,58.93,89.29,17.86,48.66,0.197018,2.723384,0.277087,0.599862,4342041000000.0,0.063856,-0.054889,4.7826,0.7122,-0.174157,-0.299112,-0.154129,25746860164.88,690.31,False,False
ARTO.JK,2024-06,36.97,92.86,35.71,19.64,47.55,0.008659,0.006547,0.045966,1.0,1598594000000.0,0.155819,3.547351,43.662,1.4455,-0.249221,-0.242138,-0.229193,26191500311.53,2410.0,True,False
ESSA.JK,2024-06,39.57,7.14,10.0,96.43,46.78,0.069543,0.323758,0.100343,0.223338,148640938.0,-0.528413,-0.750689,10.9653,21666.666,0.57672,0.337494,0.596749,15658050178.3,757.87,False,True
BRPT.JK,2024-06,17.1,60.72,9.29,64.29,45.92,0.006351,1.038994,0.009461,0.12646,16516000.0,-0.067929,13.847072,13.6054,59200.0,-0.063691,0.332199,-0.043662,-17485452355.32,990.0,False,False
ITMG.JK,2024-06,70.27,10.71,27.14,58.93,44.12,0.279743,0.030121,0.210726,0.253148,140326000.0,-0.347036,-0.583082,7.5873,12732.558,-0.05628,0.159697,-0.036252,-3335452796.83,19309.73,False,True
TLKM.JK,2024-06,61.13,48.22,27.86,32.14,43.78,0.154516,0.455786,0.154494,0.292013,24161000000000.0,0.012966,0.111738,16.7781,2.0289,-0.161302,-0.169689,-0.141274,205115347428.32,2901.47,False,False
HRUM.JK,2024-06,56.1,33.93,21.43,46.43,42.6,0.128579,0.177271,0.1632,0.309724,181198679.0,0.02331,-0.499444,12.1646,9577.465,-0.029787,-0.197183,-0.009759,-11910583501.4,1140.0,False,True
GOTO.JK,2024-06,14.47,94.65,68.57,0.0,38.87,-2.530673,0.121368,-6.113806,-0.695206,-4545755000000.0,0.302782,1.284382,-0.5874,1.6554,-0.431818,-0.545455,-0.41179,-319930000203.19,50.0,False,False
MDKA.JK,2024-06,12.41,51.78,40.0,35.71,35.14,-0.007474,0.572535,-0.012103,0.056681,-553650339.0,0.962092,-1.353586,-3037687.8708,80312.5,-0.118519,-0.222222,-0.09849,-76090779469.02,2380.0,False,False
SMGR.JK,2024-06,38.18,55.36,60.0,5.35,34.03,0.045407,0.330912,0.056156,0.115188,3992967000000.0,0.062475,-0.082179,45.6681,0.2405,-0.385755,-0.373116,-0.365727,45408179045.14,3545.77,False,False
ANTM.JK,2024-06,49.96,25.0,45.0,25.0,33.24,0.098751,0.096787,0.074977,0.065715,2917959000000.0,-0.106306,-0.194537,9.1658,1.7012,-0.125907,-0.305208,-0.105879,-65556170894.28,1190.71,False,False
BUKA.JK,2024-06,24.28,46.43,95.0,8.93,32.62,-0.053897,0.001521,-0.307633,-0.179426,-20658255000.0,0.226595,-1.688312,4.2422,0.4042,-0.276042,-0.34434,-0.256013,16486472332.3,139.0,False,False
EMTK.JK,2024-06,31.85,16.07,55.0,14.29,23.28,-0.003669,0.02686,-0.015233,-0.003481,166699000000.0,-0.062369,-1.025858,11.2603,0.8624,-0.155083,-0.447829,-0.135054,1780998806.18,364.93,False,False
