ticker,month,price,pe,pb,data_source,pit_pe,pit_pb,quality_score,growth_score,value_score,momentum_score,final_score,fy_used,fy_actual,qg_source
ADRO.JK,2022-01-01,757.1715698242188,7.235843,0.8010941494501777,trailing,0.0,0.0,52.56,77.78,47.22,92.59,73.6,2021,2021,trailing
AKRA.JK,2022-01-01,531.2363891601562,9.398352,1.8836404,trailing,0.0,0.0,48.03,66.67,28.7,51.85,53.03,2021,2021,trailing
AMRT.JK,2022-01-01,1116.7427978515625,14.792551,2.7902405,trailing,0.0,0.0,52.9,40.74,23.15,48.15,44.61,2021,2021,trailing
ANTM.JK,2022-01-01,1470.8990478515625,9.1657505,1.7011505,trailing,0.0,0.0,50.93,61.12,39.44,3.7,36.31,2021,2021,trailing
ARTO.JK,2022-01-01,16400.0,43.661972,1.4455135,trailing,0.0,0.0,35.37,72.22,25.37,59.26,53.79,2021,2021,trailing
ASII.JK,2022-01-01,3740.151123046875,5.820692,0.7865944,trailing,0.0,0.0,57.12,7.4,70.19,31.48,34.54,2021,2021,trailing
BBCA.JK,2022-01-01,6555.3310546875,10.775863,2.4064806,trailing,0.0,0.0,84.07,25.92,33.15,62.97,54.15,2021,2021,trailing
BBNI.JK,2022-01-01,2779.3857421875,5.88926,0.7418746,trailing,0.0,0.0,53.89,37.03,72.04,79.63,59.66,2021,2021,trailing
BBRI.JK,2022-01-01,2895.2529296875,7.042254,1.2199025,trailing,0.0,0.0,71.85,57.41,56.48,50.0,58.33,2021,2021,trailing
BMRI.JK,2022-01-01,2641.64306640625,6.1274314,1.1741004,trailing,0.0,0.0,79.82,36.12,60.56,70.37,61.48,2021,2021,trailing
BRPT.JK,2022-01-01,878.8179321289062,13.605442,3.5992014589832526,trailing,0.0,0.0,35.52,100.0,23.52,25.93,50.31,2021,2021,trailing
BUKA.JK,2022-01-01,356.0,4.2421904,0.40420225,trailing,0.0,0.0,64.66,59.26,82.41,25.92,51.26,2021,2021,trailing
CPIN.JK,2022-01-01,5891.64599609375,8.305689,1.5095513,trailing,0.0,0.0,61.06,66.66,46.48,42.59,54.82,2021,2021,trailing
EMTK.JK,2022-01-01,1654.6192626953125,11.260285,0.8623849,trailing,0.0,0.0,45.83,57.41,42.04,9.26,36.13,2021,2021,trailing
ESSA.JK,2022-01-01,551.0540161132812,10.965323,1.3172752682179534,trailing,0.0,0.0,65.74,90.74,30.92,90.74,78.51,2021,2021,trailing
HRUM.JK,2022-01-01,2019.7071533203125,12.164579,0.5822842229959635,trailing,0.0,0.0,17.82,66.67,47.22,96.3,62.88,2021,2021,trailing
INCO.JK,2022-01-01,4578.958984375,27.548376,1.0406133460829483,trailing,0.0,0.0,40.57,79.63,33.52,11.11,41.27,2021,2021,trailing
INDF.JK,2022-01-01,5416.869140625,4.8638134,0.6870716,trailing,0.0,0.0,47.71,37.03,77.22,38.89,44.37,2021,2021,trailing
ITMG.JK,2022-01-01,10116.369140625,7.5872536,0.7741054278748123,trailing,0.0,0.0,49.51,16.67,50.93,85.19,52.29,2021,2021,trailing
KLBF.JK,2022-01-01,1508.7568359375,8.725675,1.2942996,trailing,0.0,0.0,68.01,31.48,46.85,64.81,53.81,2021,2021,trailing
MDKA.JK,2022-01-01,3551.188232421875,0.0,4.882784918489738,trailing,0.0,0.0,7.36,25.92,55.0,68.52,39.1,2021,2021,trailing
