Date,month_end_price,monthly_return,net_foreign_buy
2018-01-31,432.9549255371094,,36986498596.42
2018-02-28,405.40325927734375,-0.0636363386456129,-4492497766.13
2018-03-31,377.8515625,-0.0679612118226585,-2485133545.4100003
2018-04-30,351.08709716796875,-0.0708332794893,-4208625199.61
2018-05-31,297.55810546875,-0.1524664168265037,-272069491.47000027
2018-06-30,269.81298828125,-0.0932426866470079,-2416410500.4200006
2018-07-31,290.4457702636719,0.0764706773897574,17967524049.12
2018-08-31,282.51007080078125,-0.027322482457522,1729125716.79
2018-09-30,272.9872741699219,-0.0337078129776641,-871729355.5000002
2018-10-31,222.19894409179688,-0.1860465116279069,-1650520211.77
2018-11-30,209.5018615722656,-0.0571428571428572,-1152696691.82
2018-12-31,201.56619262695312,-0.0378787514619536,-5220783844.4
2019-01-31,222.19894409179688,0.1023621629993758,19379003660.460003
2019-02-28,247.5931091308593,0.1142857142857141,41371634822.56
2019-03-31,228.5474853515625,-0.0769230769230768,-8857076412.21
2019-04-30,260.2901916503906,0.1388888888888888,21038642722.29
2019-05-31,255.52877807617188,-0.0182927122379396,2874986390.24
2019-06-30,264.0,0.0331517333883344,28826925923.639996
2019-07-31,280.0,0.0606060606060605,94614425763.12
2019-08-31,254.0,-0.0928571428571428,-9749018336.2
2019-09-30,236.0,-0.0708661417322834,-9268199998.94
2019-10-31,236.0,0.0,-2773948277.6100006
2019-11-30,244.0,0.0338983050847456,12935896633.61
2019-12-31,242.0,-0.0081967213114754,5073981410.02
2020-01-31,230.0,-0.049586776859504,-3634775132.2599998
2020-02-29,228.0,-0.0086956521739129,-1424745388.56
2020-03-31,133.0,-0.4166666666666666,-5534574016.969999
2020-04-30,162.0,0.2180451127819549,1385789301.15
2020-05-31,184.0,0.1358024691358024,5690415651.05
2020-06-30,171.0,-0.0706521739130434,-989475789.19
2020-07-31,138.0,-0.1929824561403509,-2187325503.24
2020-08-31,157.0,0.1376811594202898,9069016592.980001
2020-09-30,119.0,-0.2420382165605095,-7094814163.69
2020-10-31,135.0,0.134453781512605,5696575300.6
2020-11-30,234.0,0.7333333333333334,112119206008.76
2020-12-31,214.0,-0.0854700854700855,72518998160.96
2021-01-31,175.0,-0.1822429906542055,8184984455.259999
2021-02-28,202.0,0.1542857142857143,14914403111.01
2021-03-31,193.0,-0.0445544554455445,-1056278669.6999997
