Date,month_end_price,monthly_return,net_foreign_buy
2022-04-30,272.0,,-832620681121.0
2022-05-31,304.0,0.1176470588235294,1047574583292.6599
2022-06-30,388.0,0.2763157894736843,1784713690676.1802
2022-07-31,296.0,-0.2371134020618557,-188410945716.1
2022-08-31,302.0,0.0202702702702701,118815223645.67
2022-09-30,246.0,-0.1854304635761589,-104480503579.60002
2022-10-31,186.0,-0.2439024390243902,-36041817272.329994
2022-11-30,151.0,-0.1881720430107527,-73084084071.79999
2022-12-31,91.0,-0.3973509933774835,636408404828.4401
2023-01-31,112.0,0.2307692307692308,477903810171.30005
2023-02-28,118.0,0.0535714285714286,572982297060.79
2023-03-31,109.0,-0.0762711864406779,-130088603814.06
2023-04-30,104.0,-0.0458715596330274,-52830106087.82001
2023-05-31,147.0,0.4134615384615385,3582050501201.1797
2023-06-30,110.0,-0.2517006802721088,-450327481203.96
2023-07-31,113.0,0.0272727272727273,93575608107.19
2023-08-31,96.0,-0.1504424778761062,-199400930378.44998
2023-09-30,85.0,-0.1145833333333333,-50468929115.58
2023-10-31,60.0,-0.2941176470588235,-442186055523.86
2023-11-30,97.0,0.6166666666666667,849532976684.0701
2023-12-31,86.0,-0.1134020618556701,-146985313892.07004
2024-01-31,88.0,0.0232558139534884,92794202547.73999
2024-02-29,71.0,-0.1931818181818182,-260607337731.78998
2024-03-31,69.0,-0.028169014084507,-126427478811.02
2024-04-30,63.0,-0.0869565217391304,7258601090.500004
2024-05-31,65.0,0.0317460317460318,144097271010.29
2024-06-30,50.0,-0.2307692307692307,-319930000203.19
2024-07-31,53.0,0.06,48487815607.23
2024-08-31,52.0,-0.0188679245283018,-6412624086.620003
2024-09-30,66.0,0.2692307692307691,363005450328.67
2024-10-31,68.0,0.0303030303030302,36908591040.36
2024-11-30,71.0,0.0441176470588235,-6808255379.280006
2024-12-31,70.0,-0.0140845070422535,-23250125535.549988
2025-01-31,81.0,0.1571428571428572,228656955515.4
2025-02-28,75.0,-0.074074074074074,-31856041299.159985
2025-03-31,83.0,0.1066666666666666,411689802819.21
2025-04-30,85.0,0.0240963855421687,128824492422.28
2025-05-31,64.0,-0.2470588235294117,-458876473523.75
2025-06-30,58.0,-0.09375,-65346175457.2
2025-07-31,65.0,0.1206896551724137,14722873497.800018
2025-08-31,58.0,-0.1076923076923076,-83335931468.22
2025-09-30,54.0,-0.0689655172413793,-1644545756.6100063
2025-10-31,60.0,0.1111111111111111,140012216543.96002
2025-11-30,64.0,0.0666666666666666,354665199723.7
2025-12-31,64.0,0.0,240983685008.61996
2026-01-31,64.0,0.0,133470442162.60999
2026-02-28,61.0,-0.046875,-58265921036.42
2026-03-31,51.0,-0.1639344262295081,-109812204827.47
2026-04-30,54.0,0.0588235294117647,78900813682.48999
2026-05-31,50.0,-0.074074074074074,-308444112109.14
