Date,month_end_price,monthly_return
2018-01-31,5341.2861328125,
2018-02-28,5113.2314453125,-0.042696586894871325
2018-03-31,5257.26611328125,0.02816901004956307
2018-04-30,4969.19677734375,-0.05479451291418569
2018-05-31,4617.8076171875,-0.07071347259950589
2018-06-30,4441.17041015625,-0.038251313539742426
2018-07-31,4050.04443359375,-0.08806822086089228
2018-08-31,3785.087890625,-0.06542065088743843
2018-09-30,3494.89794921875,-0.07666663226632064
2018-10-31,2447.6904296875,-0.29963894074942676
2018-11-30,2397.222412109375,-0.020618627652422616
2018-12-31,2826.19921875,0.17894743703115878
2019-01-31,3532.7490234375,0.25
2019-02-28,2901.90087890625,-0.17857145818907072
2019-03-31,2043.947509765625,-0.29565219659190933
2019-04-30,2054.041259765625,0.004938360673047537
2019-05-31,2062.6611328125,0.004196543280663434
2019-06-30,1897.6483154296875,-0.07999996449141045
2019-07-31,2051.660400390625,0.08115944546134957
2019-08-31,1661.1298828125,-0.1903485184506023
2019-09-30,1886.6473388671875,0.13576148282448464
2019-10-31,2002.1566162109373,0.06122462580267163
2019-11-30,1941.6517333984373,-0.030219855091558667
2019-12-31,2315.68115234375,0.19263465868343754
2020-01-31,1617.1263427734375,-0.30166277808293696
2020-02-29,1727.1348876953125,0.0680271800737633
2020-03-31,734.3074951171875,-0.5748406795852252
2020-04-30,671.0524291992188,-0.0861424761950359
2020-05-31,797.5623168945312,0.18852459538262822
2020-06-30,888.3193969726562,0.11379308946228295
2020-07-31,717.80615234375,-0.19195037867011122
2020-08-31,695.804443359375,-0.030651324055298135
2020-09-30,539.0421752929688,-0.22529644580817998
2020-10-31,550.0430297851562,0.020408151711336142
2020-11-30,695.804443359375,0.26500001941875784
2020-12-31,701.3048706054688,0.00790513383262903
2021-01-31,629.7992553710938,-0.10196081366530496
2021-02-28,693.05419921875,0.10043667614434515
2021-03-31,737.0576171875,0.0634920299427566
2021-04-30,990.0774536132812,0.3432836599549254
2021-05-31,954.3245849609376,-0.03611118354615972
2021-06-30,1075.333984375,0.12680109191467137
2021-07-31,992.8275756835938,-0.07672631004902186
2021-08-31,1545.620849609375,0.5567867850015802
2021-09-30,1540.120361328125,-0.0035587565233997642
2021-10-31,1677.6309814453125,0.0892856321947495
2021-11-30,2214.912109375,0.32026180600623455
2021-12-31,2338.90185546875,0.0559795332595554
2022-01-31,2136.009521484375,-0.08674683527655436
2022-02-28,2575.610107421875,0.20580460036152304
2022-03-31,3494.263427734375,0.35667406245429367
2022-04-30,3410.94970703125,-0.023842999369153017
2022-05-31,3175.7119140625,-0.06896548268766212
2022-06-30,2934.59326171875,-0.07592585815987984
2022-07-31,2669.950439453125,-0.09018040957084028
2022-08-31,2252.4033203125,-0.15638759168359295
2022-09-30,2264.1650390625,0.005221852873298127
2022-10-31,2746.40283203125,0.21298703259212304
2022-11-30,3043.390625,0.10813701089475525
2022-12-31,2793.4501953125,-0.08212564881890572
2023-01-31,2581.736083984375,-0.07578947055629925
2023-02-28,3043.390625,0.17881554349395645
2023-03-31,2899.307373046875,-0.04734300315232287
2023-04-30,2658.12353515625,-0.0831867087059367
2023-05-31,2428.4091796875,-0.08641974401511288
2023-06-30,2218.384521484375,-0.0864865196359339
2023-07-31,1982.1070556640625,-0.10650879661845702
2023-08-31,1706.44970703125,-0.13907288602050782
2023-09-30,1575.1844482421875,-0.07692301639374288
2023-10-31,1306.09033203125,-0.17083340081933296
2023-11-30,1096.065673828125,-0.1608040830349703
2023-12-31,1312.6536865234375,0.19760495914342058
2024-01-31,1384.8494873046875,0.05499988422114632
2024-02-29,1181.38818359375,-0.14691943462168677
2024-03-31,1155.13525390625,-0.0222221028211399
2024-04-30,1178.934814453125,0.020603267423787486
2024-05-31,1123.4990234375,-0.04702193059023374
2024-06-30,1049.5845947265625,-0.06578949083977492
2024-07-31,1071.7589111328125,0.021126754830111505
2024-08-31,1238.0662841796875,0.15517237255447114
2024-09-30,1193.7176513671875,-0.035820887281398095
2024-10-31,1134.586181640625,-0.049535557808698005
2024-11-30,1042.193115234375,-0.0814332731187053
2024-12-31,1038.497314453125,-0.003546176545619284
2025-01-31,1178.934814453125,0.13523145225845346
2025-02-28,1134.586181640625,-0.037617544472187014
2025-03-31,1422.852294921875,0.25407158834282106
2025-04-30,1524.484619140625,0.07142858368466865
2025-05-31,1520.12890625,-0.002857170768361339
2025-06-30,1476.5721435546875,-0.028653334935102692
2025-07-31,1515.773193359375,0.02654868573527014
2025-08-31,1385.1031494140625,-0.08620685767354896
2025-09-30,1406.8814697265625,0.01572324799182856
2025-10-31,1467.86083984375,0.04334364438607552
2025-11-30,1467.86083984375,0.0
2025-12-31,1480.9278564453125,0.008902081346453317
2026-01-31,1633.3763427734375,0.10294119707765437
2026-02-28,1663.865966796875,0.01866662521367668
2026-03-31,1594.17529296875,-0.041884788329607625
2026-04-30,1630.0,0.022472250817872963
2026-05-31,1600.0,-0.018404907975460127
