Date,month_end_price,monthly_return
2018-01-31,640.5264282226562,
2018-02-28,608.951171875,-0.049295790082029556
2018-03-31,568.3544311523438,-0.06666665998466881
2018-04-30,532.268310546875,-0.06349228338433788
2018-05-31,505.203857421875,-0.0508473876590414
2018-06-30,478.1394348144531,-0.05357129049951315
2018-07-31,469.9270935058594,-0.017175620144740056
2018-08-31,469.9270935058594,0.0
2018-09-30,469.9270935058594,0.0
2018-10-31,436.1653137207031,-0.07184471857810704
2018-11-30,538.363037109375,0.23430960732955897
2018-12-31,565.7374267578125,0.05084745378400868
2019-01-31,593.1118774414062,0.04838720118001416
2019-02-28,565.7374267578125,-0.04615394114459981
2019-03-31,629.611083984375,0.11290336153401825
2019-04-30,652.423095703125,0.036231909346939206
2019-05-31,643.2982788085938,-0.013986042116883257
2019-06-30,666.1102294921875,0.03546092292651881
2019-07-31,677.3035278320312,0.01680397304268544
2019-08-31,589.7609252929688,-0.1292516559293232
2019-09-30,612.7985229492188,0.0390626042998794
2019-10-31,575.9384155273438,-0.060150450827587076
2019-11-30,520.6483154296875,-0.0960000211950287
2019-12-31,525.255859375,0.008849628067095328
2020-01-31,479.1807556152344,-0.08771935226879757
2020-02-29,488.395751953125,0.01923073126352759
2020-03-31,283.82244873046875,-0.418867900477338
2020-04-30,348.3275146484375,0.22727260019952067
2020-05-31,333.5835266113281,-0.04232794544522356
2020-06-30,383.3446044921875,0.14917126869648478
2020-07-31,390.7165832519531,0.019230683498287826
2020-08-31,375.97259521484375,-0.03773576210764962
2020-09-30,326.2115173339844,-0.1323529387891268
2020-10-31,381.5016174316406,0.16949156347857808
2020-11-30,460.750732421875,0.20772943381933273
2020-12-31,469.96575927734375,0.02000002649378585
2021-01-31,444.1637268066406,-0.054901941176264346
2021-02-28,506.8258056640625,0.14107878486146785
2021-03-31,497.6107482910156,-0.018181902480227774
2021-04-30,488.395751953125,-0.018518483311581235
2021-05-31,460.750732421875,-0.05660372642615308
2021-06-30,405.4606323242188,-0.12000002649378572
2021-07-31,368.6005554199219,-0.09090913880591611
2021-08-31,422.0476989746094,0.14500017096772622
2021-09-30,446.0066833496094,0.05676842791279246
2021-10-31,460.750732421875,0.033057910615900576
2021-11-30,453.3787231445313,-0.015999994701242692
2021-12-31,427.5766906738281,-0.05691054995202727
2022-01-31,396.24560546875,-0.07327594297926465
2022-02-28,422.0476989746094,0.06511641555074421
2022-03-31,446.0066833496094,0.05676842791279246
2022-04-30,516.040771484375,0.15702475041134822
2022-05-31,469.96575927734375,-0.0892856044581476
2022-06-30,434.9486999511719,-0.0745098097785184
2022-07-31,424.0247192382813,-0.02511556124691694
2022-08-31,450.061279296875,0.06140340144641998
2022-09-30,420.3052062988281,-0.06611560328969956
2022-10-31,407.286865234375,-0.03097354224824267
2022-11-30,440.7625122070313,0.08219181572033407
2022-12-31,424.0247192382813,-0.03797462920550754
2023-01-31,416.5856628417969,-0.01754392151912265
2023-02-28,429.6039733886719,0.03125002060337079
2023-03-31,422.1649475097656,-0.017316008090493162
2023-04-30,451.9210510253906,0.07048454328372844
2023-05-31,435.1832580566406,-0.03703698451482318
2023-06-30,453.7808227539063,0.042735018760407195
2023-07-31,452.3422546386719,-0.0031701827029710916
2023-08-31,424.0708618164063,-0.06250000421660495
2023-09-30,412.7622985839844,-0.02666668297836927
2023-10-31,376.9518737792969,-0.08675798377792299
2023-11-30,388.2604370117188,0.030000018620528257
2023-12-31,427.8403930664063,0.10194176970313573
2024-01-31,395.7994689941406,-0.0748898995782582
2024-02-29,382.6061706542969,-0.03333328964127302
2024-03-31,399.5689697265625,0.04433488106910932
2024-04-30,378.8366394042969,-0.051886737692502516
2024-05-31,371.297607421875,-0.019900482683714693
2024-06-30,353.278076171875,-0.04853123448631835
2024-07-31,411.1925048828125,0.1639343979068808
2024-08-31,459.4545593261719,0.1173709488141419
2024-09-30,497.0989379882813,0.08193275678299505
2024-10-31,461.3850402832031,-0.07184464696225146
2024-11-30,403.4705810546875,-0.12552305378814865
2024-12-31,384.165771484375,-0.04784688271409776
2025-01-31,380.3048095703125,-0.010050249659526278
2025-02-28,362.9304809570313,-0.045685271855782195
2025-03-31,328.18182373046875,-0.09574466474938093
2025-04-30,368.721923828125,0.12352938879074338
2025-05-31,386.0962524414063,0.047120411048245936
2025-06-30,361.0,-0.06499998972462162
2025-07-31,352.0,-0.024930747922437657
2025-08-31,372.0,0.05681818181818188
2025-09-30,376.0,0.010752688172043001
2025-10-31,368.0,-0.021276595744680882
2025-11-30,382.0,0.03804347826086962
2025-12-31,338.0,-0.11518324607329844
2026-01-31,360.0,0.06508875739644981
2026-02-28,366.0,0.016666666666666607
2026-03-31,338.0,-0.07650273224043713
2026-04-30,316.0,-0.0650887573964497
2026-05-31,290.0,-0.08227848101265822
