Date,month_end_price,monthly_return,net_foreign_buy
2021-08-31,945.0,,86837171793.07994
2021-09-30,860.0,-0.08994708994709,-120780818018.19002
2021-10-31,695.0,-0.191860465116279,-258759137210.36002
2021-11-30,545.0,-0.2158273381294964,-109329801024.50998
2021-12-31,430.0,-0.2110091743119265,-22739176142.370003
2022-01-31,356.0,-0.172093023255814,55788871399.82001
2022-02-28,338.0,-0.050561797752809,9224379361.479998
2022-03-31,382.0,0.1301775147928994,186164224203.75
2022-04-30,382.0,0.0,111162840702.95999
2022-05-31,294.0,-0.2303664921465968,-57033575348.899994
2022-06-30,282.0,-0.0408163265306122,39047917949.380005
2022-07-31,294.0,0.0425531914893617,141052258576.02
2022-08-31,300.0,0.0204081632653061,61037305363.759995
2022-09-30,272.0,-0.0933333333333333,-1460452796.0500011
2022-10-31,276.0,0.0147058823529411,20719435555.210003
2022-11-30,286.0,0.0362318840579709,222981736455.77002
2022-12-31,262.0,-0.0839160839160839,-44277460547.98
2023-01-31,290.0,0.1068702290076335,50788028214.33
2023-02-28,262.0,-0.096551724137931,34862618570.53
2023-03-31,248.0,-0.0534351145038167,-4651465185.420002
2023-04-30,236.0,-0.0483870967741935,-7511988352.16
2023-05-31,212.0,-0.1016949152542372,-30007909054.8
2023-06-30,212.0,0.0,14306322459.030003
2023-07-31,216.0,0.0188679245283018,236912198.62999916
2023-08-31,232.0,0.0740740740740741,5011617066.399998
2023-09-30,218.0,-0.0603448275862068,-5353090988.890007
2023-10-31,210.0,-0.036697247706422,1328543769.8000002
2023-11-30,208.0,-0.0095238095238094,127287539.65999985
2023-12-31,216.0,0.0384615384615385,6275034823.570001
2024-01-31,192.0,-0.1111111111111111,-8644621910.65
2024-02-29,157.0,-0.1822916666666666,-29585412691.91
2024-03-31,152.0,-0.0318471337579617,10670617253.730001
2024-04-30,130.0,-0.1447368421052631,-4749910273.639999
2024-05-31,130.0,0.0,15710518896.680002
2024-06-30,139.0,0.0692307692307692,16486472332.3
2024-07-31,118.0,-0.1510791366906474,-19297957430.18
2024-08-31,117.0,-0.0084745762711864,17740464934.899998
2024-09-30,121.0,0.0341880341880342,17988577365.13
2024-10-31,128.0,0.0578512396694215,49226050570.74
2024-11-30,122.0,-0.046875,-2604364295.4400005
2024-12-31,125.0,0.0245901639344261,10272594224.38
2025-01-31,118.0,-0.056,8429232947.89
2025-02-28,133.0,0.1271186440677967,40506366710.23
2025-03-31,143.0,0.0751879699248121,27259474342.190002
2025-04-30,145.0,0.0139860139860139,14766529569.880001
2025-05-31,137.0,-0.0551724137931034,-7780634144.160001
2025-06-30,125.0,-0.0875912408759124,-18777735023.93
2025-07-31,151.0,0.2079999999999999,37297929575.43
2025-08-31,174.0,0.1523178807947018,71744281787.96
2025-09-30,170.0,-0.0229885057471264,43617651647.28
2025-10-31,168.0,-0.0117647058823529,23676531689.859993
2025-11-30,169.0,0.0059523809523809,5702805415.81
2025-12-31,158.0,-0.0650887573964497,-9395578583.880001
2026-01-31,145.0,-0.0822784810126582,-12040099111.640001
2026-02-28,146.0,0.0068965517241379,3352043362.94
2026-03-31,139.0,-0.047945205479452,7022506901.0
2026-04-30,149.0,0.0719424460431654,27397615648.57
2026-05-31,122.0,-0.1812080536912751,-11730811606.74
