Date,month_end_price,monthly_return,net_foreign_buy
2018-01-31,5676.939453125,,10994771769.45
2018-02-28,5548.75048828125,-0.0225806468260262,-6040217670.409999
2018-03-31,5274.06005859375,-0.0495049165154634,-13668280385.18
2018-04-30,5109.24609375,-0.031249921884222,-442980801.6899996
2018-05-31,5182.49658203125,0.0143368487125439,6391891387.390003
2018-06-30,5043.15478515625,-0.026887002175385,-6563958476.440001
2018-07-31,4815.64453125,-0.0451126851342915,-3340826303.7500005
2018-08-31,4834.60400390625,0.0039370581722171,4632855568.99
2018-09-30,4474.37841796875,-0.0745098431322288,-9299587793.83
2018-10-31,4531.255859375,0.0127118084554123,5449697507.009999
2018-11-30,5060.2861328125,0.1167513576491063,31081130216.8
2018-12-31,5711.98974609375,0.1287878977940391,45096831789.44
2019-01-31,5942.00244140625,0.0402684012991791,14919861533.74
2019-02-28,5424.47314453125,-0.0870967829411595,-22506951357.870003
2019-03-31,4887.7763671875,-0.098939890205711,-44263099403.5
2019-04-30,5328.634765625,0.0901961066379917,46329681390.11
2019-05-31,5060.2861328125,-0.0503597346441561,-5708539402.809999
2019-06-30,5520.0283203125,0.090853002267774,20166501088.68
2019-07-31,5559.31640625,0.0071173703571281,19241559685.09
2019-08-31,6227.22021484375,0.1201413554808406,45663706196.6
2019-09-30,6050.42236328125,-0.0283911352839376,-18128946653.84
2019-10-31,6050.42236328125,0.0,3450880597.4900007
2019-11-30,6246.8642578125,0.0324674680107317,13385427302.76
2019-12-31,6227.22021484375,-0.0031446245921196,-14635660003.450003
2020-01-31,6148.6435546875,-0.012618256211487,5014261282.379999
2020-02-29,5107.49951171875,-0.1693290615578162,-48845136053.06
2020-03-31,4989.6337890625,-0.0230769914682941,36961980324.009995
2020-04-30,5127.14306640625,0.0275589919334715,12551381289.190002
2020-05-31,4518.17236328125,-0.1187738854246257,-20006636259.059998
2020-06-30,5127.14306640625,0.1347825302270551,77510286150.62
2020-07-31,5286.75634765625,0.0311310371453856,17507141983.21
2020-08-31,6249.84716796875,0.1821704570779891,103584946710.31999
2020-09-30,5860.51220703125,-0.0622951170602843,-6280643713.2699995
2020-10-31,5737.56494140625,-0.020978928339658,-5708287117.92
2020-11-30,5819.52978515625,0.0142856498509471,8242643199.57
2020-12-31,5614.61669921875,-0.035211278832212,-11008028395.08
2021-01-31,4958.89501953125,-0.1167883249766169,-36074552021.54
2021-02-28,4958.89501953125,0.0,-2378371511.5000005
2021-03-31,5409.70361328125,0.0909090819576603,44403402269.299995
