Date,portfolio_return,benchmark_return,portfolio_cumulative,benchmark_cumulative
2018-01-31,,,,
2018-02-28,0.0309294936896058,-0.0012736233853515,1.0309294936896058,0.9987263766146485
2018-03-31,-0.0376442584703978,-0.0618792604777908,0.992120917364398,0.9369259270100705
2018-04-30,-0.0539551899485353,-0.0314092770479316,0.9385908448160868,0.9074977609952211
2018-05-31,-0.0368177172507898,-0.0018363709953245,0.9040340724774683,0.9058312584286075
2018-06-30,-0.0408434300903596,-0.0308092955452847,0.8671102200389317,0.8779232354735234
2018-07-31,0.0521824989559022,0.0236593294999334,0.9123581981907652,0.8986943105772391
2018-08-31,0.018011076539859,0.0138158644199399,0.9287907515301469,0.9111105493271457
2018-09-30,-0.0157637940156299,-0.0069630334924953,0.9141494854394036,0.904766456056815
2018-10-31,-0.0379757652602288,-0.0242452990735851,0.8794339591675978,0.8828301227379699
2018-11-30,0.1112010364145394,0.0384923863491073,0.9772279268851765,0.9168123609030296
2018-12-31,-0.0007386747238919,0.0228486112407846,0.9765060733161051,0.9377602501180489
2019-01-31,0.0314195508294825,0.0546406163735901,1.0071874555219589,0.9890000481951512
2019-02-28,0.0308446875544331,-0.0137182788531816,1.038253837896278,0.9754326697482001
2019-03-31,0.0254632698316537,0.0039430956874204,1.064691175524381,0.9792788941016533
2019-04-30,0.0570840598096859,-0.0020719338225136,1.1254680702668598,0.9772498930392903
2019-05-31,-0.0458721883977381,-0.0381442965998189,1.0738403869119397,0.9399733832670584
2019-06-30,0.0455430872313722,0.0240793842723716,1.1227463933256407,0.9626073635685471
2019-07-31,0.0284093785737158,0.0050130267125934,1.154642920655903,0.9674329399958553
2019-08-31,0.0506987268564437,-0.0097073187653129,1.2131818467069628,0.9580417600632517
2019-09-30,-0.0048217129678486,-0.0251827311581073,1.2073322320643374,0.9339156519813389
2019-10-31,-0.0046189481648734,0.0095986163403636,1.2017556270666514,0.9428799500189683
2019-11-30,-0.0108349970618242,-0.0347584781044676,1.1887346083783534,0.9101068779210925
2019-12-31,0.0612614782286805,0.0478571384480535,1.2615582477092029,0.953661988780288
2020-01-31,-0.0353633724556434,-0.0570662722098963,1.2169452935209735,0.8992400541323209
